date,country,regime,regime_name,reserves_usd_m,inflation_yoy,policy_rate,real_policy_rate,interbank_rate
2020-01-01,Ghana,1,STRESS,7500.0,7.8,16.0,8.2,16.5
2020-02-01,Ghana,0,CALM,7600.0,8.36,15.7,7.34,16.2
2020-03-01,Ghana,1,STRESS,7700.0,8.92,15.4,6.48,15.9
2020-04-01,Ghana,0,CALM,7800.0,9.48,15.1,5.62,15.6
2020-05-01,Ghana,1,STRESS,7900.0,10.04,14.8,4.76,15.3
2020-06-01,Ghana,0,CALM,8000.0,10.6,14.5,3.9,15.0
2020-07-01,Ghana,1,STRESS,8033.333333333333,10.483333333333333,14.5,4.016666666666667,15.0
2020-08-01,Ghana,0,CALM,8066.666666666667,10.366666666666667,14.5,4.133333333333334,15.0
2020-09-01,Ghana,1,STRESS,8100.0,10.25,14.5,4.25,15.0
2020-10-01,Ghana,0,CALM,8133.333333333333,10.133333333333333,14.5,4.366666666666666,15.0
2020-11-01,Ghana,1,STRESS,8166.666666666667,10.016666666666667,14.5,4.483333333333333,15.0
2020-12-01,Ghana,0,CALM,8200.0,9.9,14.5,4.6,15.0
2021-01-01,Ghana,1,STRESS,8500.0,9.9,14.5,4.6,15.0
2021-02-01,Ghana,0,CALM,8760.0,9.42,14.3,4.88,14.8
2021-03-01,Ghana,1,STRESS,9020.0,8.94,14.1,5.16,14.6
2021-04-01,Ghana,0,CALM,9280.0,8.46,13.9,5.44,14.4
2021-05-01,Ghana,1,STRESS,9540.0,7.98,13.7,5.72,14.2
2021-06-01,Ghana,0,CALM,9800.0,7.5,13.5,6.0,14.0
2021-07-01,Ghana,1,STRESS,9750.0,8.35,13.666666666666666,5.316666666666666,14.166666666666666
2021-08-01,Ghana,0,CALM,9700.0,9.2,13.833333333333334,4.633333333333334,14.333333333333334
2021-09-01,Ghana,1,STRESS,9650.0,10.05,14.0,3.95,14.5
2021-10-01,Ghana,0,CALM,9600.0,10.9,14.166666666666666,3.266666666666667,14.666666666666666
2021-11-01,Ghana,1,STRESS,9550.0,11.75,14.333333333333334,2.583333333333334,14.833333333333334
2021-12-01,Ghana,0,CALM,9500.0,12.6,14.5,1.9000000000000004,15.0
2022-01-01,Ghana,1,STRESS,9000.0,15.7,17.0,1.3000000000000007,18.2
2022-02-01,Ghana,2,CRISIS,8666.666666666666,18.33333333333333,17.666666666666668,-0.6666666666666667,18.866666666666667
2022-03-01,Ghana,2,CRISIS,8333.333333333334,20.96666666666667,18.33333333333333,-2.633333333333334,19.53333333333333
2022-04-01,Ghana,2,CRISIS,8000.0,23.6,19.0,-4.600000000000001,20.2
2022-05-01,Ghana,2,CRISIS,7666.666666666667,26.3,20.0,-6.300000000000001,21.2
2022-06-01,Ghana,2,CRISIS,7333.333333333333,29.0,21.0,-8.0,22.2
2022-07-01,Ghana,2,CRISIS,7000.0,31.7,22.0,-9.7,23.2
2022-08-01,Ghana,2,CRISIS,6750.0,34.45,23.25,-11.2,24.45
2022-09-01,Ghana,2,CRISIS,6500.0,37.2,24.5,-12.700000000000005,25.7
2022-10-01,Ghana,2,CRISIS,6250.0,43.75,25.75,-18.0,26.95
2022-11-01,Ghana,2,CRISIS,6000.0,50.3,27.0,-23.3,28.2
2022-12-01,Ghana,2,CRISIS,5800.0,54.1,27.0,-27.1,28.2
2023-01-01,Ghana,2,CRISIS,5100.0,53.6,29.5,-24.1,30.7
2023-02-01,Ghana,2,CRISIS,5200.0,49.3,29.5,-19.8,30.7
2023-03-01,Ghana,2,CRISIS,5300.0,45.0,29.5,-15.5,30.7
2023-04-01,Ghana,2,CRISIS,5400.0,43.1,29.5,-13.6,30.7
2023-05-01,Ghana,2,CRISIS,5500.0,41.2,29.5,-11.700000000000005,30.7
2023-06-01,Ghana,2,CRISIS,5575.0,39.7,29.625,-10.075000000000005,30.675
2023-07-01,Ghana,2,CRISIS,5650.0,38.2,29.75,-8.450000000000003,30.65
2023-08-01,Ghana,2,CRISIS,5725.0,36.7,29.875,-6.825000000000003,30.625
2023-09-01,Ghana,2,CRISIS,5800.0,35.2,30.0,-5.200000000000003,30.6
2023-10-01,Ghana,2,CRISIS,5833.333333333333,32.266666666666666,30.0,-2.266666666666668,30.6
2023-11-01,Ghana,2,CRISIS,5866.666666666667,29.33333333333333,30.0,0.666666666666667,30.6
2023-12-01,Ghana,2,CRISIS,5900.0,26.4,30.0,3.6000000000000014,30.6
2024-01-01,Ghana,2,CRISIS,6000.0,23.5,29.0,5.5,29.6
2024-02-01,Ghana,2,CRISIS,6140.0,23.36,29.0,5.64,29.6
2024-03-01,Ghana,2,CRISIS,6280.0,23.22,29.0,5.779999999999999,29.6
2024-04-01,Ghana,2,CRISIS,6420.0,23.08,29.0,5.92,29.6
2024-05-01,Ghana,2,CRISIS,6560.0,22.94,29.0,6.06,29.6
2024-06-01,Ghana,2,CRISIS,6700.0,22.8,29.0,6.199999999999999,29.6
2024-07-01,Ghana,2,CRISIS,6938.6,22.84,28.6,5.76,29.200000000000003
2024-08-01,Ghana,2,CRISIS,7177.2,22.88,28.2,5.319999999999999,28.8
2024-09-01,Ghana,2,CRISIS,7415.8,22.92,27.8,4.88,28.4
2024-10-01,Ghana,2,CRISIS,7654.4,22.96,27.4,4.44,28.0
2024-11-01,Ghana,2,CRISIS,7893.0,23.0,27.0,4.0,27.6
2024-12-01,Ghana,2,CRISIS,7893.0,23.0,27.0,4.0,27.6
