date,country,regime,regime_name,reserves_usd_m,inflation_yoy,policy_rate,real_policy_rate,kibor
2020-01-01,Pakistan,0,CALM,12000.0,8.3,13.25,4.949999999999999,13.55
2020-02-01,Pakistan,1,STRESS,12100.0,8.360000000000001,12.0,3.64,12.3
2020-03-01,Pakistan,0,CALM,12200.0,8.42,10.75,2.33,11.05
2020-04-01,Pakistan,1,STRESS,12300.0,8.48,9.5,1.0199999999999996,9.8
2020-05-01,Pakistan,0,CALM,12400.0,8.54,8.25,-0.29,8.55
2020-06-01,Pakistan,1,STRESS,12500.0,8.6,7.0,-1.5999999999999996,7.3
2020-07-01,Pakistan,0,CALM,12666.666666666666,8.5,7.0,-1.4999999999999998,7.3
2020-08-01,Pakistan,1,STRESS,12833.333333333334,8.4,7.0,-1.3999999999999997,7.3
2020-09-01,Pakistan,0,CALM,13000.0,8.3,7.0,-1.2999999999999998,7.3
2020-10-01,Pakistan,1,STRESS,13166.666666666666,8.2,7.0,-1.2,7.3
2020-11-01,Pakistan,0,CALM,13333.333333333334,8.1,7.0,-1.1,7.3
2020-12-01,Pakistan,1,STRESS,13500.0,8.0,7.0,-1.0,7.3
2021-01-01,Pakistan,0,CALM,13000.0,5.7,7.0,1.2999999999999998,7.3
2021-02-01,Pakistan,1,STRESS,13900.0,6.24,7.05,0.8099999999999998,7.35
2021-03-01,Pakistan,0,CALM,14800.0,6.78,7.1,0.3199999999999997,7.399999999999999
2021-04-01,Pakistan,1,STRESS,15700.0,7.32,7.15,-0.1700000000000003,7.45
2021-05-01,Pakistan,0,CALM,16600.0,7.86,7.2,-0.6600000000000004,7.5
2021-06-01,Pakistan,1,STRESS,17500.0,8.4,7.25,-1.1500000000000004,7.55
2021-07-01,Pakistan,0,CALM,18800.0,8.7,7.25,-1.4500000000000002,7.55
2021-08-01,Pakistan,1,STRESS,20100.0,9.0,7.25,-1.75,7.55
2021-09-01,Pakistan,0,CALM,19700.0,9.5,7.875,-1.625,8.175
2021-10-01,Pakistan,1,STRESS,19300.0,10.0,8.5,-1.5,8.8
