alpha,pool_label,pool_display,pool_size,pool_models,model,rmse,mae,policy_loss_ratio_2_to_1,rmse_rank,n_common_dates
0.9,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.9,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",DMA,319.49607859449094,220.40092947721513,416.2582959666987,2,27
0.9,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",DMS,322.9094936016077,223.9710067257926,420.9840347043077,3,27
0.9,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,4,27
0.9,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,5,27
0.9,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,6,27
0.9,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.9,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.9,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.9,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.9,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",DMA,319.45389586643046,220.2885760786086,416.01824257413506,2,27
0.9,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",DMS,322.9094936016077,223.9710067257926,420.9840347043077,3,27
0.9,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,4,27
0.9,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,5,27
0.9,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,6,27
0.9,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.9,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.9,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.9,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.9,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,2,27
0.9,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,3,27
0.9,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",DMS,1081.0956088106832,835.0624325782288,1604.2811027728242,4,27
0.9,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",DMA,1085.8357317867494,896.0604828951981,1730.094361096049,5,27
0.9,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,6,27
0.9,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.9,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.9,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.9,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.9,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,2,27
0.9,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,3,27
0.9,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,4,27
0.9,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",DMS,1323.785727401521,1158.3544416833804,2303.105623017868,5,27
0.9,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",DMA,1334.3424637190979,1167.5820049963584,2322.756992815059,6,27
0.9,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.9,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.9,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.95,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.95,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",DMA,320.26045961486153,220.96827331261008,417.5743206102027,2,27
0.95,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,3,27
0.95,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",DMS,325.9600730190161,228.04450298707306,432.24418924895986,4,27
0.95,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,5,27
0.95,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,6,27
0.95,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.95,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.95,full7,Full seven-model pool,7,"Naive,ARIMA,VECM,BVAR,XGBoost,MS-VAR,MS-VECM",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.95,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.95,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",DMA,320.2604252569587,220.96816816766966,417.57409727602584,2,27
0.95,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,3,27
0.95,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",DMS,325.9600730190161,228.04450298707306,432.24418924895986,4,27
0.95,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,5,27
0.95,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,6,27
0.95,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.95,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.95,regime_only,Regime-only pool,2,"MS-VAR,MS-VECM",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.95,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.95,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,2,27
0.95,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,3,27
0.95,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",DMA,1200.3921881786528,1013.1730432234867,1984.3864072964195,4,27
0.95,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",DMS,1234.5745438013862,1047.681665790206,2031.3372647485392,5,27
0.95,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",ARIMA,1249.8610855014506,1105.2029582356054,2159.0893438168073,6,27
0.95,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",Naive,1350.8071814239772,1180.5794522485394,2352.246118915206,7,27
0.95,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",BVAR,1359.5617455191311,1190.9719001096005,2366.2130132693032,8,27
0.95,no_regime,Pool excluding regime models,5,"Naive,ARIMA,VECM,BVAR,XGBoost",VECM,1556.3436578458402,1393.163120527872,2767.0223835968095,9,27
0.95,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",MS-VAR,315.24487674590387,218.28169305684952,409.60540736642156,1,27
0.95,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",MS-VECM,323.40454920365477,226.0533937185298,427.5178453673512,2,27
0.95,linear_only,Linear/Bayesian pool only,4,"Naive,ARIMA,VECM,BVAR",XGBoost,886.1322330488664,690.4889368127893,1303.059497974537,3,27
