under_to_over_ratio,model,policy_loss,policy_rank
1.0,MS-VAR,218.28169305684952,1
1.0,DMA,222.50003543669786,2
1.0,MS-VECM,226.0533937185298,3
1.0,DMS,228.04450298707306,4
1.0,XGBoost,690.4889368127893,5
1.0,ARIMA,1105.2029582356054,6
1.0,Naive,1180.5794522485394,7
1.0,BVAR,1190.9719001096005,8
1.0,VECM,1393.163120527872,9
1.5,MS-VAR,313.9435502116356,1
1.5,DMA,321.73868493648695,2
1.5,MS-VECM,326.78561954294054,3
1.5,DMS,330.14434611801653,4
1.5,XGBoost,996.7742173936632,5
1.5,ARIMA,1632.1461510262063,6
1.5,Naive,1766.4127855818724,7
1.5,BVAR,1778.5924566894516,8
1.5,VECM,2080.0927520623404,9
2.0,MS-VAR,409.60540736642156,1
2.0,DMA,420.97733443627607,2
2.0,MS-VECM,427.5178453673512,3
2.0,DMS,432.24418924895986,4
2.0,XGBoost,1303.059497974537,5
2.0,ARIMA,2159.0893438168073,6
2.0,Naive,2352.246118915206,7
2.0,BVAR,2366.2130132693032,8
2.0,VECM,2767.0223835968095,9
3.0,MS-VAR,600.9291216759937,1
3.0,DMA,619.4546334358541,2
3.0,MS-VECM,628.9822970161725,3
3.0,DMS,636.4438755108469,4
3.0,XGBoost,1915.6300591362847,5
3.0,ARIMA,3212.9757293980097,6
3.0,Naive,3523.9127855818724,7
3.0,BVAR,3541.4541264290056,8
3.0,VECM,4140.881646665746,9
