date,sdfr,slfr,opr,notes
2019-01-01,7.0,8.0,,Starting point
2019-05-31,7.0,8.0,,MPC
2019-08-22,7.0,8.0,,MPC
2020-01-30,6.5,7.5,,MPC - COVID concerns
2020-03-16,6.25,7.25,,Emergency - COVID
2020-04-03,6.0,7.0,,Emergency
2020-04-09,5.5,6.5,,Emergency
2020-05-06,5.5,6.5,,MPC
2020-07-08,4.5,5.5,,MPC - Deep cut
2021-01-27,4.5,5.5,,MPC - Hold
2021-08-19,4.5,5.5,,MPC - Still holding despite pressure
2022-01-20,5.0,6.0,,MPC - First hike
2022-03-04,5.5,6.5,,Emergency - FX pressure
2022-04-08,13.5,14.5,,EMERGENCY - Massive 700bps hike
2022-07-08,14.5,15.5,,MPC - Peak rates
2023-06-01,11.0,12.0,,MPC - Start cutting
2023-07-13,10.0,11.0,,MPC
2023-10-04,9.0,10.0,,MPC
2024-03-26,8.5,9.5,,MPC
2024-06-04,8.25,9.25,,MPC
2024-09-04,,,8.0,NEW OPR FRAMEWORK
2024-11-26,,,7.75,MPC
