date,gross_reserves_usd_m
2013-11-01,7005.11
2013-12-01,7495.27
2014-01-01,8048.58
2014-02-01,8259.55
2014-03-01,8059.724448730886
2014-04-01,8896.73108242237
2014-05-01,8772.663840758212
2014-06-01,9164.004705013178
2014-07-01,8973.741181262614
2014-08-01,9185.637389968864
2014-09-01,8821.804334906232
2014-10-01,8790.920101034802
2014-11-01,8330.882030365801
2014-12-01,8208.411646305334
2015-01-01,7252.428936540833
2015-02-01,7420.4554996301695
2015-03-01,6819.545505227352
2015-04-01,7454.631473478869
