date,ncpi_yoy_pct,source
2019-01-01,2.7,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-02-01,2.4,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-03-01,3.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-04-01,4.5,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-05-01,4.1,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-06-01,4.7,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-07-01,4.4,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-08-01,4.6,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-09-01,4.8,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-10-01,5.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-11-01,4.1,"Compiled from CBSL press releases, Reuters, IMF reports"
2019-12-01,4.8,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-01-01,4.7,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-02-01,5.5,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-03-01,5.9,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-04-01,5.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-05-01,4.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-06-01,4.4,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-07-01,5.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-08-01,6.3,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-09-01,4.8,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-10-01,4.1,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-11-01,4.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2020-12-01,4.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-01-01,4.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-02-01,5.1,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-03-01,5.5,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-04-01,5.5,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-05-01,5.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-06-01,5.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-07-01,6.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-08-01,6.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-09-01,6.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-10-01,7.6,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-11-01,9.9,"Compiled from CBSL press releases, Reuters, IMF reports"
2021-12-01,12.1,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-01-01,14.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-02-01,15.1,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-03-01,18.7,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-04-01,29.8,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-05-01,39.1,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-06-01,54.6,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-07-01,60.8,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-08-01,64.3,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-09-01,69.8,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-10-01,66.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-11-01,61.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2022-12-01,57.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-01-01,53.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-02-01,50.6,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-03-01,50.3,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-04-01,35.3,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-05-01,25.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-06-01,12.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-07-01,6.3,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-08-01,4.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-09-01,1.3,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-10-01,-0.8,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-11-01,-1.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2023-12-01,0.4,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-01-01,0.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-02-01,-0.9,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-03-01,-2.5,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-04-01,-0.7,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-05-01,-1.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-06-01,0.2,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-07-01,1.0,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-08-01,2.5,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-09-01,2.1,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-10-01,2.9,"Compiled from CBSL press releases, Reuters, IMF reports"
2024-11-01,2.7,"Compiled from CBSL press releases, Reuters, IMF reports"
