date,awcmr_monthly,awcmr_range
2003-01-01,9.75,9.25-10.25
2003-02-01,9.625,9.25-10.00
2003-03-01,9.625,9.25-10.00
2003-04-01,9.815000000000001,9.25-10.38
2003-05-01,8.5,8.00-9.00
2003-06-01,8.690000000000001,8.38-9.00
2003-07-01,8.565000000000001,8.25-8.88
2003-08-01,7.8149999999999995,7.63-8.00
2003-09-01,7.915000000000001,7.70-8.13
2003-10-01,7.465,7.30-7.63
2003-11-01,7.9399999999999995,7.38-8.50
2003-12-01,7.8149999999999995,7.38-8.25
2004-01-01,7.625,7.25-8.00
2004-02-01,7.535,7.38-7.69
2004-03-01,7.6,7.45-7.75
2004-04-01,7.505,7.38-7.63
2004-05-01,8.0,7.75-8.25
2004-06-01,7.8775,7.625-8.13
2004-07-01,7.515000000000001,7.40-7.63
2004-08-01,7.95,7.50-8.40
2004-09-01,8.125,7.62-8.63
2004-10-01,8.505,8.13-8.88
2004-11-01,9.440000000000001,8.75-10.13
2004-12-01,10.065000000000001,9.50-10.63
2005-01-01,8.5,8.00-9.00
2005-02-01,8.190000000000001,7.75-8.63
2005-03-01,7.775,7.55-8.00
2005-04-01,8.25,8.00-8.50
2005-05-01,8.75,8.00-9.50
2005-06-01,9.0,8.50-9.50
2005-07-01,9.719999999999999,9.50-9.94
2005-08-01,9.5,9.25-9.75
2005-09-01,10.129999999999999,10.06-10.20
2005-10-01,10.2,9.90-10.50
2005-11-01,10.434999999999999,10.35-10.52
2005-12-01,10.74,10.50-10.98
2006-01-01,9.940000000000001,9.88-10.00
2006-02-01,9.925,9.85-10.00
2006-03-01,10.440000000000001,10.25-10.63
2006-04-01,10.005,9.88-10.13
2006-05-01,10.675,10.50-10.85
2006-06-01,10.625,10.00-11.25
2006-07-01,11.25,11.00-11.50
2006-08-01,11.2,11.00-11.40
2006-09-01,14.375,12.00-16.75
2006-10-01,13.14,12.40-13.88
2006-11-01,11.5,11.00-12.00
2006-12-01,13.940000000000001,12.75-15.13
2007-01-01,12.5,12.00-13.00
2007-02-01,15.25,14.00-16.50
2007-03-01,16.0,14.00-18.00
2007-04-01,13.0,12.25-13.75
2007-05-01,16.0,13.00-19.00
2007-06-01,16.125,13.25-19.00
2007-07-01,13.75,13.00-14.50
2007-08-01,15.315,14.00-16.63
2007-09-01,22.0,18.00-26.00
2007-10-01,12.625,12.25-13.00
2007-11-01,13.25,12.50-14.00
2007-12-01,28.0,16.00-40.00
2008-01-01,13.875,13.25-14.50
2008-02-01,15.5,15.00-16.00
2008-03-01,18.25,16.00-20.50
2008-04-01,13.125,12.50-13.75
2008-05-01,14.0,13.25-14.75
2008-06-01,12.940000000000001,12.38-13.50
2008-07-01,12.815000000000001,12.00-13.63
2008-08-01,16.375,15.75-17.00
2008-09-01,19.25,18.00-20.50
2008-10-01,16.689999999999998,13.75-19.63
2008-11-01,15.75,14.50-17.00
2008-12-01,16.625,13.25-20.00
2009-01-01,15.5,13.00-18.00
2009-02-01,13.055,12.50-13.61
2009-03-01,11.875,10.50-13.25
2009-04-01,10.125,9.00-11.25
2009-05-01,10.5,10.00-11.00
2009-06-01,9.375,8.25-10.50
2009-07-01,9.6,9.00-10.20
2009-08-01,9.25,8.00-10.50
2009-09-01,8.75,7.50-10.00
2009-10-01,8.75,8.00-9.50
2009-11-01,8.95,8.40-9.50
2009-12-01,8.525,8.00-9.05
2010-01-01,9.190000000000001,9.00-9.38
2010-02-01,8.875,8.50-9.25
2010-03-01,8.875,8.50-9.25
2010-04-01,8.925,8.75-9.10
2010-05-01,8.325,7.40-9.25
2010-06-01,8.625,8.00-9.25
2010-07-01,8.925,8.75-9.10
2010-08-01,8.01,7.00-9.02
2010-09-01,8.0,7.00-9.00
2010-10-01,7.975,7.50-8.45
2010-11-01,7.675,7.00-8.35
2010-12-01,8.05,7.75-8.35
2011-01-01,7.505,7.05-7.96
2011-02-01,7.725,7.50-7.95
2011-03-01,7.575,7.25-7.90
2011-04-01,7.7,7.50-7.90
2011-05-01,7.59,7.25-7.93
2011-06-01,8.025,7.90-8.15
2011-07-01,7.7,7.25-8.15
2011-08-01,7.95,7.90-8.00
2011-09-01,8.05,8.00-8.10
2011-10-01,8.025,8.00-8.05
2011-11-01,8.5,8.00-9.00
2011-12-01,8.925,8.75-9.10
2012-01-01,8.775,8.30-9.25
2012-02-01,9.6,9.50-9.70
2012-03-01,9.2,9.00-9.40
2012-04-01,9.625,9.25-10.00
2012-05-01,9.925,9.90-9.95
2012-06-01,10.25,10.00-10.50
2012-07-01,10.475,10.45-10.50
2012-08-01,10.575,10.55-10.60
2012-09-01,10.55,10.50-10.60
2012-10-01,10.5,10.40-10.60
2012-11-01,10.35,10.10-10.60
2012-12-01,9.675,9.50-9.85
2013-01-01,9.625,9.60-9.65
2013-02-01,9.425,9.40-9.45
2013-03-01,9.425,9.40-9.45
2013-04-01,9.475,9.45-9.50
2013-05-01,9.0,9
2013-06-01,8.75,8.50-9.00
2013-07-01,8.775,8.75-8.80
2013-08-01,8.7,8.65-8.75
2013-09-01,8.425,8.40-8.45
2013-10-01,7.85,7.75-7.95
2013-11-01,7.785,7.75-7.82
2013-12-01,7.625,7.50-7.75
2014-01-01,7.45,7.40-7.50
2014-02-01,6.95,6.90-7.00
2014-03-01,6.95,6.90-7.00
2014-04-01,6.925000000000001,6.90-6.95
2014-05-01,6.95,6.95
2014-06-01,6.975,6.95-7.00
2014-07-01,6.725,6.65-6.80
2014-08-01,6.7,6.7
2014-09-01,5.699999999999999,5.60-5.80
2014-10-01,6.0,6
2014-11-01,5.975,5.95-6.00
2014-12-01,6.25,6.00-6.50
2015-01-01,6.1,5.70-6.50
2015-02-01,6.375,6.00-6.75
2015-03-01,6.625,6.55-6.70
2015-04-01,6.15,6.10-6.20
2015-05-01,6.05,6.00-6.10
2015-06-01,6.125,6.10-6.15
2015-07-01,6.1,6.1
2015-08-01,6.275,6.25-6.30
2015-09-01,6.35,6.35
2015-10-01,6.3,6.25-6.35
2015-11-01,6.3,6.3
2015-12-01,6.4,6.4
2016-01-01,6.75,6.70-6.80
2016-02-01,7.525,7.50-7.55
2016-03-01,8.075,8.00-8.15
2016-04-01,8.100000000000001,8.05-8.15
2016-05-01,8.16,8.15-8.17
2016-06-01,8.19,8.18-8.20
2016-07-01,8.4,8.4
2016-08-01,8.4,8.4
2016-09-01,8.42,8.42
2016-10-01,8.42,8.42
2016-11-01,8.43,8.42-8.44
2016-12-01,8.42,8.40-8.44
2017-01-01,8.375,8.35-8.40
2017-02-01,8.495000000000001,8.49-8.50
2017-03-01,8.75,8.75
2017-04-01,8.7,8.65-8.75
2017-05-01,8.725,8.70-8.75
2017-06-01,8.75,8.75
2017-07-01,8.725,8.70-8.75
2017-08-01,8.125,7.95-8.30
2017-09-01,8.15,8.00-8.30
2017-10-01,8.175,8.10-8.25
2017-11-01,8.175,8.10-8.25
2017-12-01,8.175,8.10-8.25
2018-01-01,8.125,8.10-8.15
2018-02-01,8.125,8.10-8.15
2018-03-01,8.325,8.15-8.50
2018-04-01,7.85,7.80-7.90
2018-05-01,7.925000000000001,7.90-7.95
2018-06-01,8.485,8.45-8.52
2018-07-01,8.425,8.35-8.50
2018-08-01,7.975,7.80-8.15
2018-09-01,8.399999999999999,8.35-8.45
2018-10-01,8.45,8.40-8.50
2018-11-01,8.925,8.85-9.00
2018-12-01,8.95,8.90-9.00
2019-01-01,9.0,9.00-9.00
2019-02-01,8.975,8.95-9.00
2019-03-01,8.51,8.45-8.57
2019-04-01,8.475,8.45-8.50
2019-05-01,7.95,7.90-8.00
2019-06-01,7.875,7.85-7.90
2019-07-01,7.725,7.65-7.80
2019-08-01,7.425,7.35-7.50
2019-09-01,7.425000000000001,7.40-7.45
2019-10-01,7.425000000000001,7.40-7.45
2019-11-01,7.46,7.40-7.52
2019-12-01,7.475,7.40-7.55
2020-01-01,7.0,6.95-7.05
2020-02-01,6.95,6.90-7.00
2020-03-01,6.75,6.75-6.75
2020-04-01,6.425000000000001,6.40-6.45
2020-05-01,5.824999999999999,5.80-5.85
2020-06-01,5.55,5.50-5.60
2020-07-01,4.54,4.53-4.55
2020-08-01,4.53,4.53-4.53
2020-09-01,4.535,4.52-4.55
2020-10-01,4.535,4.52-4.55
2020-11-01,4.54,4.53-4.55
2020-12-01,4.54,4.53-4.55
2021-01-01,4.545,4.54-4.55
2021-02-01,4.545,4.54-4.55
2021-03-01,4.625,4.60-4.65
2021-04-01,4.65,4.60-4.70
2021-05-01,4.675,4.60-4.75
2021-06-01,4.875,4.80-4.95
2021-07-01,5.1,5.00-5.20
2021-08-01,5.8,5.75-5.85
2021-09-01,5.925000000000001,5.90-5.95
2021-10-01,5.9,5.80-6.00
2021-11-01,5.91,5.85-5.97
2021-12-01,5.9399999999999995,5.88-6.00
2022-01-01,6.45,6.40-6.50
2022-02-01,6.475,6.45-6.50
2022-03-01,7.475,7.45-7.50
2022-04-01,14.5,14.50-14.50
2022-05-01,14.5,14.50-14.50
2022-06-01,14.5,14.50-14.50
2022-07-01,15.5,15.50-15.50
2022-08-01,15.5,15.50-15.50
2022-09-01,15.5,15.50-15.50
2022-10-01,15.5,15.50-15.50
2022-11-01,15.5,15.50-15.50
2022-12-01,15.5,15.50-15.50
2023-01-01,15.5,15.50-15.50
2023-02-01,15.5,15.50-15.50
2023-03-01,16.375,16.25-16.50
2023-04-01,16.5,16.50-16.50
2023-05-01,16.5,16.50-16.50
2023-06-01,13.625,13.25-14.00
2023-07-01,11.45,11.40-11.50
2023-08-01,11.5,11.50-11.50
2023-09-01,11.625,11.25-12.00
2023-10-01,10.25,10.00-10.50
2023-11-01,9.1,9.10-9.10
2023-12-01,9.225000000000001,9.05-9.40
2024-01-01,9.1,9.10-9.10
2024-02-01,9.225000000000001,9.15-9.30
2024-03-01,8.825,8.65-9.00
2024-04-01,8.55,8.50-8.60
2024-05-01,8.625,8.50-8.75
2024-06-01,8.65,8.50-8.80
2024-07-01,8.55,8.30-8.80
2024-08-01,8.75,8.75-8.75
2024-09-01,8.675,8.65-8.70
2024-10-01,8.525,8.50-8.55
2024-11-01,8.16,8.02-8.30
2024-12-01,8.0,8.00-8.00
2025-01-01,8.0,8.00-8.00
2025-02-01,7.8100000000000005,7.62-8.00
2025-03-01,7.95,7.95-7.95
2025-04-01,7.98,7.98-7.98
2025-05-01,7.75,7.75-7.75
2025-06-01,7.75,7.75-7.75
2025-07-01,7.8,7.75-7.85
2025-08-01,7.855,7.85-7.86
2025-09-01,7.865,7.86-7.87
