date,value_raw,value_standardized,country,country_code,source_provider,source_url,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY
2006-01-01,3188000000.0,3188.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-02-01,3090000000.0,3090.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-03-01,3648000000.0,3648.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-04-01,3925000000.0,3925.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-05-01,4181000000.0,4181.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-06-01,3848000000.0,3848.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-07-01,3817000000.0,3817.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-08-01,4246000000.0,4246.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-09-01,4048000000.0,4048.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-10-01,4204000000.0,4204.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-11-01,4110000000.0,4110.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2006-12-01,4241000000.0,4241.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-01-01,3390000000.0,3390.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-02-01,3587000000.0,3587.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-03-01,4173000000.0,4173.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-04-01,4299000000.0,4299.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-05-01,4856000000.0,4856.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-06-01,4521000000.0,4521.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-07-01,4614000000.0,4614.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-08-01,4922000000.0,4922.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-09-01,4828000000.0,4828.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-10-01,5581000000.0,5581.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-11-01,5424000000.0,5424.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2007-12-01,5787000000.0,5787.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2008-01-01,5818000000.0,5818.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2008-02-01,5226000000.0,5226.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2008-03-01,4991000000.0,4991.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2008-04-01,5846000000.0,5846.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
2008-05-01,6240000000.0,6240.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.XG.FOB_USD.M?detail=full&startPeriod=2000-01,ARG,XG,FOB_USD,M
