date,value_raw,value_standardized,country,country_code,source_provider,source_url,COUNTRY,INDICATOR,UNIT,FREQUENCY
2000-01-01,24385857380.42118,24385.85738042118,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-02-01,24750146338.74603,24750.146338746028,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-03-01,24666499576.09164,24666.49957609164,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-04-01,24764324457.40868,24764.32445740868,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-05-01,23632934492.269,23632.934492269,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-06-01,25774532759.99536,25774.53275999536,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-07-01,26116211038.89605,26116.21103889605,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-08-01,24639517122.52839,24639.51712252839,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-09-01,24873027311.85195,24873.02731185195,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-10-01,23252264048.35406,23252.26404835406,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-11-01,22443824855.92089,22443.82485592089,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2000-12-01,25152117244.41339,25152.11724441339,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2001-01-01,25441425194.37058,25441.42519437058,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2001-02-01,25371089191.47341,25371.089191473413,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2001-03-01,21924266610.39747,21924.26661039747,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2001-04-01,20545429641.78982,20545.429641789822,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
2001-05-01,20204657851.3555,20204.6578513555,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/IL/ARG.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,ARG,TRGMV_REVS,USD,M
