date,value_raw,value_standardized,country,country_code,source_provider,source_url,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY
2006-01-01,2324000000.0,2324.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-02-01,2326000000.0,2326.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-03-01,2722000000.0,2722.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-04-01,2545000000.0,2545.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-05-01,2826000000.0,2826.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-06-01,2859000000.0,2859.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-07-01,2852000000.0,2852.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-08-01,3281000000.0,3281.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-09-01,3169000000.0,3169.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-10-01,3255000000.0,3255.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-11-01,3237000000.0,3237.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2006-12-01,2756000000.0,2756.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-01-01,2951000000.0,2951.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-02-01,2791000000.0,2791.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-03-01,3422000000.0,3422.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-04-01,3061000000.0,3061.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-05-01,3542000000.0,3542.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-06-01,3579000000.0,3579.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-07-01,4126000000.0,4126.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-08-01,4606000000.0,4606.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-09-01,3963000000.0,3963.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-10-01,4400000000.0,4400.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-11-01,4384000000.0,4384.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2007-12-01,3881000000.0,3881.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-01-01,4479000000.0,4479.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-02-01,4210000000.0,4210.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-03-01,4163000000.0,4163.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-04-01,4930000000.0,4930.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-05-01,5200000000.0,5200.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-06-01,5196000000.0,5196.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-07-01,6047000000.0,6047.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-08-01,5159000000.0,5159.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-09-01,5311000000.0,5311.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-10-01,5129000000.0,5129.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-11-01,4182000000.0,4182.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2008-12-01,3457000000.0,3457.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-01-01,2760000000.0,2760.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-02-01,2663000000.0,2663.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-03-01,2888000000.0,2888.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-04-01,2777000000.0,2777.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-05-01,2660000000.0,2660.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-06-01,3619000000.0,3619.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-07-01,3589000000.0,3589.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-08-01,3255000000.0,3255.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-09-01,3666000000.0,3666.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-10-01,3656000000.0,3656.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-11-01,3651000000.0,3651.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2009-12-01,3602000000.0,3602.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-01-01,3209000000.0,3209.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-02-01,3455000000.0,3455.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-03-01,4403000000.0,4403.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-04-01,4101000000.0,4101.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-05-01,4575000000.0,4575.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-06-01,5151000000.0,5151.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-07-01,5291000000.0,5291.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-08-01,5355000000.0,5355.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-09-01,5337000000.0,5337.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-10-01,4951000000.0,4951.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-11-01,5576000000.0,5576.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2010-12-01,5389000000.0,5389.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
2011-01-01,4889000000.0,4889.0,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ITG/ARG.MG.CIF_USD.M?detail=full&startPeriod=2000-01,ARG,MG,CIF_USD,M
