date,value_raw,value_standardized,country,country_code,source_provider,source_url,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY
2000-01-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-02-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-03-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-04-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-05-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-06-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-07-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-08-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-09-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-10-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-11-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2000-12-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2001-01-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2001-02-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2001-03-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2001-04-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2001-05-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2001-06-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
2001-07-01,0.9995,0.9995,argentina,ARG,imf,https://api.imf.org/external/sdmx/2.1/data/ER/ARG.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,ARG,XDC_USD,EOP_RT,M
