date,value_raw,value_standardized,country,country_code,source_provider,source_url,COUNTRY,INDICATOR,UNIT,FREQUENCY
2004-01-01,417117674733.0,417117.674733,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-02-01,419762200689.0,419762.200689,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-03-01,420994283356.0,420994.283356,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-04-01,423793999404.0,423793.999404,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-05-01,433067994972.0,433067.994972,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-06-01,436041612979.0,436041.612979,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-07-01,442189616500.0,442189.6165,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-08-01,447995072215.0,447995.072215,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-09-01,451770643314.0,451770.643314,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-10-01,459246677562.0,459246.677562,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-11-01,465323215399.0,465323.215399,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2004-12-01,469181371315.0,469181.371315,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
2005-01-01,470348974138.0,470348.974138,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/EGY.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,EGY,BM_MAI,XDC,M
