date,value_raw,value_standardized,country,country_code,source_provider,source_url,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY
2000-01-01,3.405,3.405,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-02-01,3.41,3.41,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-03-01,3.413,3.413,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-04-01,3.415,3.415,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-05-01,3.421,3.421,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-06-01,3.446,3.446,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-07-01,3.461,3.461,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-08-01,3.481,3.481,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-09-01,3.501,3.501,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-10-01,3.5312,3.5312,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-11-01,3.69,3.69,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2000-12-01,3.69,3.69,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2001-01-01,3.84,3.84,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
2001-02-01,3.84,3.84,egypt,EGY,imf,https://api.imf.org/external/sdmx/2.1/data/ER/EGY.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,EGY,XDC_USD,EOP_RT,M
