date,value_raw,value_standardized,country,country_code,source_provider,source_file_name,source_url,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY
2008-01-01,1491647383.973068,1491.647383973068,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-02-01,1573236977.035545,1573.2369770355451,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-03-01,1812463259.629776,1812.463259629776,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-04-01,1784659958.66693,1784.65995866693,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-05-01,1915013059.566667,1915.0130595666672,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-06-01,1905445030.297093,1905.445030297093,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-07-01,1872472470.08477,1872.47247008477,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-08-01,1558509871.774237,1558.509871774237,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-09-01,1768187662.596265,1768.187662596265,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-10-01,1476956272.794035,1476.956272794035,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-11-01,1525621624.635042,1525.621624635042,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2008-12-01,1253935438.890016,1253.935438890016,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
2009-01-01,1343041869.326318,1343.041869326318,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.XG.FOB_USD.M?detail=full&startPeriod=2000-01,PAK,XG,FOB_USD,M
