date,value_raw,value_standardized,country,country_code,source_provider,source_url,COUNTRY,INDICATOR,UNIT,FREQUENCY
2000-01-01,2151155688.697749,2151.155688697749,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-02-01,2158601725.974125,2158.6017259741247,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-03-01,2161313424.293565,2161.313424293565,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-04-01,2022258275.480258,2022.258275480258,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-05-01,1905094863.172696,1905.094863172696,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-06-01,1996375591.687486,1996.375591687486,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-07-01,1694381314.586546,1694.3813145865458,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-08-01,1777270311.850961,1777.270311850961,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-09-01,1635260209.283577,1635.260209283577,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-10-01,1728465607.293536,1728.4656072935359,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-11-01,1929944431.118131,1929.944431118131,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2000-12-01,2087167574.182152,2087.167574182152,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-01-01,1696201119.707582,1696.201119707582,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-02-01,1628387749.501738,1628.387749501738,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-03-01,1994508385.821661,1994.508385821661,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-04-01,1709739330.93556,1709.73933093556,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-05-01,1885999581.270656,1885.999581270656,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-06-01,1893344817.159549,1893.344817159549,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-07-01,2115825654.826565,2115.825654826565,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-08-01,2765822715.810249,2765.822715810249,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-09-01,2761770389.730726,2761.7703897307256,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-10-01,2947801168.76612,2947.80116876612,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-11-01,3726071149.195091,3726.0711491950906,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2001-12-01,4218132004.432737,4218.132004432737,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-01-01,4169211597.335817,4169.211597335817,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-02-01,4434297355.432706,4434.297355432705,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-03-01,4594830267.880062,4594.830267880062,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-04-01,4650136989.559878,4650.136989559878,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-05-01,4803832070.079479,4803.832070079479,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-06-01,5497389984.998077,5497.389984998077,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-07-01,6071569389.752378,6071.569389752379,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-08-01,6478825828.142437,6478.825828142437,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-09-01,7085600281.188969,7085.600281188968,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-10-01,7447355576.934232,7447.355576934232,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
2002-11-01,7978174042.490443,7978.174042490443,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/IL/PAK.TRGMV_REVS.USD.M?detail=full&startPeriod=2000-01,PAK,TRGMV_REVS,USD,M
