date,value_raw,value_standardized,country,country_code,source_provider,source_url,COUNTRY,INDICATOR,UNIT,FREQUENCY
2001-12-01,1689764000000.0,1689764.0,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/PAK.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,PAK,BM_MAI,XDC,M
2002-01-01,1679134000000.0,1679134.0,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/PAK.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,PAK,BM_MAI,XDC,M
2002-02-01,1712698000000.0,1712698.0,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/PAK.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,PAK,BM_MAI,XDC,M
2002-03-01,1709861000000.0,1709861.0,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/PAK.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,PAK,BM_MAI,XDC,M
2002-04-01,1724285000000.0,1724285.0,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/PAK.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,PAK,BM_MAI,XDC,M
2002-05-01,1753951000000.0,1753951.0,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/PAK.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,PAK,BM_MAI,XDC,M
2002-06-01,1815410800000.0,1815410.8,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/PAK.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,PAK,BM_MAI,XDC,M
2002-07-01,1821305600000.0,1821305.6,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/PAK.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,PAK,BM_MAI,XDC,M
2002-08-01,1835427000000.0,1835427.0,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/PAK.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,PAK,BM_MAI,XDC,M
2002-09-01,1853035000000.0,1853035.0,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/MFS_MA/PAK.BM_MAI.XDC.M?detail=full&startPeriod=2000-01,PAK,BM_MAI,XDC,M
