date,value_raw,value_standardized,country,country_code,source_provider,source_url,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY
2000-01-01,51.7892,51.7892,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-02-01,51.875,51.875,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-03-01,51.79245,51.79245,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-04-01,51.79245,51.79245,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-05-01,51.79155,51.79155,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-06-01,51.79155,51.79155,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-07-01,51.79155,51.79155,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-08-01,51.79155,51.79155,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-09-01,58.43745,58.43745,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-10-01,56.96872,56.96872,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-11-01,57.48475,57.48475,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2000-12-01,58.02916,58.02916,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
2001-01-01,59.20258,59.20258,pakistan,PAK,imf,https://api.imf.org/external/sdmx/2.1/data/ER/PAK.XDC_USD.EOP_RT.M?detail=full&startPeriod=2000-01,PAK,XDC_USD,EOP_RT,M
