date,usd_lkr
2005-01-01,98.9288
2005-02-01,99.2726
2005-03-01,99.3896
2005-04-01,99.671
2005-05-01,99.791
2005-06-01,99.9455
2005-07-01,100.283
2005-08-01,100.7383
2005-09-01,101.3324
2005-10-01,101.4845
2005-11-01,101.7995
2005-12-01,101.9767
2006-01-01,102.016
2006-02-01,102.1942
2006-03-01,102.6478
2006-04-01,102.6345
2006-05-01,102.8382
2006-06-01,103.5245
2006-07-01,103.9565
2006-08-01,103.6691
2006-09-01,102.595
2006-10-01,105.7181
2006-11-01,107.72
2006-12-01,107.7905
2007-01-01,108.5219
2007-02-01,108.6842
2007-03-01,109.2941
2007-04-01,109.3595
2007-05-01,110.7995
2007-06-01,110.9662
2007-07-01,111.6724
2007-08-01,112.1839
2007-09-01,113.3415
2007-10-01,112.8583
2007-11-01,110.4181
2007-12-01,108.891
2008-01-01,108.1557
2008-02-01,107.827
2008-03-01,107.6838
2008-04-01,107.7791
2008-05-01,107.7705
2008-06-01,107.7633
2008-07-01,107.6086
2008-08-01,107.7181
2008-09-01,107.8233
2008-10-01,108.1661
2008-11-01,109.9594
2008-12-01,111.4464
2009-01-01,113.7685
2009-02-01,114.1026
2009-03-01,114.2836
2009-04-01,117.3068
2009-05-01,116.672
2009-06-01,114.8105
2009-07-01,114.8002
2009-08-01,114.7148
2009-09-01,114.7667
2009-10-01,114.7838
2009-11-01,114.4853
2009-12-01,114.2836
2010-01-01,114.3589
2010-02-01,114.5079
2010-03-01,114.1039
2010-04-01,113.8286
2010-05-01,113.7025
2010-06-01,113.5605
2010-07-01,112.9571
2010-08-01,112.3968
2010-09-01,112.3029
2010-10-01,111.667
2010-11-01,111.5155
2010-12-01,111.0081
2011-01-01,110.82
2011-02-01,110.8074
2011-03-01,110.3022
2011-04-01,110.2129
2011-05-01,109.7629
2011-06-01,109.5391
2011-07-01,109.457
2011-08-01,109.7139
2011-09-01,110.0529
2011-10-01,110.0875
2011-11-01,111.2205
2011-12-01,113.8067
2012-01-01,113.8195
2012-02-01,117.281
2012-03-01,125.6605
2012-04-01,128.4248
2012-05-01,129.0045
