date,policy_ceiling
2005-01-01,8.5
2005-02-01,8.5
2005-03-01,8.5
2005-04-01,8.5
2005-05-01,8.5
2005-06-01,8.5
2005-07-01,8.5
2005-08-01,8.5
2005-09-01,8.5
2005-10-01,8.5
2005-11-01,8.5
2005-12-01,8.5
2006-01-01,8.58
2006-02-01,8.67
2006-03-01,8.75
2006-04-01,8.83
2006-05-01,8.92
2006-06-01,9.0
2006-07-01,9.08
2006-08-01,9.17
2006-09-01,9.25
2006-10-01,9.33
2006-11-01,9.42
2006-12-01,9.5
2007-01-01,9.58
2007-02-01,9.67
2007-03-01,9.75
2007-04-01,9.83
2007-05-01,9.92
2007-06-01,10.0
2007-07-01,10.08
2007-08-01,10.17
2007-09-01,10.25
2007-10-01,10.33
2007-11-01,10.42
2007-12-01,10.5
2008-01-01,10.58
2008-02-01,10.67
2008-03-01,10.75
2008-04-01,10.83
2008-05-01,10.92
2008-06-01,11.0
2008-07-01,11.08
2008-08-01,11.17
2008-09-01,11.25
2008-10-01,11.33
2008-11-01,11.42
2008-12-01,11.5
2009-01-01,11.29
2009-02-01,11.08
2009-03-01,10.88
2009-04-01,10.67
2009-05-01,10.46
2009-06-01,10.25
2009-07-01,10.04
2009-08-01,9.83
2009-09-01,9.62
2009-10-01,9.42
2009-11-01,9.21
2009-12-01,9.0
2010-01-01,8.88
2010-02-01,8.75
2010-03-01,8.62
2010-04-01,8.5
2010-05-01,8.38
2010-06-01,8.25
2010-07-01,8.12
2010-08-01,8.0
2010-09-01,7.88
2010-10-01,7.75
2010-11-01,7.62
2010-12-01,7.5
2011-01-01,7.46
2011-02-01,7.42
2011-03-01,7.38
2011-04-01,7.33
2011-05-01,7.29
2011-06-01,7.25
2011-07-01,7.21
2011-08-01,7.17
2011-09-01,7.12
2011-10-01,7.08
2011-11-01,7.04
2011-12-01,7.0
2012-01-01,7.08
2012-02-01,7.17
2012-03-01,7.25
2012-04-01,7.33
2012-05-01,7.42
2012-06-01,7.5
2012-07-01,7.58
2012-08-01,7.67
2012-09-01,7.75
2012-10-01,7.83
2012-11-01,7.92
2012-12-01,8.0
2013-01-01,7.96
2013-02-01,7.92
2013-03-01,7.88
2013-04-01,7.83
2013-05-01,7.79
2013-06-01,7.75
2013-07-01,7.71
2013-08-01,7.67
2013-09-01,7.62
2013-10-01,7.58
2013-11-01,7.54
2013-12-01,7.5
2014-01-01,7.42
2014-02-01,7.33
2014-03-01,7.25
2014-04-01,7.17
2014-05-01,7.08
2014-06-01,7.0
2014-07-01,6.92
2014-08-01,6.83
2014-09-01,6.75
2014-10-01,6.67
2014-11-01,6.58
2014-12-01,6.5
2015-01-01,6.46
2015-02-01,6.42
2015-03-01,6.38
2015-04-01,6.33
2015-05-01,6.29
2015-06-01,6.25
2015-07-01,6.21
2015-08-01,6.17
2015-09-01,6.12
2015-10-01,6.08
2015-11-01,6.04
2015-12-01,6.0
2016-01-01,6.08
2016-02-01,6.17
2016-03-01,6.25
2016-04-01,6.33
2016-05-01,6.42
2016-06-01,6.5
2016-07-01,6.58
2016-08-01,6.67
2016-09-01,6.75
2016-10-01,6.83
2016-11-01,6.92
2016-12-01,7.0
2017-01-01,7.04
2017-02-01,7.08
2017-03-01,7.12
2017-04-01,7.17
2017-05-01,7.21
2017-06-01,7.25
2017-07-01,7.29
2017-08-01,7.33
2017-09-01,7.38
2017-10-01,7.42
2017-11-01,7.46
2017-12-01,7.5
