date,iip_assets,portfolio_liabilities,gross_reserves,import_cover_months
2005-03-01,9455.9,9473.2,2210.8,3.3
2005-06-01,10458.9,10820.2,2378.3,3.4
2005-09-01,1175011351.2,12124.6,2429.3,3.3
2005-12-01,11185.9,12504.9,2735.1,3.7
2006-03-01,9678.34,12664.2,2793.3,3.6
2006-06-01,10372.63,11771.69,2905.4,3.6
2006-09-01,9629.93,12630.69,2601.6,3.1
2006-12-01,10734.29,11492.04,2836.8,3.3
2007-03-01,9644.29,12331.27,2991.3,3.5
2007-06-01,8779.56,11624.09,3218.4,3.7
2007-09-01,10601.43,11792.28,2845.0,3.2
2007-12-01,10086.4,14490.4,3508.2,3.7
2008-03-01,9289.61,13772.0,3645.3,3.6
2008-06-01,11321.91,13461.42,3809.3,3.5
2008-09-01,11856.11,15018.48,3471.9,3.0
2008-12-01,12703.94,15714.09,2560.9,2.2
2009-03-01,11907.58,15620.16,1373.4,1.3
2009-06-01,13710.9,15492.44,1736.5,1.8
2009-09-01,12090.63,16461.7,4297.0,4.9
2009-12-01,12097.68,15326.21,5357.4,6.3
2010-03-01,13040.99,13616.8,5294.0,5.7
2010-06-01,14051.13,15896.61,5710.7,5.7
2010-09-01,12928.52,17070.84,6423.6,6.0
2010-12-01,12985.38,16929.97,7196.5,6.4
2011-03-01,13213.79,15855.03,7288.4,6.0
2011-06-01,11985.28,9132.66,8127.1,6.1
2011-09-01,11626.28,10578.36,7470.5,4.9
2011-12-01,10882.75,10759.79,6749.3,4.0
2012-03-01,8942.71,8419.87,6208.3,3.5
2012-06-01,9322.42,9016.36,6599.9,3.8
2012-09-01,8712.15,9537.61,7217.5,4.4
2012-12-01,,8407.55,7105.9,4.4
2013-03-01,,,6806.1,4.5
2013-06-01,,,6540.5,4.2
2013-09-01,,,7071.0,4.6
2013-12-01,,,7495.3,5.0
2014-03-01,,,8059.7,5.3
2014-06-01,,,91648821.8,6.1
2014-09-01,,,8208.4,5.6
2014-12-01,,,6819.55,5.1
2015-03-01,,,7525.49,4.2
2015-06-01,,,6783.68,4.53
2015-09-01,,,7303.64,4.21
2015-12-01,,,6221.19,4.64
2016-03-01,,,5292.27,3.99
2016-06-01,,,6455.72,3.39
2016-09-01,,,6019.1,4.16
2016-12-01,,,5117.26,3.7
2017-03-01,,,6959.01,3.09
2017-06-01,,,7279.84,4.17
2017-09-01,,,7958.65,4.25
2017-12-01,,,7319.75,4.55
2018-03-01,,,9267.02,4.05
2018-06-01,,,7164.08,4.99
2018-09-01,,,6919.22,3.81
2018-12-01,,,7629.24,3.73
2019-03-01,,,8864.98,4.34
2019-06-01,,,7635.33,5.22
2019-09-01,,,7642.39,4.59
2019-12-01,,,7533.74,4.6
2020-03-01,,,6694.65,4.61
2020-06-01,,,6666.32,4.46
2020-09-01,,,5664.27,4.67
2020-12-01,,,4055.16,4.23
2021-03-01,,,4060.05,2.93
2021-06-01,,,2704.19,2.65
2021-09-01,,,,1.69
2021-12-01,,,,
2022-03-01,,,,
2022-06-01,,,,
2022-09-01,,,,
2022-12-01,,,,
2023-03-01,,,,
2023-06-01,,,,
2023-09-01,,,,
2023-12-01,,,,
2024-03-01,,,,
2024-06-01,,,,
2024-09-01,,,,
2024-12-01,,,,
2025-03-01,,,,
2025-06-01,,,,
2025-09-01,,,,
2025-12-01,,,,
2026-03-01,,,,
