date,reserve_money,broad_money_m2,broad_money_m2b,net_foreign_assets
2005-01-01,263769.59,1288163.0,1528254.1,47362.25
2005-02-01,258096.95,1304602.0,1546513.07,52691.22
2005-03-01,266350.96,1324704.0,1581580.31,62369.04
2005-04-01,261176.58,1343535.0,1605134.93,72228.33
2005-05-01,268603.09,1360260.0,1624257.29,107750.44
2005-06-01,262560.94,1380978.0,1645776.35,123919.34
2005-07-01,275591.48,1411698.0,1683066.43,166780.41
2005-08-01,276596.83,1435550.0,1702948.43,274186.39
2005-09-01,274521.32,1461339.0,1736019.7,323862.81
2005-10-01,288830.49,1461345.0,1755399.48,427758.68
2005-11-01,288163.97,1497004.0,1770460.23,413824.71
2005-12-01,303537.3,1536755.0,1806168.93,401879.65
2006-01-01,309189.82,1551744.07,1800605.93,377293.78
2006-02-01,310808.54,1565386.8,1814776.3,355697.28
2006-03-01,328852.72,1600964.03,1851671.37,362346.24
2006-04-01,325004.74,1603309.53,1868861.99,364191.48
2006-05-01,330608.31,1622304.25,1875268.45,345554.05
2006-06-01,322906.98,1637896.55,1881429.56,342032.4
2006-07-01,331813.17,1650967.36,1916381.81,334952.16
2006-08-01,336798.13,1679209.75,1939710.38,330398.18
2006-09-01,338471.17,1718989.27,1971922.63,347192.13
2006-10-01,348435.01,1742357.32,2007826.81,419066.49
2006-11-01,344090.52,1763573.94,2022307.41,374299.93
2006-12-01,360511.37,1812999.83,2091407.83,377441.93
2007-01-01,362885.67,1832033.54,2101054.94,344394.89
2007-02-01,366083.85,1863091.55,2136097.14,335050.24
2007-03-01,382139.96,1899804.45,2176198.84,334192.59
2007-04-01,405454.64,1935746.92,2212071.39,333850.91
2007-05-01,400028.55,1957064.38,2239036.21,308868.17
2007-06-01,397194.45,1992454.62,2270914.17,271337.6
2007-07-01,413172.1,2025945.11,2312285.19,324405.03
2007-08-01,419936.97,2059413.24,2339670.2,300160.91
2007-09-01,422277.78,2091126.73,2379865.28,231707.34
2007-10-01,425459.41,2116658.19,2404951.55,213237.39
2007-11-01,420345.43,2139727.97,2438667.62,168083.59
2007-12-01,439504.3,2192603.08,2491739.85,98057.29
2008-01-01,434898.66,2216985.78,2523084.02,53270.15
2008-02-01,439406.57,2270719.93,2604656.38,43097.59
2008-03-01,471146.5,2321171.49,2672826.61,19540.38
2008-04-01,449306.66,2353485.22,2719167.43,
2008-05-01,449479.41,2351369.88,2707158.76,68784.99
2008-06-01,457526.14,2381342.88,2737070.07,96176.26
2008-07-01,463412.63,2410233.16,2770896.64,124166.34
2008-08-01,472950.17,2439376.84,2813408.6,159074.88
2008-09-01,473141.73,2455009.54,2828650.89,163560.71
2008-10-01,471116.18,2463315.57,2842561.59,201968.51
2008-11-01,476890.83,2529841.56,2880656.87,212683.23
2008-12-01,484362.44,2593184.86,2929070.18,149534.43
2009-01-01,484096.0,2627393.93,2984631.78,93351.04
2009-02-01,486728.22,2688229.4,3048073.81,27222.27
2009-03-01,512395.91,2749442.04,3089745.99,
2009-04-01,500287.64,2788337.47,3132660.33,
2009-05-01,507211.3,2799417.23,3147468.74,
2009-06-01,500301.22,2843835.27,3169809.67,
2009-07-01,456106.03,2875610.05,3225521.38,
2009-08-01,466583.92,2883489.76,3244571.21,
2009-09-01,465742.7,2937208.35,3289131.97,
2009-10-01,466851.64,3002427.41,3362500.91,
2009-11-01,471997.26,2997741.13,3363136.47,
2009-12-01,488585.61,3058792.83,3417852.83,
2010-01-01,485179.78,3094569.83,3460811.54,
2010-02-01,494615.25,3120240.64,3495405.56,
2010-03-01,521552.38,3165810.26,3538064.9,
2010-04-01,515339.21,3175118.51,3546480.67,
2010-05-01,499499.48,3178773.04,3555525.29,
2010-06-01,507666.62,3214316.42,3592830.18,
2010-07-01,524505.66,3230603.84,3608027.59,
2010-08-01,532055.4,3259844.25,3642182.4,
2010-09-01,536887.53,3316759.92,3709640.59,
2010-10-01,547674.31,3351268.18,3747630.56,
2010-11-01,551849.94,3398549.05,3794824.41,
2010-12-01,577911.99,3460557.8,3875853.24,
2011-01-01,576104.55,3467555.68,3896006.6,
2011-02-01,582954.21,3492558.75,3926630.22,
2011-03-01,619560.67,3553629.07,3980651.18,
2011-04-01,612655.34,3593405.46,4038159.69,
2011-05-01,589812.12,3641271.03,4102787.61,
2011-06-01,608045.13,3677477.76,4141100.57,
2011-07-01,630331.5,3732237.66,4193878.37,
2011-08-01,637226.51,3783870.19,4252506.89,
2011-09-01,640491.4,3821803.42,4305002.99,
2011-10-01,6.444146511256734e+161,3877680.0,4384849.0,
2011-11-01,,3945726.0,4447629.0,
2011-12-01,,4057212.0,4565917.0,
2012-01-01,,4102952.0,4638282.0,
2012-02-01,,4158410.0,4703819.0,
2012-03-01,,4206399.0,4731636.0,
2012-04-01,,4242061.0,4772124.0,
2012-05-01,,4241083.0,4781197.0,
2012-06-01,,4310482.0,4843739.0,
2012-07-01,,4394705.0,4940432.0,
2012-08-01,,4434839.0,4988563.0,
2012-09-01,,4551940.0,5096238.0,
2012-10-01,,4616764.0,5165733.0,
2012-11-01,,4683235.0,5246721.0,
2012-12-01,,4823559.0,5405596.0,
2013-01-01,,4866011.0,5460428.0,
2013-02-01,,4951313.0,5551956.0,
2013-03-01,,5096203.0,5677402.0,
2013-04-01,,5146804.0,5730774.0,
2013-05-01,,5214381.0,5803167.0,
2013-06-01,,5281417.0,5872507.0,
2013-07-01,,5367003.0,5986619.0,
2013-08-01,,5423037.0,6050583.0,
2013-09-01,,5503149.0,6132134.0,
2013-10-01,,5532506.0,6159242.0,
2013-11-01,,5549947.0,6183942.0,
2013-12-01,,5665313.0,6308062.0,
2014-01-01,,,,
2014-02-01,,,,
2014-03-01,,,,
2014-04-01,,,,
2014-05-01,,,,
2014-06-01,,,,
2014-07-01,,,,
2014-08-01,,,,
2014-09-01,,,,
2014-10-01,,,,
2014-11-01,,,,
2014-12-01,,,,
2015-01-01,,,,
2015-02-01,,,,
2015-03-01,,,,
2015-04-01,,,,
2015-05-01,,,,
2015-06-01,,,,
2015-07-01,,,,
2015-08-01,,,,
2015-09-01,,,,
2015-10-01,,,,
2015-11-01,,,,
2015-12-01,,,,
2016-01-01,,,,
2016-02-01,,,,
2016-03-01,,,,
2016-04-01,,,,
2016-05-01,,,,
2016-06-01,,,,
2016-07-01,,,,
2016-08-01,,,,
2016-09-01,,,,
2016-10-01,,,,
2016-11-01,,,,
2016-12-01,,,,
2017-01-01,,,,
2017-02-01,,,,
2017-03-01,,,,
2017-04-01,,,,
2017-05-01,,,,
2017-06-01,,,,
2017-07-01,,,,
2017-08-01,,,,
2017-09-01,,,,
2017-10-01,,,,
2017-11-01,,,,
2017-12-01,,,,
