0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,External Sector,Unit of Description,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-15 00:00:00,2015-03-16 00:00:00,2015-04-15 00:00:00,2015-05-15 00:00:00,2015-06-15 00:00:00,2015-07-15 00:00:00,2015-08-15 00:00:00,2015-09-15 00:00:00,2015-10-15 00:00:00,2015-11-15 00:00:00,2015-12-15 00:00:00,2016-01-16 00:00:00,2016-02-16 00:00:00,2016-03-16 00:00:00,2016-04-16 00:00:00,2016-05-16 00:00:00,2016-06-17 00:00:00,2016-07-16 00:00:00,2016-08-16 00:00:00,2016-09-16 00:00:00,2016-10-16 00:00:00,2016-11-16 00:00:00,2016-12-16 00:00:00,2017-01-31 00:00:00,2017-02-28 00:00:00,2017-03-31 00:00:00,2017-04-30 00:00:00,2017-05-31 00:00:00,2017-06-30 00:00:00,2017-07-31 00:00:00,2017-08-31 00:00:00,2017-09-30 00:00:00,2017-10-31 00:00:00,2017-11-30 00:00:00,2017-12-31 00:00:00,2018-01-31 00:00:00,2018-02-28 00:00:00,2018-03-31 00:00:00,Apr-18             (as at 27 Apr),2018-05-31 00:00:00,Jun-18             (as at 29 Jun) ,2018-07-18 00:00:00,2018-08-18 00:00:00,Sep-18           (as at 28 Sep),2018-10-18 00:00:00,2018-11-18 00:00:00,2018-12-18 00:00:00,2019-01-19 00:00:00,2019-02-19 00:00:00,2019-03-19 00:00:00,2019-04-19 00:00:00,2019-05-19 00:00:00,2019-06-19 00:00:00,2019-07-19 00:00:00,2019-08-19 00:00:00,2019-09-19 00:00:00,2019-10-19 00:00:00,2019-11-19 00:00:00,2019-12-19 00:00:00,2020-01-20 00:00:00,2020-02-20 00:00:00,2020-03-20 00:00:00,2020-04-20 00:00:00,2020-05-20 00:00:00,2020-06-20 00:00:00,2020-07-20 00:00:00,2020-08-20 00:00:00,2020-09-20 00:00:00,2020-10-20 00:00:00,2020-11-20 00:00:00,2020-12-20 00:00:00,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,2022-01-22 00:00:00,2022-02-22 00:00:00,2022-03-22 00:00:00,2022-04-22 00:00:00,2022-05-22 00:00:00,2022-06-22 00:00:00,2022-07-22 00:00:00,2022-08-22 00:00:00,2022-09-22 00:00:00,2022-10-22 00:00:00,2022-11-22 00:00:00,2022-12-22 00:00:00,2023-01-23 00:00:00,2023-02-23 00:00:00,2023-03-23 00:00:00,2023-04-23 00:00:00,May-23    ,Jun-23 ,Jul-23    ,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24    ,Apr-24    ,May-24,Jun-24,Jul-24,Aug-24    ,Sep-24,Oct-24     ,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25 (b)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Official Reserve Assets,US $ millions,7005.112547885943,7495.272121523254,8048.583905345139,8259.552166921556,8059.724448730886,8896.731082422368,8772.663840758212,9164.004705013178,8973.741181262614,9185.637359336446,8821.804336421244,8790.920103836674,8330.88205481358,8208.41,7252.429999999999,7420.4554996301695,6819.545505227352,7454.631473478869,6845.77,7525.485379478358,6808.550649772876,6457.719028229418,6783.679258500682,6480.684974502037,7281.211071319568,7303.637753940239,6294.321468539339,6573.369087438172,6221.186356293166,6068.525257617199,5645.141094794298,5292.2699999999995,6489.187703676498,6598.941049091874,6455.718499925342,6053.842609846051,5644.133101910387,6019.035611001512,5453.161533649116,5634.658678738561,5117.259154753076,5048.0818935876005,6759.704093553758,6959.025226455214,6710.485696665525,7693.548007249217,7279.835590729757,7500.7921236637585,7335.117235752753,7958.65303040954,7669.98,7922.3693454901895,7319.749709742925,9935.768813397093,8808.916585622243,9267.017122111823,8429.671933126869,8584.53782202296,7164.0793420685,7903.305318148267,7005.322478512801,6919.216639148527,6152.196208752774,6035.155009941658,7629.241941007436,7213.972057497156,6722.612629789063,8864.984523119312,8347.063830786541,8523.712277937197,7635.331963594275,7780.0830136039785,7520.452982431865,7642.393000751939,7512.733529432759,7941.515070351391,7533.736569408685,7209.520101152639,6499.857251537734,6694.648013475818,7095.831822594811,7430.083006707859,6666.320938200717,5855.74394110227,5555.275602812615,5664.265569350756,4841.863004371764,4582.993424023525,4055.2,4470.738472224253,4032.8312179100917,4060.0459080962846,2805.884166609781,3543.508985941734,2704.1872990039246,2269.211946488995,1588.37233054694,3139.2264604363068,2361.645210710561,2311.250466948733,"1,917 (a)","1,812 (a)","1,887 (a)","1,854 (a)","1,817 (a)","1,717 (a)","1,779 (a)","1,705 (a)","1,806 (a)","1,898 (a)","2,121 (a)","2,219 (a)","2,694 (a)","2,761 (a)","3,491 (a)","3,724 (a)","3,765 (a)","3,600 (a)","3,540 (a)","3,569 (a)","3,571 (a)","4,392 (a)","4,496 (a)","4,520 (a)","4,960 (a)","5,471 (a)","5,410 (a)","5,654 (a)","5,652 (a)","5,959 (a)","5,994 (a)","6,472 (a)","6,451 (a)","6,122 (a)","6,065 (a)","6,086 (a)","6,531 (a)","6,327 (a)","6,286 (a)","6,081 (a)","6,147 (a)","6,178 (a)","6,244 (a)","6,216 (a)","6,034 (a)","6,825 (a)"
,Foreign Currency Reserves,US $ millions,6001.298932181784,6521.128482064121,7037.420353038395,7276.541099843131,7078.31073571379,7923.626232286314,7791.76453238364,8139.863709469786,7964.566061151585,8143.508181769976,7837.250892520176,7839.0693326780965,7365.591721912065,7236.246559593665,6272.15,6477.158042591045,5894.962838339052,6521.749265632507,5915.14,6606.369917062229,5957.693245296405,5572.66120594564,5907.996188318565,5587.216574092876,6451.444499890437,6469.407966310271,5423.005238521006,5616.736906599328,5259.558915701182,5079.216924212857,4705.223632215986,4277.7,5451.791092031718,5586.730425703543,5434.128937663378,5071.877567724941,4727.600285827104,5121.224243693658,4527.544328579585,4673.162795520925,4162.082811168235,4072.7085090059904,5787.15335852223,6001.131222609536,5730.392327950454,6687.995900647561,6286.795877332948,6517.448724071269,6346.838677211015,6956.896962901672,6634.43,6906.460348361344,6353.255340874654,9018.446439443143,7904.846754078268,8392.154119907551,7573.217618767607,7747.180926111737,6334.38813801603,7052.688845718352,6157.338179805389,6037.501839134236,5233.016344041145,5126.769343705842,6735.910333353807,6319.458995818522,5824.361518627588,7890.880177001172,7356.831309321293,7494.6606011229915,6631.671242422526,6752.639899860887,6523.900823304263,6616.372127385561,6513.971348897472,7545.645533609353,7125.383680076962,6765.56143985292,6057.850264729003,6241.060018930219,6600.583277571981,6934.378154304188,6188.892442954664,5379.255426028151,5101.119316154276,5185.147154450685,4365.344107248174,4125.455237273178,3610.6567654184005,4013.2218831923983,3548.5948506768955,3599.194420172977,2334.4217196247946,2954.224646512238,2129.1970316576635,1687.732932944309,1014.6678115731258,2771.950604309453,2079.0822190842528,2026.2114586890987,1701.5156177668896,1602.2132233302032,1776.443218752245,1745.8068806701,1709.2536743990577,1619.7293473292389,1682.8377556750897,1609.8058427330577,1733.1032348497404,1863.3403247519202,2065.432830597256,2184.2875087265556,2629.1164092506947,2692.70596778638,3445.19039360963,3679.9931156252305,3696.9796108349124,3561.7463096346532,3498.8954179148086,3493.981408469624,3531.702677946665,4336.473731921045,4425.612544163821,4482.340716033624,4916.3794807720005,5389.193492483832,5368.235638555519,5605.029604018364,5577,5916.006953241527,5948.803554129541,6388.171639787415,6407.796242600988,6047.66870987018,5986.317506131903,6032.73744964807,6466.518492334026,6242.64855229052,6230.656967004765,6024.769025011985,6062.782301692775,6119.598459914199,6179.227816045453,6101.557919268492,5943.526708888716,6733.69
,IMF Reserve Position,US $ millions,73.46792129611,73.7044,73.4195874522,74.0512772934,73.96657342833001,74.16086590979,73.71964012677,73.9790142581,73.28128412989999,72.66251674858,70.95025443659999,70.74591234403,70.07163129384,69.33322415370999,67.47,67.3510565931,66.0158940021,67.3046369618,66.54,67.3032013031,66.743772963,67.179256102,67.17638478459999,66.84762033917,65.66559465147,66.31451239743,66.0642292255,66.10299201121,67.41949106662,67.82673959303,67.13523063808,66.94,66.68060537358001,66.7246322413,66.79689373071,65.75,64.78457874416,64.33330335003001,65.02720506953,64.79079993199001,64.93245159335,65.61056106682,66.24703643712,66.58537334449,67.36828590525,67.63818974649,67.6338827703,67.22184871479,67.73533598722,68.15215557183,69.64,69.19348670398999,69.56580086797,68.8063373998,67.79444061654122,67.31181666187001,67.23046266717,67.06392625449,66.77009476775001,66.14223334983001,66.19487416993,66.55666016989,67.0309061037,66.90073971218,66.43510773075,66.31594805616001,65.92640598742001,66.52890410111,65.82112434722,65.48230888693999,65.24159677321,66.01110985249,65.7005290139,66.17573205353,65.89434294245,65.71871402448001,65.3129011568,65.27126705363001,65.65841635782,65.8345238287,67.62287605337,67.90235095281,67.35967195287,67.55444298724001,68.43737310619001,68.92453996857,68.9499032728,68.87668467757,67.82099695811,68.71971932309,69.13510324897,68.26174418822,68.37420412207001,68.15837675966,67.42188383117,67.73342177558001,67.03569163280001,66.97778673069,66.60403690798,66.75143120426,66.1551542784,64.3318676913,64.59028626269999,63.54129828398,63.341263167600005,62.27600438994,61.249029845079995,3.66416638739,3.7542508184399996,3.79993547444,3.85027425477,3.7940821278899994,3.8410231119299993,3.84610552991,3.79028459086,3.79773690037,3.83448449554,3.7973657125399995,3.75465055918,3.75225211474,3.8069309373899998,3.8308582759699994,3.7971943950799996,3.79057011996,3.7805480485499996,3.76307366763,3.7790918501399995,3.75567846394,3.7930256702199996,3.84496341351,3.87283105367,3.80219115433,3.7515953978099996,3.7236706518299996,3.72281406453,3.737575919,3.7938251516999997,3.8720886780099995,3.8738018526099998,3.923169834,3.8686623288099997,3.90786547424,3.91451830227,3.87859874149,3.87911269387,3.91
,SDRs,US $ millions,15.496370002560733,15.5466214006562,15.49064669541538,8.485246503685474,8.478572121788993,14.69855948174602,8.864875280136685,8.89970539347883,14.178902448809694,9.160660353512817,8.94735422027554,13.359276456600638,9.255047645176361,9.158906440846545,8.91,9.022894577776764,8.84528254195645,14.776070733848245,11.68,11.815671215645805,9.044656539145263,9.102524183489189,9.1045579805808,9.058794162850717,6.670379080575061,6.737492701993582,6.713255529744546,6.824115805846567,6.961235082625935,6.984874374828297,5.471434500437177,4.11,5.492596671936674,4.080487312667312,4.086190517461111,4.023167232248938,2.039137112153782,2.0267083299205875,2.05,0.14830241695289256,0.15509609158856336,2.203717299057116,0.20218918109639344,0.2643728567345508,4.677729368738812,2.3000194383452577,2.31564104536986,2.3172059620372383,2.404223864175615,4.461255354629338,4.57,0.5508532030117009,0.5747538186977653,5.324518391101833,2.140059083990132,6.242433202441807,6.25694530508725,0.5033619753235307,0.5268343065378865,7.457966305531649,1.211076776059197,1.2440755283051745,7.162722981816052,0.36618128928000004,0.42278229419610514,7.371788729091335,7.746770106639707,7.353092312401438,14.594122174711117,7.290010138029388,7.29165432272439,7.406435889843259,7.247737928265381,7.3240043404767325,7.3168494705418095,0.4829395746671904,0.5003688724843373,7.333068418113456,2.6299482953587225,2.6457379394990546,6.40056271903575,2.6728584792217958,2.6534402492217675,6.333327135508758,2.582634335089562,2.603506028406858,6.641043437161345,2.7683636392693596,2.7284500040483897,6.491208970121892,2.9301115227978944,8.643235091091306,12.231014168869384,129.3,127.9,128.5,123.7,123.55832378048096,122.87020477320131,119.54321698144474,118.47716629097259,115.19728005431385,16.728281250120986,16.463361118497374,16.41826927392439,8.453476079115822,8.335055932475932,66.12635279254013,40.98827921177144,1.8062851357314544,21.693903222956145,1.726419778645579,28.414852056179377,28.435647809627753,4.3729134257468845,4.381511277152309,33.6999995794584,4.556530046265157,4.505275335917647,34.333375397617814,4.982640727190736,33.67018672906619,33.374308084189764,1.6431050846976658,0.6298346981597234,33.69741281305537,1.3128444750156163,0.31816890967368905,33,0.2431290906547396,0.24489124890046432,37.659227468478896,3.1804045609718194,3.15673143526145,32.04887806573103,5.398412867793581,3.470624193288443,29.573517998868894,2.357316187809975,2.3873579777668588,29.34488331064376,0.9485427969523761,0.950157615101431,31.233535983191004,2.054464878540633,1.04
,Gold,US $ millions,913.8704970807928,883.9103859184876,921.274764560043,899.4875669199731,897.9827216199715,883.2569876899939,897.3322360300346,940.2762607399899,920.7382224700523,959.3080335200259,903.6734398399333,866.7705965699507,884.9558162589823,892.7071157494242,902.96,865.9868701999247,848.8034228398043,849.3079943899172,851.51,839.055275989828,774.0963425498503,807.7567506599404,798.3127981798227,816.5994966098302,756.4681083997755,760.2041775298603,797.5720258499118,881.5525555999861,886.2643025499652,913.5118410599722,866.3386006198972,942.55,964.2565345400167,940.4373046600053,949.6951694000049,911.1964802199118,848.7282595199055,830.4773471998664,857.56,895.5758464400001,889.105719089942,906.565758549967,905.09852834,890.0361577499838,907.0273992699432,934.5898554999835,922.0217762600239,912.7424398499776,917.0689796699123,928.0660489800778,960.24,945.0716049400214,894.923657379987,841.4911356600456,833.3100028800051,799.9787523399611,781.8059082299837,768.6943816199613,760.5579544899115,775.8089654699437,779.4872843699247,819.0616756199594,843.8158291199625,838.7577048799386,825.3779444099246,819.7322602799442,833.8081514799946,900.2119984800819,902.9103034000976,956.8327472800836,926.696902230068,952.1819402501417,916.4827482101043,954.8786531201208,935.5511019801118,341.5418752401859,339.7089058301294,369.05030490017214,372.68285724327853,383.60205665824697,425.58277158828054,423.8456506982248,406.18689604818616,402.2603351282228,382.73737945816424,408.8878874695427,397.96545719828924,381.3599599782282,367.82484816836205,381.05302913827904,410.72193390837094,381.2641113983378,390.75742859829916,390.6357332184286,378.43065506683723,384.1223375883549,382.21398159832785,175.37950520835307,92.01475891839098,97.6679900699851,29.322753479966554,28.727127709960506,27.829599059984474,27.373033419973755,26.74438465997783,25.91562865996766,25.149131609975203,24.742857879961466,26.785284699969022,27.626916639971355,29.207930409951956,27.671755199985178,29.82264284079628,30.13863353999689,29.727815359986145,29.06993063996374,29.76023242998622,29.384103539973854,27.997592179974713,30.044260489972405,30.842720159961196,31.24429795994917,30.887255759967662,30.961936199948926,33.77192043995077,34.62627682995229,35.24447335998116,35.2388685399558,37,37.914640059987825,39.90056422997329,41.5386865699641,39.51458902996344,39.74893110997791,42.35759625995994,43.266637529953655,47.30316851996577,49.794738369971746,49.81776357999768,50.02453599994533,49.823368399965716,52.20965851993658,58.44312758999464,79.81000681996687,84.54849345997191,86.15
,Other Reserve Assets,US $ millions,0.978827324695122,0.9822321399891399,0.9785535990855094,0.9869763613657321,0.985845847007037,0.9884370545237915,0.9825569376321734,0.9860151518244569,0.9767110622670114,0.9979669443501423,0.982395404258779,0.974985787994216,1.007837703517795,0.9641940623554925,0.94,0.9366356683220465,0.9180675044394281,1.4935057607975921,0.9,0.941313907554226,0.9726324244760479,1.0192913383469844,1.089329237114424,0.9624892973093473,0.9624892973093473,0.973605000683732,0.9667194131772473,2.152517421801933,0.982411892772759,0.9848783765114661,0.972196819897084,0.97,0.9668750592466651,0.968199174357918,1.0113086137883043,0.9953946689497096,0.9808407070631971,0.9740084280373832,0.98,0.980934428694215,0.9830768099599699,0.9933476657669519,1.0029810733114755,1.0080998944694157,1.0199541711388571,1.0240419168384207,1.0684133211146043,1.0619050656844866,1.0700190204285496,1.0766076013314596,1.1000596254622217,1.093052281822772,1.4301568016156696,1.7003825030019808,0.8253289634385476,1.33,1.160998157019624,1.0952260614468052,1.8363204882700899,1.20730730460923,1.0910633914985177,-5.147611303863915,1.1704065061504174,2.3610403544172005,1.0957732187588713,1.0930646134381226,-9.230216412580493,0.010351224546805593,6.906971543220569,-0.5533894908484698,4.430567845746079,1.8436277506166214,7.12114397533209,-2.357516147749318,-10.000113857816022,-11.873992097294941,2.8307134723081946,2.3040209278035784,1.0357649122722261,1.5056761191524206,-4.357665337857123,1.2839922734149203,1.2284869957753026,0.34040982314719326,0.3988997588949348,-1.2975185664477955,2.9624932153398964,4.5331784552796,6.132616858344318,1.2526316003637348,1.449218553057644,2.6823972456584406,0.09980009574787396,1.155575411047619,1.1992318227753285,1.0922000747013556,0.7910796299327879,1.3602404073303043,1.0739910267357884,1.0763700039441533,1.0667512400668897,1.0373540263273364,1.0415202784122408,1.024605222711462,1.021377412389135,1.004203200239237,0.9985331815651695,1.0011958190751444,1.025810791533299,1.038477037812233,1.0520435180317005,1.953006246602207,3.0723544029879704,5.456258987284317,8.183911637849212,6.955937996567694,1.0767336226448778,0.381079108352543,4.797049197313097,7.0095310382345755,0.1478083915654611,-13.076616939997828,2.1462006555581774,1.28415256360405,5.284223724789887,9.358731343839656,1.6476576385702921,10.144772826616379,1,1.06217944581184,1.0698827313921695,1.04878024727758,-3.166324014747805,27.680978197832882,1.0284364754047404,1.032520356205336,9.472937373627962,1.0696781095033805,-0.8716944608807198,0.26599288396005716,1.068731779943542,1.079563026121975,1.0813980406774801,0,0,0
