date,actual,split,forecast
2020-01-01,7512.733529432759,validation,7842.451435609453
2020-02-01,7941.515070351391,validation,7920.06245289177
2020-03-01,7533.736569408685,validation,7960.135187173135
2020-04-01,7209.520101152639,validation,7988.841551675887
2020-05-01,6499.857251537734,validation,8011.036215826311
2020-06-01,6694.648013475818,validation,8030.198705161987
2020-07-01,7095.831822594811,validation,8047.330824935572
2020-08-01,7430.083006707859,validation,8063.3334808922555
2020-09-01,6666.320938200717,validation,8078.553755219769
2020-10-01,5855.74394110227,validation,8093.277221829886
2020-11-01,5555.275602812615,validation,8107.635713509865
2020-12-01,5664.265569350756,validation,8121.733329785768
2021-01-01,4841.863004371764,validation,8135.626733340329
2021-02-01,4582.993424023525,validation,8149.361096405224
2021-03-01,4055.2,validation,8162.965290466003
2021-04-01,4470.738472224253,validation,8176.462982715499
2021-05-01,4032.831217910092,validation,8189.87138754116
2021-06-01,4060.0459080962846,validation,8203.20493993901
2021-07-01,2805.884166609781,validation,8216.475031097734
2021-08-01,3543.508985941734,validation,8229.691329009038
2021-09-01,2704.1872990039246,validation,8242.86179791395
2021-10-01,2269.211946488995,validation,8255.993231429065
2021-11-01,1588.37233054694,validation,8269.091341629448
2021-12-01,3139.2264604363068,validation,8282.161009597306
2022-01-01,2361.645210710561,validation,8295.20637758121
2022-02-01,2311.250466948733,validation,8308.230986951206
2022-03-01,1917.0,validation,8321.237855387099
2022-04-01,1812.0,validation,8334.229562982064
2022-05-01,1887.0,validation,8347.208312225712
2022-06-01,1854.0,validation,8360.17598612779
2022-07-01,1817.0,validation,8373.134193348835
2022-08-01,1717.0,validation,8386.084309111793
2022-09-01,1779.0,validation,8399.027508651703
2022-10-01,1705.0,validation,8411.964796604507
2022-11-01,1806.0,validation,8424.897031620801
2022-12-01,1898.0,validation,8437.824947677544
2023-01-01,2121.0,test,8450.749172126058
2023-02-01,2219.0,test,8463.670241212463
2023-03-01,2694.0,test,8476.588613288179
2023-04-01,2761.0,test,8489.50468013405
2023-05-01,3491.0,test,8502.418776621438
2023-06-01,3724.0,test,8515.33118898128
2023-07-01,3765.0,test,8528.242161866187
2023-08-01,3600.0,test,8541.151904390692
2023-09-01,3540.0,test,8554.060595292258
2023-10-01,3569.0,test,8566.968387344008
2023-11-01,3571.0,test,8579.875411125915
2023-12-01,4392.0,test,8592.78177824868
2024-01-01,4496.0,test,8605.68758410915
2024-02-01,4520.0,test,8618.59291024564
2024-03-01,4960.0,test,8631.497826351095
2024-04-01,5471.0,test,8644.402391993845
2024-05-01,5410.0,test,8657.306658088408
2024-06-01,5654.0,test,8670.210668152642
2024-07-01,5652.0,test,8683.11445938227
2024-08-01,5959.0,test,8696.01806356933
2024-09-01,5994.0,test,8708.921507887184
2024-10-01,6472.0,test,8721.824815561502
2024-11-01,6451.0,test,8734.72800644377
2024-12-01,6122.0,test,8747.631097501473
2025-01-01,6065.0,test,8760.534103237085
2025-02-01,6086.0,test,8773.437036046173
2025-03-01,6531.0,test,8786.339906523483
2025-04-01,6327.0,test,8799.242723724563
2025-05-01,6286.0,test,8812.14549538938
2025-06-01,6081.0,test,8825.048228133439
2025-07-01,6147.0,test,8837.950927611148
2025-08-01,6178.0,test,8850.853598655438
2025-09-01,6244.0,test,8863.756245397122
2025-10-01,6216.0,test,8876.658871366883
2025-11-01,6034.0,test,8889.561479582466
2025-12-01,6825.0,test,8902.464072623201
