date,actual,split,forecast
2020-01-01,-129.65947131918074,validation,-14.184010548127924
2020-02-01,428.78154091863234,validation,32.79495523762759
2020-03-01,-407.77850094270616,validation,293.2756718027398
2020-04-01,-324.216468256046,validation,231.28190407307576
2020-05-01,-709.6628496149051,validation,190.94422919122826
2020-06-01,194.790761938084,validation,13.719475159284105
2020-07-01,401.18380911899294,validation,-66.00591465049172
2020-08-01,334.2511841130481,validation,135.61083208710295
2020-09-01,-763.7620685071415,validation,-2.3735455206101106
2020-10-01,-810.5769970984475,validation,154.0301085172667
2020-11-01,-300.46833828965464,validation,91.36724186709179
2020-12-01,108.98996653814083,validation,-48.00871650085076
2021-01-01,-822.4025649789919,validation,-64.10209577228402
2021-02-01,-258.86958034823874,validation,-283.99343923466387
2021-03-01,-527.7934240235254,validation,-337.61016628790895
2021-04-01,415.5384722242534,validation,141.51642769114684
2021-05-01,-437.907254314161,validation,-49.37675333735413
2021-06-01,27.214690186192456,validation,-155.36325563519438
2021-07-01,-1254.1617414865036,validation,-115.00871100798892
2021-08-01,737.624819331953,validation,-428.03140429762146
2021-09-01,-839.3216869378093,validation,259.9845979809053
2021-10-01,-434.9753525149295,validation,-342.3128773221186
2021-11-01,-680.8396159420552,validation,-222.83174758389066
2021-12-01,1550.8541298893667,validation,-119.92953369068667
2022-01-01,-777.5812497257457,validation,-104.66618645720048
2022-02-01,-50.39474376182807,validation,-137.8566383170793
2022-03-01,-394.250466948733,validation,-3115.3273787115254
2022-04-01,-105.0,validation,-1342.3334992188225
2022-05-01,75.0,validation,-579.665477881041
2022-08-01,-170.0,validation,-156.69734549231228
2022-09-01,62.0,validation,71.98295845031673
2022-11-01,27.0,validation,63.678635773271054
2022-12-01,92.0,validation,29.704941739796705
2023-01-01,223.0,test,103.82524095001192
2023-02-01,98.0,test,102.60295392186875
2023-03-01,475.0,test,1295.411120235894
2023-04-01,67.0,test,129.36865989143234
2023-05-01,730.0,test,761.6811169978416
2023-06-01,233.0,test,-379.62561738790447
2023-07-01,41.0,test,-586.7572843112392
2023-08-01,-165.0,test,142.1067271671721
2023-09-01,-60.0,test,84.84777575207454
2023-10-01,29.0,test,-8.557992974396013
2023-11-01,2.0,test,4.99430827773692
2023-12-01,821.0,test,220.7302438553427
2024-01-01,104.0,test,251.50540599063604
2024-02-01,24.0,test,236.53368101694915
2024-03-01,440.0,test,280.87174028446896
2024-04-01,511.0,test,392.56616135287715
2024-05-01,-61.0,test,-156.29463717133032
2024-06-01,244.0,test,-128.77146732643985
2024-07-01,-2.0,test,101.46228228587941
2024-08-01,307.0,test,23.693703745369483
2024-09-01,35.0,test,225.92896362991323
2024-10-01,478.0,test,139.98246275210943
2024-11-01,-21.0,test,273.26564209268395
2024-12-01,-329.0,test,-65.95445040112759
2025-01-01,-57.0,test,-67.94779030374093
2025-02-01,21.0,test,166.9914478985818
2025-03-01,445.0,test,-66.69228952967335
2025-04-01,-204.0,test,129.29096499248416
2025-05-01,-41.0,test,80.80517391642118
2025-06-01,-205.0,test,-56.78635460813318
2025-07-01,66.0,test,-168.01417659836426
2025-08-01,31.0,test,14.281328689681043
2025-09-01,66.0,test,82.21765818111686
2025-10-01,-28.0,test,-23.69634096645878
