split,horizon,n_forecasts,mae,rmse,mase,bias,coverage_80,varset
validation,1,36,524.2768981907951,678.0033317816982,1.26834661503797,-310.5404446063767,0.6111111111111112,parsimonious
validation,3,36,749.8988051723869,935.7501896724299,1.8343371206782522,-598.8854624961227,0.6666666666666666,parsimonious
validation,6,36,1264.9595012232487,1526.7760621003313,3.155011890554922,-881.4215714747412,0.5833333333333334,parsimonious
validation,12,36,2283.1668390867417,2571.7831386305343,6.653510587468777,-1307.6753600289953,0.5277777777777778,parsimonious
test,1,26,426.99944202517116,510.0360772899031,1.872147676364307,341.16680364219235,0.8076923076923077,parsimonious
test,3,24,739.7168414984504,860.6126558325725,3.2971874717954184,684.1785480522607,0.8333333333333334,parsimonious
test,6,21,1224.4537811300445,1321.113156367018,5.892462854331302,1224.4537811300445,0.7142857142857143,parsimonious
test,12,15,2449.473916080937,2483.051661823245,11.526936075674998,2449.473916080937,0.26666666666666666,parsimonious
validation,1,36,578.1427307251139,725.2536531001771,1.3986604751315004,-367.50217841087357,0.6666666666666666,bop
validation,3,36,882.7787610789102,1078.7194882648537,2.159376491366931,-698.2177950060749,0.5833333333333334,bop
validation,6,36,1435.4498517733855,1702.8315065536888,3.580242170805314,-1032.9620619317798,0.5,bop
validation,12,36,2533.876447745609,2785.7015017074345,7.384118183477469,-1539.7923941305119,0.4444444444444444,bop
test,1,26,435.29004884754767,511.2825677208872,1.9084972327584515,334.79502595813096,0.8076923076923077,bop
test,3,24,706.9632965696819,830.9266989213264,3.1511929885857914,635.3879789740861,0.75,bop
test,6,21,1118.0654961144708,1231.5509216379492,5.3804884317347,1118.0654961144708,0.7619047619047619,bop
test,12,15,2275.5651642393714,2323.835293628064,10.708541949361747,2275.5651642393714,0.3333333333333333,bop
validation,1,26,671.8829819471031,798.6366532147172,1.238228231661588,-411.0500007161913,0.5,monetary
validation,3,24,971.4096494804699,1139.0945378162453,1.7409567602455986,-820.8223632946266,0.4583333333333333,monetary
validation,6,21,1685.4970578712496,1907.8719433904444,2.9242357150046803,-1643.544024644009,0.42857142857142855,monetary
validation,12,15,3744.2742376227357,3891.65036729947,6.249886036877261,-3744.2742376227357,0.06666666666666667,monetary
test,1,13,621.8075099746309,904.0136181511976,2.977529975935982,507.79007013929225,0.7692307692307693,monetary
test,3,11,994.5469117611323,1435.9327587312252,6.395800075634291,933.0699218904549,0.7272727272727273,monetary
test,6,8,1570.0636147493528,2050.921321836485,8.806446557087718,1570.0636147493528,0.5,monetary
test,12,2,4263.380541436556,4714.313111985065,203.01812102078839,4263.380541436556,0.0,monetary
validation,1,23,713.41977263472,833.8007610279686,1.271570985756469,-509.5532645479536,0.5652173913043478,pca
validation,3,21,1037.613551179344,1176.378858595675,1.7872648937320803,-1023.4746187559011,0.5714285714285714,pca
validation,6,18,1707.0687137917698,1878.0797893326128,2.8159741907508904,-1707.0687137917698,0.3333333333333333,pca
validation,12,12,3405.735137638891,3480.1195412772286,5.228549846155622,-3405.735137638891,0.0,pca
test,1,10,673.7443893717937,809.296510942979,2.888851598068672,673.7443893717937,0.8,pca
test,3,8,1210.2538201000566,1372.7841390741762,7.379596464024735,1210.2538201000566,0.625,pca
test,6,5,1941.3282389106237,2020.4376029969574,9.23342800908739,1941.3282389106237,0.2,pca
validation,1,26,701.6124780656828,820.2769264273709,1.2930173875059867,-450.9377077745009,0.5,full
validation,3,24,1058.4824983573312,1221.4012788395444,1.8970083960998325,-973.8491872280177,0.625,full
validation,6,21,1959.1822948502518,2160.4552062471553,3.3990630906479855,-1959.1822948502518,0.42857142857142855,full
validation,12,15,4177.649256291369,4264.018117390537,6.973269076157041,-4177.649256291369,0.0,full
test,1,13,559.7719715012471,850.4337432268702,2.68047232961491,434.23421526254754,0.8461538461538461,full
test,3,11,864.1220615161802,1291.971700783636,5.5570550579818665,786.1555084041906,0.9090909090909091,full
test,6,8,1328.314493215397,1753.3379347816333,7.450481933099183,1328.314493215397,0.875,full
test,12,2,3229.9489182530697,3669.1638018315543,153.80709134538426,3229.9489182530697,0.5,full
