forecast_origin,forecast_date,horizon,split,actual,forecast_point,forecast_mean,forecast_lower_10,forecast_upper_90,error,abs_error,sq_error,in_interval
2020-01-01,2020-02-01,1,validation,7941.515070351391,7663.256009892073,7678.308759800563,7004.093300461637,8360.2278442951,278.2590604593179,278.2590604593179,77428.10472770232,True
2020-01-01,2020-04-01,3,validation,7209.520101152639,7721.983158200692,7715.203217379966,6642.31848028188,8693.270694424713,-512.4630570480531,512.4630570480531,262618.3848390361,True
2020-01-01,2020-07-01,6,validation,7095.831822594811,7804.523134251575,7785.622343772324,6451.796087042519,9093.609527422574,-708.6913116567648,708.6913116567648,502243.37521778577,True
2020-01-01,2021-01-01,12,validation,4841.863004371764,7951.019580264573,7951.740068699981,6153.852740582983,9737.756662758778,-3109.156575892809,3109.156575892809,9666854.613417497,False
2020-02-01,2020-03-01,1,validation,7533.736569408685,7578.343276315178,7593.323293907878,6922.040284192085,8271.750658704434,-44.606706906492946,44.606706906492946,1989.7583010417654,True
2020-02-01,2020-05-01,3,validation,6499.857251537734,7639.129555811677,7632.33734148352,6566.080615592624,8607.551802854035,-1139.2723042739435,1139.2723042739435,1297941.383285661,False
2020-02-01,2020-08-01,6,validation,7430.083006707859,7721.672352299081,7702.786639685958,6374.349621771158,9002.176310166742,-291.5893455912219,291.5893455912219,85024.34646231704,True
2020-02-01,2021-02-01,12,validation,4582.993424023525,7865.228660455476,7865.4639101141765,6077.698044967715,9639.237991507242,-3282.2352364319504,3282.2352364319504,10773068.147275502,False
2020-03-01,2020-04-01,1,validation,7209.520101152639,7876.894563547371,7891.8676816938205,7221.426976697238,8571.860605162185,-667.3744623947323,667.3744623947323,445388.67305665795,False
2020-03-01,2020-06-01,3,validation,6694.648013475818,7912.689974937804,7906.465393672569,6841.529573279418,8875.467415731158,-1218.0419614619868,1218.0419614619868,1483626.2198821642,False
2020-03-01,2020-09-01,6,validation,6666.320938200717,7955.364017061883,7936.919097221974,6615.501955477134,9233.367948102727,-1289.0430788611657,1289.0430788611657,1661632.0591598733,True
2020-03-01,2021-03-01,12,validation,4055.2,8054.326031819967,8052.062780525852,6289.33870245212,9830.86838802368,-3999.1260318199675,3999.1260318199675,15993009.018380119,False
2020-04-01,2020-05-01,1,validation,6499.857251537734,7528.1529395736625,7543.011644405766,6874.340426278929,8217.801539434187,-1028.2956880359288,1028.2956880359288,1057392.0220332842,False
2020-04-01,2020-07-01,3,validation,7095.831822594811,7449.41555556292,7442.286309058806,6391.002733866066,8404.91920099796,-353.58373296810987,353.58373296810987,125021.45621966363,True
2020-04-01,2020-10-01,6,validation,5855.74394110227,7383.196158232177,7364.095183042699,6050.086762132788,8658.361479949346,-1527.4522171299077,1527.4522171299077,2333110.2756150705,False
2020-04-01,2021-04-01,12,validation,4470.738472224253,7363.389497394675,7360.972864883167,5565.954527954937,9144.247149174027,-2892.651025170422,2892.651025170422,8367429.953419494,False
2020-05-01,2020-06-01,1,validation,6694.648013475818,7083.8213527545395,7098.726836711358,6429.79615093076,7777.712280144575,-389.17333927872187,389.17333927872187,151455.88800535115,True
2020-05-01,2020-08-01,3,validation,7430.083006707859,6877.838040213205,6871.065092146853,5819.3400342845525,7827.518234660049,552.2449664946535,552.2449664946535,304974.5030186809,True
2020-05-01,2020-11-01,6,validation,5555.275602812615,6679.88710286058,6660.337052309455,5345.448632342969,7951.923742348808,-1124.611500047965,1124.611500047965,1264751.0260401338,True
2020-05-01,2021-05-01,12,validation,4032.831217910092,6512.280532071462,6505.665860519938,4688.838673615452,8303.022082565047,-2479.4493141613702,2479.4493141613702,6147668.901495289,False
2020-06-01,2020-07-01,1,validation,7095.831822594811,6486.213399418376,6498.734822458567,5807.925134110342,7175.487688101373,609.6184231764346,609.6184231764346,371634.6218761225,True
2020-06-01,2020-09-01,3,validation,6666.320938200717,6275.007582605376,6282.489196272694,5250.509733516383,7295.877492532537,391.3133555953409,391.3133555953409,153126.14226728573,True
2020-06-01,2020-12-01,6,validation,5664.265569350756,6079.779831045183,6081.861054584779,4759.596609844342,7426.255974761697,-415.51426169442675,415.51426169442675,172652.10167146457,True
2020-06-01,2021-06-01,12,validation,4060.0459080962846,5896.560912764833,5884.6016325007795,4044.1973968403445,7701.990150790764,-1836.5150046685485,1836.5150046685485,3372787.3623727188,True
2020-07-01,2020-08-01,1,validation,7430.083006707859,6609.270075037866,6621.76281301881,5937.081561629088,7296.6980534384,820.8129316699924,820.8129316699924,673733.8687966876,False
2020-07-01,2020-10-01,3,validation,5855.74394110227,6515.538849617868,6523.493672643824,5496.037677826274,7533.816864818137,-659.7949085155988,659.7949085155988,435329.32130310737,True
2020-07-01,2021-01-01,6,validation,4841.863004371764,6427.656931143157,6431.475353042412,5122.067030621228,7760.862554377913,-1585.7939267713928,1585.7939267713928,2514742.3781850333,False
2020-07-01,2021-07-01,12,validation,2805.884166609781,6356.399753786911,6348.31686143739,4534.314835537919,8145.695621850479,-3550.51558717713,3550.51558717713,12606160.93478776,False
2020-08-01,2020-09-01,1,validation,6666.320938200717,7062.776916277772,7075.304790929891,6386.470191081302,7749.294647736654,-396.4559780770551,396.4559780770551,157177.34255303437,True
2020-08-01,2020-11-01,3,validation,5555.275602812615,7073.465468781433,7082.043630313209,6044.1108333933,8074.687717081902,-1518.1898659688177,1518.1898659688177,2304900.4691304164,False
2020-08-01,2021-02-01,6,validation,4582.993424023525,7091.912816747219,7093.82405922744,5776.30566726061,8431.67248348576,-2508.919392723694,2508.919392723694,6294676.519185029,False
2020-08-01,2021-08-01,12,validation,3543.508985941734,7145.405076092972,7136.030068192676,5295.200442727537,8952.526726495676,-3601.8960901512382,3601.8960901512382,12973655.444246776,False
2020-09-01,2020-10-01,1,validation,5855.74394110227,7371.4417443309285,7383.920901317719,6697.398339476119,8056.02077220555,-1515.6978032286588,1515.6978032286588,2297339.830712182,False
2020-09-01,2020-12-01,3,validation,5664.265569350756,7373.198217072098,7381.743566834185,6348.794723049074,8371.33397692715,-1708.9326477213417,1708.9326477213417,2920450.7944478756,False
2020-09-01,2021-03-01,6,validation,4055.2,7389.775715891103,7391.703473930978,6072.25081640528,8734.38455908238,-3334.575715891103,3334.575715891103,11119395.205010662,False
2020-09-01,2021-09-01,12,validation,2704.1872990039246,7455.923319342034,7446.1901116447625,5607.27761680431,9272.517846805476,-4751.7360203381095,4751.7360203381095,22578995.206978653,False
