model,weight,intercept,method,combination_method,note
ARIMA,0.2,0.0,equal,equal,
VECM,0.2,0.0,equal,equal,
MS_VAR,0.2,0.0,equal,equal,
MS_VECM,0.2,0.0,equal,equal,
Naive,0.2,0.0,equal,equal,
ARIMA,0.5791030272250711,0.0,mse,mse,
VECM,0.10901261557586331,0.0,mse,mse,
MS_VAR,0.09180755747817383,0.0,mse,mse,
MS_VECM,0.10223440726799816,0.0,mse,mse,
Naive,0.11784239245289352,0.0,mse,mse,
ARIMA,0.03236813211953751,0.0018815691116960567,gr_none,gr_none,
VECM,0.22001114456420548,0.0018815691116960567,gr_none,gr_none,
MS_VAR,-12.138701376350262,0.0018815691116960567,gr_none,gr_none,
MS_VECM,-1.034301453424508,0.0018815691116960567,gr_none,gr_none,
Naive,14.379690609656214,0.0018815691116960567,gr_none,gr_none,
ARIMA,0.3929129516181284,0.0,gr_sum,gr_sum,
VECM,-0.28260616394416344,0.0,gr_sum,gr_sum,
MS_VAR,-3.064372271660543,0.0,gr_sum,gr_sum,
MS_VECM,-3.671677902701453,0.0,gr_sum,gr_sum,
Naive,7.625743386688031,0.0,gr_sum,gr_sum,
ARIMA,0.2,0.0,gr_convex,gr_convex,
VECM,0.2,0.0,gr_convex,gr_convex,
MS_VAR,0.2,0.0,gr_convex,gr_convex,
MS_VECM,0.2,0.0,gr_convex,gr_convex,
Naive,0.2,0.0,gr_convex,gr_convex,
,,,trimmed,trimmed,No explicit weights (trimmed/median)
,,,median,median,No explicit weights (trimmed/median)
