date,actual,dma_forecast
2020-01-01,7512.733529432759,
2020-02-01,7941.515070351391,7572.538224611688
2020-03-01,7533.736569408685,7622.10078295306
2020-04-01,7209.520101152639,7668.014029353905
2020-05-01,6499.857251537734,7426.626619200574
2020-06-01,6694.648013475818,7381.323460992591
2020-07-01,7095.831822594811,7185.216449811096
2020-08-01,7430.083006707859,7278.373728361989
2020-09-01,6666.320938200717,7458.952807425348
2020-10-01,5855.74394110227,7453.043586395918
2020-11-01,5555.275602812615,7052.472578252242
2020-12-01,5664.265569350756,6793.077256084776
2021-01-01,4841.863004371764,5792.529729732207
2021-02-01,4582.993424023525,5540.767155020234
2021-03-01,4055.2,4721.897844233814
2021-04-01,4470.738472224253,4223.142032597682
2021-05-01,4032.831217910092,4331.010316440798
2021-06-01,4060.0459080962846,4223.36569003576
2021-07-01,2805.884166609781,4073.1093965223067
2021-08-01,3543.508985941734,3680.412092415387
2021-09-01,2704.1872990039246,2928.5150647257315
2021-10-01,2269.211946488995,3438.7903803311174
2021-11-01,1588.37233054694,2548.224566183736
2021-12-01,3139.2264604363068,1881.1913099460035
2022-01-01,2361.645210710561,1536.863092371104
2022-02-01,2311.250466948733,2972.44298675827
2022-03-01,1917.0,2314.2622731466754
2022-04-01,1812.0,2184.761477266309
2022-05-01,1887.0,
2022-06-01,1854.0,
2022-07-01,1817.0,
2022-08-01,1717.0,
2022-09-01,1779.0,
2022-10-01,1705.0,
2022-11-01,1806.0,
2022-12-01,1898.0,
2023-01-01,2121.0,
2023-02-01,2219.0,
2023-03-01,2694.0,
2023-04-01,2761.0,
2023-05-01,3491.0,
2023-06-01,3724.0,
2023-07-01,3765.0,
2023-08-01,3600.0,
2023-09-01,3540.0,
2023-10-01,3569.0,
2023-11-01,3571.0,
2023-12-01,4392.0,
2024-01-01,4496.0,
2024-02-01,4520.0,1797.1322830821343
2024-03-01,4960.0,4509.221365125575
2024-04-01,5471.0,4621.2016030916275
2024-05-01,5410.0,5062.665403261975
2024-06-01,5654.0,5446.956312743086
2024-07-01,5652.0,5576.113554635742
2024-08-01,5959.0,5653.4668595869225
2024-09-01,5994.0,5937.833428528709
2024-10-01,6472.0,5993.589018757996
2024-11-01,6451.0,6455.483682746809
2024-12-01,6122.0,6451.362397736454
2025-01-01,6065.0,6124.557596961733
2025-02-01,6086.0,6065.2011014357
2025-03-01,6531.0,6085.997327252043
2025-04-01,6327.0,
2025-05-01,6286.0,
2025-06-01,6081.0,
2025-07-01,6147.0,
2025-08-01,6178.0,
2025-09-01,6244.0,
2025-10-01,6216.0,
2025-11-01,6034.0,
2025-12-01,6825.0,
