model,rmse,mae,mape,n_obs,split
Naive,545.5628274628995,411.1903263685908,11.984801642073496,36,validation
BVAR_par,685.4205540557931,529.9654752311376,15.662944982706314,35,validation
BVAR_bop,733.0955210835233,584.5302564336496,17.535464726707172,35,validation
BVAR_mon,786.0940126948892,658.7776846628863,18.259491730000992,27,validation
BVAR_ful,809.6713215651044,692.4416612608705,19.64072508934874,27,validation
DMA,812.2792323003541,679.350659860961,19.043151330864397,27,validation
MS-VECM,848.9282796804226,560.3533042055109,20.896840079567962,36,validation
MS-VAR,893.5933346725369,645.6666433550951,22.778527444845636,36,validation
ARIMA,1055.8964987339639,736.6576726791077,22.26870120214609,36,validation
VECM,1811.3271279803457,1554.6645955751808,60.76247731119181,36,validation
MSE-Weight,2651.384501734811,2296.896694699747,89.45307463704698,36,validation
EqualWeight,3777.666478569714,3297.451102201119,137.62785236566347,36,validation
GR-Convex,3777.6664785697144,3297.4511022011193,137.6278523656635,36,validation
TrimmedMean,4328.644344914891,3718.73482762584,159.1117353405791,36,validation
Median,4332.2005006102645,3721.0635374480034,159.36574168226093,36,validation
Naive,311.9090412283684,212.13888888888889,4.6520869242508285,36,test
MS-VAR,329.5957835049749,280.93074652345615,5.91796214251716,36,test
MS-VECM,349.2987501222576,254.5821603858525,5.642272967410021,36,test
BVAR_par,497.44572371599844,416.8147895186444,9.899103645711385,28,test
BVAR_bop,498.8954937084522,424.5814392153157,10.19916355190733,28,test
DMA,808.19567482816,453.7875299959632,8.80925055212497,14,test
BVAR_ful,828.1852807752459,551.762727625539,10.407716640291568,14,test
BVAR_mon,879.2130614468598,609.1836521212044,11.521293179963756,14,test
MSE-Weight,1109.5224414738898,958.9086117757882,24.76017067325792,36,test
ARIMA,1177.2865081288953,916.2713598404092,20.4540637682432,36,test
EqualWeight,2473.5060745753167,2171.470880470596,57.14881653196161,36,test
GR-Convex,2473.506074575317,2171.470880470597,57.14881653196162,36,test
VECM,2955.8090848997817,2258.8769837443947,63.062288934454315,36,test
TrimmedMean,3307.760353232153,3060.639059338655,77.33033614098719,36,test
Median,3326.5388217354084,3077.4239725062153,77.73946789596633,36,test
DMS,855.634278192358,715.1514697297267,19.8885112920235,27,validation
DMS,769.5427473469207,417.43779888018116,8.05095620513115,16,test
