,forecast,lower_90,upper_90
2024-12-01,6540.975016852008,5574.253190933043,7507.696842770973
2025-01-01,6607.847426617814,5497.98233694745,7717.7125162881775
2025-02-01,6654.2890241119,5394.12774526574,7914.450302958061
2025-03-01,6712.949230654514,5361.968128750187,8063.930332558842
2025-04-01,6754.905941239949,5329.309366943535,8180.502515536364
2025-05-01,6799.549936166924,5318.981923034694,8280.117949299154
2025-06-01,6836.6180507086665,5312.581927628811,8360.654173788522
2025-07-01,6872.206534320276,5314.512471076381,8429.90059756417
2025-08-01,6903.758253329232,5319.493308033132,8488.023198625331
2025-09-01,6933.021448465083,5327.848861443585,8538.194035486582
2025-10-01,6959.561126572433,5337.834665384481,8581.287587760384
2025-11-01,6983.953879469194,5349.1197870784,8618.787971859989
