weight_type,lag,weight
exp_almon,1,0.6999155033404898
exp_almon,2,0.19924976091782784
exp_almon,3,0.06230943616955893
exp_almon,4,0.021404922054456828
exp_almon,5,0.008077506141011671
exp_almon,6,0.0033484572597067856
exp_almon,7,0.0015248110824385651
exp_almon,8,0.0007627656667338266
exp_almon,9,0.0004191505594555331
exp_almon,10,0.00025301879358168944
exp_almon,11,0.00016777966695814302
exp_almon,12,0.000122216457740274
exp_almon,13,9.779662632684469e-05
exp_almon,14,8.596504031754145e-05
exp_almon,15,8.300871406143162e-05
exp_almon,16,8.804999135237223e-05
exp_almon,17,0.00010259796958560746
exp_almon,18,0.00013132639766391715
exp_almon,19,0.00018465841937507116
exp_almon,20,0.00028522659204751585
exp_almon,21,0.00048396586248393284
exp_almon,22,0.0009020762768259673
beta,1,0.6621212310919558
beta,2,0.10499805985075664
beta,3,0.07114959301589767
beta,4,0.050190788880143354
beta,5,0.035640511618594745
beta,6,0.02517417696909649
beta,7,0.017568619272841646
beta,8,0.012052377114738047
beta,9,0.0080890232993964
beta,10,0.005284632471334476
beta,11,0.003341127951774772
beta,12,0.002029667489868924
beta,13,0.0011739030651768993
beta,14,0.0006385765179480985
beta,15,0.0003212190701644807
beta,16,0.00014576951528460293
beta,17,5.7441146529498185e-05
beta,18,1.8438728243092527e-05
beta,19,4.277952215428658e-06
beta,20,5.484736539642412e-07
beta,21,1.6504385094614762e-08
beta,22,4.702323868059858e-27
