,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m
2025-01-01,6294.710130061621,975.4266623455363,1633.617149310288,541.7682027187186
2025-02-01,6176.551728392909,1040.1522274512213,1679.5626764991812,599.1404487372522
2025-03-01,6302.048086495779,999.6240491812192,1606.1986462866014,575.1194022868128
2025-04-01,6101.001004446507,1012.6873632737024,1628.9801555586992,595.9215530254456
2025-05-01,6044.797419924307,999.9254901470472,1591.132464225868,578.959615249109
2025-06-01,5889.524412893289,1006.7335805905715,1604.2935699942739,586.130963233343
2025-07-01,5827.06185073135,1001.1263195011036,1582.7120384717068,575.1752221271215
2025-08-01,5734.88696732748,1004.9523050748859,1587.391362634867,577.3321256030722
2025-09-01,5698.413707845731,1001.8277779878789,1574.5411690247474,570.8146103415768
2025-10-01,5651.400867940089,1003.2618568583855,1575.1520156775373,571.1466356935072
2025-11-01,5634.591898918651,1001.0525846424949,1567.3127691982513,567.2628257801531
2025-12-01,5613.506841770491,1001.1006362730997,1566.5141748708566,566.8994173985207
