,gross_reserves_usd_m,usd_lkr,m2_usd_m
2025-01-01,6292.564149153101,296.8770922961522,42930.73251136763
2025-02-01,6377.094578845831,295.45386162324576,43707.61054872796
2025-03-01,6468.00364083304,296.2846186794126,44355.2840995006
2025-04-01,6529.715206659107,297.28082571711377,45026.01906917324
2025-05-01,6580.286328115411,298.93468741611804,45680.704137627436
2025-06-01,6617.052743745984,300.9869271542444,46330.72170957706
2025-07-01,6643.682560884314,303.4540001871563,46969.96413728938
2025-08-01,6661.554342117641,306.2571297538633,47599.22216982808
2025-09-01,6672.533239675989,309.350436492275,48217.59472558147
2025-10-01,6678.035409365539,312.68120575037153,48825.16209569952
2025-11-01,6679.347827108337,316.2042387622693,49422.004083775915
2025-12-01,6677.537112202879,319.87779291205777,50008.43962192214
