,gross_reserves_usd_m,trade_balance_usd_m,usd_lkr
2025-01-01,5870.882332372294,-638.4811246478282,299.81589446627834
2025-02-01,5884.239590062308,-622.9690731108001,306.1281083436083
2025-03-01,5903.257580969963,-600.8500420880941,307.9519882791034
2025-04-01,5910.261474764206,-589.6112860287969,310.3143350518702
2025-05-01,5909.3605208571025,-582.9971942114998,312.230917103333
2025-06-01,5902.103899823509,-578.7138398419967,314.11562134820906
2025-07-01,5891.7134374150555,-575.9362677299121,315.9440873744416
2025-08-01,5879.729925184105,-573.9751828328904,317.743223444053
2025-09-01,5867.13719345929,-572.5111320080488,319.521524301824
2025-10-01,5854.457352945843,-571.3443956197322,321.28369010237634
2025-11-01,5841.9642723435845,-570.3632648200171,323.0326497231679
2025-12-01,5829.790088468692,-569.5022648157237,324.76998747179647
