forecast_origin,forecast_date,horizon,actual,forecast,error,threshold,current_regime
2013-12-01,2014-01-01,1,8048.583905345139,7756.901737594895,291.68216775024393,-0.17617982395992104,1
2013-12-01,2014-02-01,2,8259.552166921556,7974.831663689414,284.7205032321417,-0.17617982395992104,1
2013-12-01,2014-03-01,3,8059.724448730886,8160.150340246836,-100.42589151594984,-0.17617982395992104,1
2013-12-01,2014-04-01,4,8896.731082422368,8326.962632421451,569.7684500009163,-0.17617982395992104,1
2013-12-01,2014-05-01,5,8772.663840758212,8472.149628780548,300.5142119776647,-0.17617982395992104,1
2013-12-01,2014-06-01,6,9164.004705013178,8598.468128490505,565.5365765226725,-0.17617982395992104,1
2013-12-01,2014-07-01,7,8973.741181262614,8706.138334615101,267.6028466475127,-0.17617982395992104,1
2013-12-01,2014-08-01,8,9185.637359336446,8797.251759467737,388.3855998687086,-0.17617982395992104,1
2013-12-01,2014-09-01,9,8821.804336421244,8873.550235233437,-51.745898812192536,-0.17617982395992104,1
2013-12-01,2014-10-01,10,8790.920103836674,8937.293402871022,-146.37329903434875,-0.17617982395992104,1
2013-12-01,2014-11-01,11,8330.88205481358,8990.649495594593,-659.7674407810118,-0.17617982395992104,1
2013-12-01,2014-12-01,12,8208.41,9035.82091867536,-827.4109186753594,-0.17617982395992104,1
2014-03-01,2014-04-01,1,8896.731082422368,8283.050942756518,613.6801396658502,-0.16944709440122052,1
2014-03-01,2014-05-01,2,8772.663840758212,8407.819310656712,364.8445301014999,-0.16944709440122052,1
2014-03-01,2014-06-01,3,9164.004705013178,8534.484600134196,629.5201048789822,-0.16944709440122052,1
2014-03-01,2014-07-01,4,8973.741181262614,8656.456436344863,317.2847449177516,-0.16944709440122052,1
2014-03-01,2014-08-01,5,9185.637359336446,8766.510191502957,419.1271678334888,-0.16944709440122052,1
2014-03-01,2014-09-01,6,8821.804336421244,8870.71306368727,-48.90872726602538,-0.16944709440122052,1
2014-03-01,2014-10-01,7,8790.920103836674,8967.162037970538,-176.24193413386456,-0.16944709440122052,1
2014-03-01,2014-11-01,8,8330.88205481358,9057.907380862074,-727.0253260484933,-0.16944709440122052,1
2014-03-01,2014-12-01,9,8208.41,9143.547836362697,-935.1378363626973,-0.16944709440122052,1
2014-03-01,2015-01-01,10,7252.429999999999,9225.23765958335,-1972.8076595833509,-0.16944709440122052,1
2014-03-01,2015-02-01,11,7420.4554996301695,9303.91364389373,-1883.45814426356,-0.16944709440122052,1
2014-03-01,2015-03-01,12,6819.545505227352,9380.491756697838,-2560.9462514704865,-0.16944709440122052,1
2014-06-01,2014-07-01,1,8973.741181262614,9497.692775002373,-523.9515937397591,-0.16944709440122052,1
2014-06-01,2014-08-01,2,9185.637359336446,9825.857875985677,-640.2205166492313,-0.16944709440122052,1
2014-06-01,2014-09-01,3,8821.804336421244,10105.702974770786,-1283.8986383495412,-0.16944709440122052,1
2014-06-01,2014-10-01,4,8790.920103836674,10362.232900008636,-1571.312796171962,-0.16944709440122052,1
2014-06-01,2014-11-01,5,8330.88205481358,10585.101059363995,-2254.219004550414,-0.16944709440122052,1
2014-06-01,2014-12-01,6,8208.41,10782.268941221791,-2573.8589412217916,-0.16944709440122052,1
2014-06-01,2015-01-01,7,7252.429999999999,10955.122165908733,-3702.692165908734,-0.16944709440122052,1
2014-06-01,2015-02-01,8,7420.4554996301695,11108.14034514786,-3687.6848455176905,-0.16944709440122052,1
2014-06-01,2015-03-01,9,6819.545505227352,11245.216757719982,-4425.67125249263,-0.16944709440122052,1
2014-06-01,2015-04-01,10,7454.631473478869,11370.372924167481,-3915.7414506886116,-0.16944709440122052,1
2014-06-01,2015-05-01,11,6845.77,11487.497120402903,-4641.727120402902,-0.16944709440122052,1
2014-06-01,2015-06-01,12,7525.485379478358,11600.111443956219,-4074.6260644778613,-0.16944709440122052,1
2014-09-01,2014-10-01,1,8790.920103836674,9103.687770164835,-312.7676663281618,-0.16944709440122052,1
2014-09-01,2014-11-01,2,8330.88205481358,9106.32485151838,-775.4427967047995,-0.16944709440122052,1
2014-09-01,2014-12-01,3,8208.41,9210.93376831952,-1002.523768319521,-0.16944709440122052,1
2014-09-01,2015-01-01,4,7252.429999999999,9283.937753403065,-2031.5077534030652,-0.16944709440122052,1
2014-09-01,2015-02-01,5,7420.4554996301695,9362.024110548366,-1941.568610918196,-0.16944709440122052,1
