date,const,gross_reserves_usd_m_lag1,exports_usd_m_lag1,imports_usd_m_lag1,remittances_usd_m_lag1
2009-02-01,-6530.432553674198,-4860021.961359817,442281.05077706143,3149950.715363809,-126144.90974529932
2009-03-01,-6600.399664914559,-4908967.298632192,443273.59103066946,3179345.451631092,-84330.82380600405
2009-04-01,-6670.780706481171,-4958011.423533368,441882.67693827883,3215698.768331102,-83191.36711742199
2009-05-01,-6741.420225556708,-5007128.897149828,447220.1008551899,3244709.7544294265,-134676.49986153483
2009-06-01,-6812.656257672186,-5056408.182936721,450441.8088742705,3273561.344095716,-102530.43576893174
2009-07-01,-6884.086785118227,-5105738.274936695,454273.08666773885,3302972.165838451,-85281.1723628588
2009-08-01,-6955.578983075977,-5155085.362008386,460715.36128096946,3330635.952051229,-65390.185954819266
2009-09-01,-7027.495803166803,-5204560.262709601,466713.1684245869,3355731.710084787,-34154.33044012267
2009-10-01,-7099.749312388736,-5254135.537164281,467723.41804177844,3390415.1057288777,-70980.24723917415
2009-11-01,-7172.14193287287,-5303746.791563174,468287.30185367266,3425223.505526021,-48918.55736573782
2009-12-01,-7244.237456579543,-5353272.816084362,472119.465197854,3454950.114829064,-16323.248222634025
2010-01-01,-7315.360706455348,-5402547.931484132,479555.073275057,3487447.237468413,-8789.677276602257
2010-02-01,-7386.146119645677,-5451717.915965077,483395.7419019309,3523782.7557590078,-42353.02141651307
2010-03-01,-7456.409373096115,-5500727.167880634,496068.2991894915,3549592.652881975,-36873.86956944867
2010-04-01,-7526.457620694254,-5549667.15357628,509458.9288024863,3581000.3762669195,-77348.52406251845
2010-05-01,-7598.0057818658415,-5599169.222381209,508349.7461731174,3621542.624800787,-122857.6018866125
2010-06-01,-7669.468517646023,-5648641.393595723,512372.6689963796,3655764.2998037846,-65117.90173998341
2010-07-01,-7739.702906712984,-5697745.503172751,524251.3801421957,3689305.006162992,-73527.39399612272
2010-08-01,-7809.955163484312,-5746848.316137525,537263.371134569,3716709.059871661,8551.903669659958
2010-09-01,-7880.482806144737,-5796052.153337272,543085.9459775104,3755120.126475444,-1427.4969368280006
2010-10-01,-7950.793642030715,-5845178.98289058,550347.8945581873,3796158.8587315413,-37600.902020631875
2010-11-01,-8020.908818085257,-5894240.795405625,562126.0748252121,3832871.9595836247,5552.536383869413
2010-12-01,-8091.5130501043495,-5943490.512711857,567806.916384459,3875947.1982853427,-24504.628568577737
2011-01-01,-8162.23815698699,-5992779.604533871,569375.7400309317,3925923.5155607387,-32740.44682674868
2011-02-01,-8232.041744112365,-6041725.463887062,581826.873359862,3965963.830340405,24055.867412414187
2011-03-01,-8301.046053434346,-6090374.368464276,598944.1788760296,4005595.7854759246,-25891.88635409818
2011-04-01,-8370.068076153606,-6139028.483242553,614509.4983874641,4056531.996591376,-77986.09683878646
2011-05-01,-8441.280517033323,-6188784.855931523,612784.260391811,4100202.816638541,-54225.92759643467
2011-06-01,-8512.117837902193,-6238386.289080466,618364.3414912849,4143335.2850432717,-16668.511675118145
2011-07-01,-8582.52138569757,-6287809.891427355,626416.499580562,4184491.9364807736,-5092.701861256771
2011-08-01,-8652.340454179548,-6336993.367746624,639247.9733134065,4223890.322998728,36799.30031576793
2011-09-01,-8721.870984903366,-6386061.909598652,651284.9180824524,4269149.415145915,1300.144359526799
2011-10-01,-8792.253480355368,-6435521.194124468,651352.7501150034,4311327.349045479,24338.426173432064
2011-11-01,-8861.619774863062,-6484568.714370335,662699.7888559066,4353753.522169677,20813.211214518855
2011-12-01,-8930.585377890091,-6533450.42626735,668083.3522201288,4402945.712284895,15202.99259123977
2012-01-01,-8998.493637893038,-6581870.890285285,692650.1523839415,4443235.341524436,-37625.707988829796
2012-02-01,-9067.72931360753,-6630962.105776083,694834.1911563922,4484382.593757645,-19103.713690634668
2012-03-01,-9136.431467921273,-6679803.418250725,711398.9854894907,4518890.7605125,-53340.86568171789
2012-04-01,-9204.983699534614,-6728566.461911813,726169.7019083232,4565137.700459996,-124189.2061418992
2012-05-01,-9275.318051812628,-6778344.527239419,731478.7444361325,4594889.044914097,-93422.10439667739
2012-06-01,-9345.336926126527,-6827974.670085461,740170.0147356823,4632653.949495602,-99083.35442731844
2012-07-01,-9415.97146234489,-6877911.301663629,744503.2985862796,4665943.096188245,-67487.8448943576
2012-08-01,-9485.722433860215,-6927447.160604354,758077.3889110424,4701790.110904981,-77725.45768323644
2012-09-01,-9555.770835909567,-6977131.343506159,759949.830138485,4750307.37718621,-61552.854394980975
2012-10-01,-9625.023905395157,-7026416.997766431,786082.470453223,4781385.783797114,-109917.11276512139
2012-11-01,-9695.370051455084,-7076269.530970097,794351.6698413104,4829683.747715187,-117292.67066631596
2012-12-01,-9766.185889937387,-7126362.403155014,798671.7960469746,4875106.391830607,-45128.85578673165
2013-01-01,-9835.262288636717,-7175603.2884861715,839812.0135106936,4902400.902686528,-108023.35281707905
2013-02-01,-9906.225239515616,-7225886.680422749,851064.8246474162,4942119.016705622,-108700.30384230238
2013-03-01,-9976.81432337673,-7275978.602919557,873662.7468849105,4974870.777911015,-48587.45043932384
2013-04-01,-10046.456187564469,-7325630.410876242,898428.1648784399,5017743.944237934,-71820.01058090001
2013-05-01,-10116.19805935474,-7375333.265845485,917332.9518276394,5062873.386687979,-128202.06220205652
2013-06-01,-10185.6263386905,-7424876.314427718,941724.5459306989,5100379.95860358,-82663.6307125498
2013-07-01,-10254.535056344766,-7474146.354141596,968151.9640638008,5137874.839171586,-91889.13107639625
2013-08-01,-10323.375481480816,-7523386.373092861,995029.4447867676,5172457.925010725,-69967.36734170227
2013-09-01,-10392.161045824238,-7572594.274689852,1020284.1978712028,5211508.613783075,-54506.87030860411
2013-10-01,-10460.98823219292,-7621827.693068784,1045144.7044436496,5252969.095264433,-76257.82291463435
2013-11-01,-10530.01901395191,-7671177.823173974,1078342.469214456,5285900.501010606,-33544.60029083616
2013-12-01,-10600.297182084376,-7721233.359161166,1099070.7675475474,5338349.102179912,-23657.7770835325
2014-01-01,-10671.912182369015,-7772053.074621715,1120698.6447796843,5383424.170734051,-71963.92533608548
2014-02-01,-10745.447660224441,-7824019.793397027,1126439.2209745874,5427731.413306393,-41117.44530283852
2014-03-01,-10817.952393245801,-7875428.019374433,1147313.3417718234,5461410.686553745,-19898.86941554717
2014-04-01,-10888.326577193917,-7925761.914466304,1179981.1301083288,5505009.028997349,-25244.418685668366
2014-05-01,-10960.810257038229,-7977370.403246628,1187399.7082578223,5543617.288922779,-95269.8734280915
2014-06-01,-11031.817868666401,-8028171.019607126,1211469.4145024754,5576839.249964273,-60200.29207935741
2014-07-01,-11102.752010846389,-8078920.324953134,1232078.1857756602,5618460.674113272,-30789.95874160877
2014-08-01,-11173.926168360882,-8129815.887618685,1242748.7404611446,5678756.930111166,-31296.606816912765
2014-09-01,-11245.159694144042,-8180749.041387199,1261779.4763335052,5715090.87040618,39831.83966868187
2014-10-01,-11314.503398230956,-8230640.836052971,1286342.6554104553,5762303.738347042,-24711.32071188856
2014-11-01,-11383.170672913146,-8280145.889285222,1309073.4796270437,5810539.485259281,-41225.43753238439
2014-12-01,-11450.909410709379,-8329099.973187216,1341537.7387727974,5854209.226417438,-62096.24857583028
2015-01-01,-11518.908651046351,-8378200.238295251,1372732.3213958112,5904263.380336037,-105548.08912007025
2015-02-01,-11590.02684760821,-8429520.72966543,1375547.2642909845,5944149.403701189,51166.71355175443
2015-03-01,-11659.445829686918,-8479956.18419831,1402265.772341376,5977671.880358168,56364.64321961061
2015-04-01,-11726.505634274898,-8529179.085507888,1450491.2829637798,6023395.1473989,-37105.45499240611
2015-05-01,-11797.96005924958,-8581234.699375376,1444135.8484375244,6075550.560319911,-128253.89713556747
2015-06-01,-11868.427133762487,-8632716.719945578,1458672.2112106588,6120453.966282876,17138.872187463443
2015-07-01,-11937.64969672037,-8683524.67663546,1484363.8010377432,6166260.35826244,-36061.25436774451
2015-08-01,-12007.01946149699,-8734429.014400233,1509584.1923870358,6211103.433308152,-25344.533070631187
2015-09-01,-12077.539376841753,-8786020.079086192,1517489.959719493,6267361.438704733,-57257.21415782514
2015-10-01,-12148.246377431638,-8837716.317679225,1533160.5942122394,6314721.715741343,-34662.595809755156
2015-11-01,-12218.621751464825,-8889221.444654848,1551029.8078772088,6365018.1504949005,-63765.57122928314
