horizon,mean,median,lower_10,upper_90,lower_5,upper_95
1,940199.6054192808,940177.5121867568,938804.3030343283,941606.8911841454,938462.1401826495,941852.1267500054
2,102330148.09145056,102319814.76370987,101994836.6783861,102672532.75684386,101880419.9645927,102769418.48287165
3,11951811567.706774,11950902784.737053,11892938017.886995,12011999315.106207,11874091509.539822,12030226603.347311
4,1369586964935.8123,1369464869307.9937,1360363078039.689,1379036561516.2388,1357526252259.2751,1382156784845.5632
5,157738446278361.94,157712425436413.22,156394992023185.3,159110324276773.53,155989086973679.25,159604499999402.56
6,1.8142756182709936e+16,1.814038324618992e+16,1.7956175044215568e+16,1.833291705907906e+16,1.7899536519500322e+16,1.8405479763626828e+16
7,2.0874922784390723e+18,2.0871863633377265e+18,2.062280267368102e+18,2.1132972962845793e+18,2.054699342176436e+18,2.1229503281047532e+18
8,2.4016305416164003e+20,2.4010533035008885e+20,2.3682972036325635e+20,2.4358413219294527e+20,2.3583729185032084e+20,2.447980900469952e+20
9,2.7631177348996588e+22,2.762316661199958e+22,2.7200422164533793e+22,2.8076836508779684e+22,2.706998255521459e+22,2.8229832736979783e+22
10,3.179000429113187e+24,3.177946933161376e+24,3.123827454048894e+24,3.2362680857081104e+24,3.107109297766922e+24,3.255942874677585e+24
11,3.6574927499814866e+26,3.656185356930207e+26,3.587560120176428e+26,3.730154464141628e+26,3.5663325902367794e+26,3.755311781430692e+26
12,4.208012995312231e+28,4.206426975365038e+28,4.120132066378371e+28,4.299495261079272e+28,4.09342604755319e+28,4.33126766958065e+28
