date,actual,split,forecast
2020-01-01,7512.733529432759,validation,7700.505996683411
2020-02-01,7941.515070351391,validation,7804.4400614779315
2020-03-01,7533.736569408685,validation,8307.838953813683
2020-04-01,7209.520101152639,validation,8259.873182727446
2020-05-01,6499.857251537734,validation,8342.055555251041
2020-06-01,6694.648013475818,validation,8405.122284940007
2020-07-01,7095.831822594811,validation,8505.48024144122
2020-08-01,7430.083006707859,validation,8705.112596327112
2020-09-01,6666.320938200717,validation,8781.040850251495
2020-10-01,5855.74394110227,validation,9228.47310878614
2020-11-01,5555.275602812615,validation,9234.696223962212
2020-12-01,5664.265569350756,validation,9394.300518192715
2021-01-01,4841.863004371764,validation,9241.577090329658
2021-02-01,4582.993424023525,validation,8867.4395392534
2021-03-01,4055.2,validation,8474.933134951892
2021-04-01,4470.738472224253,validation,8740.80781224276
2021-05-01,4032.831217910092,validation,8749.345885569091
2021-06-01,4060.0459080962846,validation,8695.99031719781
2021-07-01,2805.884166609781,validation,8687.926252322579
2021-08-01,3543.508985941734,validation,8291.649745068102
2021-09-01,2704.1872990039246,validation,8894.9949379832
2021-10-01,2269.211946488995,validation,8692.433985412084
2021-11-01,1588.37233054694,validation,8515.513605740347
2021-12-01,3139.2264604363068,validation,8671.189824498764
2022-01-01,2361.645210710561,validation,8847.969687266293
2022-02-01,2311.250466948733,validation,8863.032893973119
2022-03-01,1917.0,validation,7412.294135909871
2024-01-01,4496.0,test,5089.627238622617
2024-02-01,4520.0,test,5546.735054382221
2024-03-01,4960.0,test,5863.114688162674
2024-04-01,5471.0,test,6387.124716996081
2024-05-01,5410.0,test,6204.754883158785
2024-06-01,5654.0,test,6003.317201582929
2024-07-01,5652.0,test,6084.039475240437
2024-08-01,5959.0,test,6176.1596802752
2024-09-01,5994.0,test,6388.4355629160655
2024-10-01,6472.0,test,6587.758868111791
2024-11-01,6451.0,test,6861.546767221942
2024-12-01,6122.0,test,6665.874604873179
2025-01-01,6065.0,test,6592.142053048616
2025-02-01,6086.0,test,6904.399214209709
2025-03-01,6531.0,test,6965.907200854346
