model,split,mae,rmse,mape,smape,mase
ARIMA,validation,1387.6019174091127,1760.5019687173622,36.26762631939282,26.857725990895435,3.3229284838997843
ARIMA,test,2086.700811528678,2534.0732275864425,38.32502728691492,53.79107525020748,4.997079837531725
VECM,validation,4936.824826106756,9867.219645429692,200.67050056294443,55.913311923984516,11.82235022082134
VECM,test,21635.028109010414,23974.65664806638,391.862699780478,147.4391483094306,51.809996982158296
MS-VAR,validation,556.2088717796222,697.0338532528133,15.260498402234923,13.8931273031881,1.3319686862967517
MS-VAR,test,1631.8247549993573,4359.194458434782,34.74209127020902,22.00462611829735,3.907775631533255
MS-VECM,validation,522.7358500765818,647.5598927609823,14.625373911034115,13.564357693301895,1.251809920397299
MS-VECM,test,817.908315559004,2270.010849314315,17.254089309667236,17.569300295179392,1.958667543544617
Naive,validation,523.1056203433063,628.2811282036587,14.584380242386935,14.06837642042151,1.2526954194272315
Naive,test,370.26666666666665,721.3022482519608,7.233481754416234,8.869769663735834,0.8866877725296037
