date,forecast,actual,split,model
2020-01-01,7547.784418345826,7512.733529432759,validation,ARIMA
2020-02-01,7687.023688115206,7941.515070351391,validation,ARIMA
2020-03-01,8121.400398053927,7533.736569408685,validation,ARIMA
2020-04-01,8050.005848074857,7209.520101152639,validation,ARIMA
2020-05-01,8204.365560033388,6499.857251537734,validation,ARIMA
2020-06-01,8351.716521745835,6694.648013475818,validation,ARIMA
2020-07-01,8520.249409666418,7095.831822594811,validation,ARIMA
2020-08-01,8679.316890648657,7430.083006707859,validation,ARIMA
2020-09-01,8808.933629515514,6666.320938200717,validation,ARIMA
2020-10-01,9179.469474980428,5855.74394110227,validation,ARIMA
2020-11-01,9184.415841085929,5555.275602812615,validation,ARIMA
2020-12-01,9399.644133085132,5664.265569350756,validation,ARIMA
2021-01-01,5433.56600974446,4841.863004371764,validation,ARIMA
2021-02-01,5148.079560470906,4582.993424023525,validation,ARIMA
2021-03-01,4930.4671825283485,4055.2,validation,ARIMA
2021-04-01,4938.9079164847235,4470.738472224253,validation,ARIMA
2021-05-01,4912.116454963598,4032.831217910092,validation,ARIMA
2021-06-01,4877.315078639203,4060.0459080962846,validation,ARIMA
2021-07-01,4843.6528262618785,2805.884166609781,validation,ARIMA
2021-08-01,4554.576643027474,3543.508985941734,validation,ARIMA
2021-09-01,4837.427303629309,2704.1872990039246,validation,ARIMA
2021-10-01,4726.271883897838,2269.211946488995,validation,ARIMA
2021-11-01,4624.113349813624,1588.37233054694,validation,ARIMA
2021-12-01,4693.859444781836,3139.2264604363068,validation,ARIMA
2022-01-01,2519.357987288704,2361.645210710561,validation,ARIMA
2022-02-01,2496.073197565836,2311.250466948733,validation,ARIMA
2022-03-01,1804.3513374342315,1917.0,validation,ARIMA
2024-01-01,2006.0080639958169,4496.0,test,ARIMA
2024-02-01,2136.8039926002,4520.0,test,ARIMA
2024-03-01,2170.753322932466,4960.0,test,ARIMA
2024-04-01,2293.6438726943156,5471.0,test,ARIMA
2024-05-01,2120.8104201854385,5410.0,test,ARIMA
2024-06-01,1995.6445827544671,5654.0,test,ARIMA
2024-07-01,2194.768666252672,5652.0,test,ARIMA
2024-08-01,2150.4776968411825,5959.0,test,ARIMA
2024-09-01,2151.961230209553,5994.0,test,ARIMA
2024-10-01,5879.721530793243,6472.0,test,ARIMA
2024-11-01,5894.1675463902975,6451.0,test,ARIMA
2024-12-01,5919.593010671957,6122.0,test,ARIMA
2025-01-01,5831.738508925799,6065.0,test,ARIMA
2025-02-01,5839.889908152457,6086.0,test,ARIMA
2025-03-01,5956.505473669968,6531.0,test,ARIMA
2020-01-01,6403.353101730685,7512.733529432759,validation,VECM
2020-02-01,6403.353101730685,7941.515070351391,validation,VECM
2020-03-01,6403.353101730685,7533.736569408685,validation,VECM
2020-04-01,6403.353101730685,7209.520101152639,validation,VECM
2020-05-01,6403.353101730685,6499.857251537734,validation,VECM
2020-06-01,6403.353101730685,6694.648013475818,validation,VECM
2020-07-01,6403.353101730685,7095.831822594811,validation,VECM
2020-08-01,6403.353101730685,7430.083006707859,validation,VECM
2020-09-01,6403.353101730685,6666.320938200717,validation,VECM
2020-10-01,6403.353101730685,5855.74394110227,validation,VECM
2020-11-01,6403.353101730685,5555.275602812615,validation,VECM
2020-12-01,6403.353101730685,5664.265569350756,validation,VECM
2021-01-01,6656.329006789732,4841.863004371764,validation,VECM
2021-02-01,6656.329006789732,4582.993424023525,validation,VECM
2021-03-01,6656.329006789732,4055.2,validation,VECM
2021-04-01,6656.329006789732,4470.738472224253,validation,VECM
2021-05-01,6656.329006789732,4032.831217910092,validation,VECM
2021-06-01,6656.329006789732,4060.0459080962846,validation,VECM
2021-07-01,6656.329006789732,2805.884166609781,validation,VECM
2021-08-01,6656.329006789732,3543.508985941734,validation,VECM
2021-09-01,6656.329006789732,2704.1872990039246,validation,VECM
2021-10-01,6656.329006789732,2269.211946488995,validation,VECM
2021-11-01,6656.329006789732,1588.37233054694,validation,VECM
2021-12-01,6656.329006789732,3139.2264604363068,validation,VECM
2022-01-01,-26611.215727395756,2361.645210710561,validation,VECM
2022-02-01,-26611.215727395756,2311.250466948733,validation,VECM
2022-03-01,-26611.215727395756,1917.0,validation,VECM
2024-01-01,-26611.215727395756,4496.0,test,VECM
2024-02-01,-26611.215727395756,4520.0,test,VECM
2024-03-01,-26611.215727395756,4960.0,test,VECM
2024-04-01,-26611.215727395756,5471.0,test,VECM
2024-05-01,-26611.215727395756,5410.0,test,VECM
2024-06-01,-26611.215727395756,5654.0,test,VECM
2024-07-01,-26611.215727395756,5652.0,test,VECM
2024-08-01,-26611.215727395756,5959.0,test,VECM
2024-09-01,-26611.215727395756,5994.0,test,VECM
2024-10-01,17581.61826840285,6472.0,test,VECM
2024-11-01,17581.61826840285,6451.0,test,VECM
2024-12-01,17581.61826840285,6122.0,test,VECM
2025-01-01,17581.61826840285,6065.0,test,VECM
2025-02-01,17581.61826840285,6086.0,test,VECM
2025-03-01,17581.61826840285,6531.0,test,VECM
2025-04-01,17581.61826840285,6327.0,test,VECM
2025-05-01,17581.61826840285,6286.0,test,VECM
2025-06-01,17581.61826840285,6081.0,test,VECM
2020-01-01,7872.677619616864,7512.733529432759,validation,MS-VAR
2020-02-01,7909.371063289107,7941.515070351391,validation,MS-VAR
2020-03-01,8214.393428026144,7533.736569408685,validation,MS-VAR
2020-04-01,7308.942832339429,7209.520101152639,validation,MS-VAR
2020-05-01,6866.909549813863,6499.857251537734,validation,MS-VAR
2020-06-01,7614.485865339606,6694.648013475818,validation,MS-VAR
2020-07-01,7389.178212445048,7095.831822594811,validation,MS-VAR
2020-08-01,7454.879141833491,7430.083006707859,validation,MS-VAR
2020-09-01,7528.60809707941,6666.320938200717,validation,MS-VAR
2020-10-01,7077.672655636788,5855.74394110227,validation,MS-VAR
2020-11-01,6248.248467946631,5555.275602812615,validation,MS-VAR
2020-12-01,5881.552141274332,5664.265569350756,validation,MS-VAR
2021-01-01,5794.77797275121,4841.863004371764,validation,MS-VAR
2021-02-01,5269.287089257104,4582.993424023525,validation,MS-VAR
2021-03-01,4670.085666381623,4055.2,validation,MS-VAR
2021-04-01,4213.817843540589,4470.738472224253,validation,MS-VAR
2021-05-01,4470.56179417523,4032.831217910092,validation,MS-VAR
2021-06-01,4620.461376725766,4060.0459080962846,validation,MS-VAR
2021-07-01,4391.116709865531,2805.884166609781,validation,MS-VAR
2021-08-01,3503.018363960839,3543.508985941734,validation,MS-VAR
2021-09-01,2737.069846707038,2704.1872990039246,validation,MS-VAR
2021-10-01,3399.58887056382,2269.211946488995,validation,MS-VAR
2021-11-01,2366.8171385785413,1588.37233054694,validation,MS-VAR
2021-12-01,1889.2229515043005,3139.2264604363068,validation,MS-VAR
2022-01-01,2479.752802863268,2361.645210710561,validation,MS-VAR
2022-02-01,2542.941855807436,2311.250466948733,validation,MS-VAR
2022-03-01,2486.572956850037,1917.0,validation,MS-VAR
2024-01-01,-11867.529378353549,4496.0,test,MS-VAR
2024-02-01,8446.457383880697,4520.0,test,MS-VAR
2024-03-01,5096.605400618658,4960.0,test,MS-VAR
2024-04-01,5387.218227017299,5471.0,test,MS-VAR
2024-05-01,5299.94988697605,5410.0,test,MS-VAR
2024-06-01,5056.568105291391,5654.0,test,MS-VAR
2024-07-01,5370.681403935402,5652.0,test,MS-VAR
2024-08-01,6319.839542327249,5959.0,test,MS-VAR
2024-09-01,6670.095009339269,5994.0,test,MS-VAR
2024-10-01,6148.909897265878,6472.0,test,MS-VAR
2024-11-01,6833.508453116514,6451.0,test,MS-VAR
2024-12-01,6710.434299679714,6122.0,test,MS-VAR
2025-01-01,6471.695497879575,6065.0,test,MS-VAR
2025-02-01,6251.1731114516815,6086.0,test,MS-VAR
2025-03-01,6455.639231170528,6531.0,test,MS-VAR
2025-04-01,6750.95562749937,,test,MS-VAR
2025-05-01,6609.608070477653,,test,MS-VAR
2025-06-01,6995.727080543949,,test,MS-VAR
2020-01-01,7812.125409895541,7512.733529432759,validation,MS-VECM
2020-02-01,7626.742750330834,7941.515070351391,validation,MS-VECM
2020-03-01,7925.105257306453,7533.736569408685,validation,MS-VECM
2020-04-01,7655.8443534521,7209.520101152639,validation,MS-VECM
2020-05-01,6728.568547632309,6499.857251537734,validation,MS-VECM
2020-06-01,7483.754720503947,6694.648013475818,validation,MS-VECM
2020-07-01,7174.166821574828,7095.831822594811,validation,MS-VECM
2020-08-01,7194.226250701157,7430.083006707859,validation,MS-VECM
2020-09-01,7327.549807158696,6666.320938200717,validation,MS-VECM
2020-10-01,7031.428716605606,5855.74394110227,validation,MS-VECM
2020-11-01,6258.950672987803,5555.275602812615,validation,MS-VECM
2020-12-01,5673.870614716408,5664.265569350756,validation,MS-VECM
2021-01-01,5914.795112313743,4841.863004371764,validation,MS-VECM
2021-02-01,4954.758381965757,4582.993424023525,validation,MS-VECM
2021-03-01,4434.179608227597,4055.2,validation,MS-VECM
2021-04-01,4025.0968995391318,4470.738472224253,validation,MS-VECM
2021-05-01,4239.205824253752,4032.831217910092,validation,MS-VECM
2021-06-01,4294.934509618094,4060.0459080962846,validation,MS-VECM
2021-07-01,4150.286283788016,2805.884166609781,validation,MS-VECM
2021-08-01,3323.1860821959344,3543.508985941734,validation,MS-VECM
2021-09-01,3042.7334006089386,2704.1872990039246,validation,MS-VECM
2021-10-01,3348.1513121326307,2269.211946488995,validation,MS-VECM
2021-11-01,2395.78729778853,1588.37233054694,validation,MS-VECM
2021-12-01,1795.6402704670336,3139.2264604363068,validation,MS-VECM
2022-01-01,2324.139272642763,2361.645210710561,validation,MS-VECM
2022-02-01,2720.6270002324836,2311.250466948733,validation,MS-VECM
2022-03-01,2406.1317218780664,1917.0,validation,MS-VECM
2024-01-01,-4190.5427418342215,4496.0,test,MS-VECM
2024-02-01,5547.715158987321,4520.0,test,MS-VECM
2024-03-01,4968.073435627186,4960.0,test,MS-VECM
2024-04-01,5260.600981970716,5471.0,test,MS-VECM
2024-05-01,5288.926618617834,5410.0,test,MS-VECM
2024-06-01,5337.275370996773,5654.0,test,MS-VECM
2024-07-01,5439.508395622926,5652.0,test,MS-VECM
2024-08-01,5722.713249365434,5959.0,test,MS-VECM
2024-09-01,6152.524684963269,5994.0,test,MS-VECM
2024-10-01,6034.540251286502,6472.0,test,MS-VECM
2024-11-01,6441.355699353425,6451.0,test,MS-VECM
2024-12-01,6633.961125416629,6122.0,test,MS-VECM
2025-01-01,6240.322219444852,6065.0,test,MS-VECM
2025-02-01,6002.42619933955,6086.0,test,MS-VECM
2025-03-01,6458.1678663352595,6531.0,test,MS-VECM
2025-04-01,6605.545882892646,,test,MS-VECM
2025-05-01,6432.6621875990295,,test,MS-VECM
2025-06-01,6909.114859998328,,test,MS-VECM
2020-01-01,7642.393000751939,7512.733529432759,validation,Naive
2020-02-01,7512.733529432759,7941.515070351391,validation,Naive
2020-03-01,7941.515070351391,7533.736569408685,validation,Naive
2020-04-01,7533.736569408685,7209.520101152639,validation,Naive
2020-05-01,7209.520101152639,6499.857251537734,validation,Naive
2020-06-01,6499.857251537734,6694.648013475818,validation,Naive
2020-07-01,6694.648013475818,7095.831822594811,validation,Naive
2020-08-01,7095.831822594811,7430.083006707859,validation,Naive
2020-09-01,7430.083006707859,6666.320938200717,validation,Naive
2020-10-01,6666.320938200717,5855.74394110227,validation,Naive
2020-11-01,5855.74394110227,5555.275602812615,validation,Naive
2020-12-01,5555.275602812615,5664.265569350756,validation,Naive
2021-01-01,5664.265569350756,4841.863004371764,validation,Naive
2021-02-01,4841.863004371764,4582.993424023525,validation,Naive
2021-03-01,4582.993424023525,4055.2,validation,Naive
2021-04-01,4055.2,4470.738472224253,validation,Naive
2021-05-01,4470.738472224253,4032.831217910092,validation,Naive
2021-06-01,4032.831217910092,4060.0459080962846,validation,Naive
2021-07-01,4060.0459080962846,2805.884166609781,validation,Naive
2021-08-01,2805.884166609781,3543.508985941734,validation,Naive
2021-09-01,3543.508985941734,2704.1872990039246,validation,Naive
2021-10-01,2704.1872990039246,2269.211946488995,validation,Naive
2021-11-01,2269.211946488995,1588.37233054694,validation,Naive
2021-12-01,1588.37233054694,3139.2264604363068,validation,Naive
2022-01-01,3139.2264604363068,2361.645210710561,validation,Naive
2022-02-01,2361.645210710561,2311.250466948733,validation,Naive
2022-03-01,2311.250466948733,1917.0,validation,Naive
2024-01-01,1917.0,4496.0,test,Naive
2024-02-01,4496.0,4520.0,test,Naive
2024-03-01,4520.0,4960.0,test,Naive
2024-04-01,4960.0,5471.0,test,Naive
2024-05-01,5471.0,5410.0,test,Naive
2024-06-01,5410.0,5654.0,test,Naive
2024-07-01,5654.0,5652.0,test,Naive
2024-08-01,5652.0,5959.0,test,Naive
2024-09-01,5959.0,5994.0,test,Naive
2024-10-01,5994.0,6472.0,test,Naive
2024-11-01,6472.0,6451.0,test,Naive
2024-12-01,6451.0,6122.0,test,Naive
2025-01-01,6122.0,6065.0,test,Naive
2025-02-01,6065.0,6086.0,test,Naive
2025-03-01,6086.0,6531.0,test,Naive
