date,actual,split,forecast
2020-01-01,7512.733529432759,validation,6403.353101730685
2020-02-01,7941.515070351391,validation,-6196195.890742388
2020-03-01,7533.736569408685,validation,-10342476.769445827
2020-04-01,7209.520101152639,validation,3226723607.6517096
2020-05-01,6499.857251537734,validation,10490922907.73871
2020-06-01,6694.648013475818,validation,-1617250459059.6824
2020-07-01,7095.831822594811,validation,-7963436478461.048
2020-08-01,7430.083006707859,validation,805248110331291.0
2020-09-01,6666.320938200717,validation,5352280841353642.0
2020-10-01,5855.74394110227,validation,-3.986488494296772e+17
2020-11-01,5555.275602812615,validation,-3.363113616534529e+18
2020-12-01,5664.265569350756,validation,1.9618414890937608e+20
2021-01-01,4841.863004371764,validation,2.0239947687374566e+21
2021-02-01,4582.993424023525,validation,-9.59405430910403e+22
2021-03-01,4055.2,validation,-1.1817303357359925e+24
2021-04-01,4470.738472224253,validation,4.660277416434384e+25
2021-05-01,4032.831217910092,validation,6.745004354561093e+26
2021-06-01,4060.0459080962846,validation,-2.2472049827464055e+28
2021-07-01,2805.884166609781,validation,-3.782056897346295e+29
2021-08-01,3543.508985941734,validation,1.0749107472865513e+31
2021-09-01,2704.1872990039246,validation,2.090256425445981e+32
2021-10-01,2269.211946488995,validation,-5.095450077999456e+33
2021-11-01,1588.37233054694,validation,-1.141348685594248e+35
2021-12-01,3139.2264604363068,validation,2.3906950178148247e+36
2022-01-01,2361.645210710561,validation,6.167803625928706e+37
2022-02-01,2311.250466948733,validation,-1.1083181078544821e+39
2022-03-01,1917.0,validation,-3.3028920634002013e+40
2024-01-01,4496.0,test,5.065258070333437e+41
2024-02-01,4520.0,test,1.7544255447488467e+43
2024-03-01,4960.0,test,-2.274694139605686e+44
2024-04-01,5471.0,test,-9.250809558637387e+45
2024-05-01,5410.0,test,9.989720161604701e+46
2024-06-01,5654.0,test,4.844875559456718e+48
2024-07-01,5652.0,test,-4.2586484724750173e+49
2024-08-01,5959.0,test,-2.5213907996608077e+51
2024-09-01,5994.0,test,1.740556452970959e+52
2024-10-01,6472.0,test,1.3043767523812638e+54
2024-11-01,6451.0,test,-6.663918393942139e+54
2024-12-01,6122.0,test,-6.70940684391163e+56
2025-01-01,6065.0,test,2.269520207038245e+57
2025-02-01,6086.0,test,3.432131757007248e+59
2025-03-01,6531.0,test,-5.844632095074625e+59
2025-04-01,6327.0,test,-1.7462022995324272e+62
2025-05-01,6286.0,test,8.839583760735232e+60
2025-06-01,6081.0,test,8.836937314832724e+64
