model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,259.01176965519574,-7.591923763697553
Naive,2020-01-01,2020-04-01,3,validation,7209.520101152639,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,203.60287373496195,-7.474228232133838
Naive,2020-01-01,2020-07-01,6,validation,7095.831822594811,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,253.0554522174381,-7.579059331728528
Naive,2020-01-01,2021-01-01,12,validation,4841.863004371764,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,2318.320539141733,-16.490864284189385
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7695.780474724397,562.8888067558433,6974.409443198689,8417.151506250106,6592.538686182248,8799.022263266546,173.6749575134293,-7.347312847301722
ARIMA,2020-01-01,2020-04-01,3,validation,7209.520101152639,7686.62084327319,812.6421531163246,6645.178019719105,8728.063666827275,6093.871490846153,9279.370195700227,298.5537219466206,-7.791571535683521
ARIMA,2020-01-01,2020-07-01,6,validation,7095.831822594811,7528.238801788801,1083.7677432385171,6139.334553754307,8917.143049823295,5404.093057435113,9652.384546142488,321.1993859219841,-7.986731913807382
ARIMA,2020-01-01,2021-01-01,12,validation,4841.863004371764,7549.708803618242,1500.146864855777,5627.193240414897,9472.224366821587,4609.474976980324,10489.94263025616,1903.7680060333103,-9.86136643619066
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7532.556795638758,570.9916728583682,6800.801523373957,8264.312067903558,6413.43368136411,8651.679909913406,245.54024891778286,-7.5228019883780135
VECM,2020-01-01,2020-04-01,3,validation,7209.520101152639,7547.576135596042,570.9916728583682,6815.8208633312415,8279.331407860842,6428.453021321395,8666.69924987069,211.03165716191523,-7.441575190384671
VECM,2020-01-01,2020-07-01,6,validation,7095.831822594811,7574.4964949814475,570.9916728583682,6842.741222716647,8306.251767246247,6455.3733807068,8693.619609256095,284.76490838387514,-7.617690058921744
VECM,2020-01-01,2021-01-01,12,validation,4841.863004371764,7615.439980923871,570.9916728583682,6883.684708659071,8347.19525318867,6496.316866649224,8734.563095198519,2451.429547762713,-19.063838045159486
BVAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7508.813212598778,644.4898791973445,6682.866198935513,8334.760226262042,6245.636260971447,8771.990164226108,262.34605297779734,-7.612777624016184
BVAR,2020-01-01,2020-04-01,3,validation,7209.520101152639,7494.669928175293,1000.164455249326,6212.907604748057,8776.432251602528,5534.383617269545,9454.95623908104,265.9482885495939,-7.867500097212253
BVAR,2020-01-01,2020-07-01,6,validation,7095.831822594811,7473.767739985704,1389.773152769707,5692.701780301275,9254.833699670133,4749.862413876471,10197.673066094936,365.5338931655919,-8.192810225255553
BVAR,2020-01-01,2021-01-01,12,validation,4841.863004371764,7425.373744120541,1915.3644709615173,4970.735407770539,9880.012080470544,3671.3283637684563,11179.419124472626,1659.9445082878372,-9.386279742512885
XGBoost,2020-01-01,2020-02-01,1,validation,7941.515070351391,7386.45068359375,11.242710171014048,7372.042570773118,7400.858796414382,7364.415376569941,7408.485990617559,548.7213667883084,-1222.0888630675724
XGBoost,2020-01-01,2020-04-01,3,validation,7209.520101152639,7477.34912109375,11.242710171014048,7462.941008273118,7491.757233914382,7455.313814069941,7499.384428117559,261.48599997177877,-287.0934726788645
XGBoost,2020-01-01,2020-07-01,6,validation,7095.831822594811,7350.634765625,11.242710171014048,7336.226652804368,7365.042878445632,7328.599458601191,7372.670072648809,248.4599230608569,-260.16339667790305
XGBoost,2020-01-01,2021-01-01,12,validation,4841.863004371764,5536.18896484375,11.242710171014048,5521.780852023118,5550.597077664382,5514.153657819941,5558.224271867559,687.9829405026535,-1910.3566111189102
MS-VAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7588.754390746039,624.8830524493102,6787.934536597087,8389.57424489499,6364.006113395971,8813.502668096105,223.43349910990827,-7.515845999286082
MS-VAR,2020-01-01,2020-04-01,3,validation,7209.520101152639,7609.184095707585,624.8830524493102,6808.364241558633,8410.003949856537,6384.435818357517,8833.932373057653,244.6697815358226,-7.5610356598072705
MS-VAR,2020-01-01,2020-07-01,6,validation,7095.831822594811,7669.263271639214,624.8830524493102,6868.443417490262,8470.083125788165,6444.514994289146,8894.011548989281,342.38315635489624,-7.777554847978578
MS-VAR,2020-01-01,2021-01-01,12,validation,4841.863004371764,7767.219704311186,624.8830524493102,6966.3998501622345,8568.03955846014,6542.471426961119,8991.967981661255,2572.804532896857,-18.314474623088827
MS-VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7552.2340208869655,624.8830524493102,6751.414166738014,8353.053875035917,6327.485743536898,8776.982298237033,239.7676357263311,-7.550546521270017
MS-VECM,2020-01-01,2020-04-01,3,validation,7209.520101152639,7541.397730689897,624.8830524493102,6740.577876540945,8342.217584838849,6316.649453339829,8766.146008039965,214.74274921943464,-7.497538558500819
MS-VECM,2020-01-01,2020-07-01,6,validation,7095.831822594811,7533.552942269436,624.8830524493102,6732.733088120484,8334.372796418389,6308.804664919368,8758.301219619505,263.58789728577125,-7.6018425713212086
MS-VECM,2020-01-01,2021-01-01,12,validation,4841.863004371764,7522.5741270599265,624.8830524493102,6721.754272910975,8323.39398120888,6297.825849709859,8747.322404409995,2328.160956117885,-16.55829785256895
LSTM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7014.840433877899,,,,,,,
LSTM,2020-01-01,2020-04-01,3,validation,7209.520101152639,6920.749374916466,,,,,,,
LSTM,2020-01-01,2020-07-01,6,validation,7095.831822594811,6769.10207882554,,,,,,,
LSTM,2020-01-01,2021-01-01,12,validation,4841.863004371764,6630.728161798036,,,,,,,
LocalLevelSV,2020-01-01,2020-02-01,1,validation,7941.515070351391,7547.93588461099,579.3595188687401,6805.456786191358,8290.414983030621,6412.412093527837,8683.459675694143,238.13912198609265,-7.5116097546257645
LocalLevelSV,2020-01-01,2020-04-01,3,validation,7209.520101152639,7547.93588461099,817.5410423183077,6500.214881930671,8595.656887291309,5945.584885783815,9150.286883438166,246.15650594453155,-7.7109142413789185
LocalLevelSV,2020-01-01,2020-07-01,6,validation,7095.831822594811,7547.93588461099,1080.4847113825979,6163.2390111911845,8932.632758030795,5430.224764455001,9665.647004766979,326.8906355487285,-7.991644169822348
LocalLevelSV,2020-01-01,2021-01-01,12,validation,4841.863004371764,7547.93588461099,1471.596046082211,5662.0096679045,9433.86210131748,4663.66063449839,10432.21113472359,1913.8908832233235,-9.903761632191056
BoPIdentity,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,,,,,,,
BoPIdentity,2020-01-01,2020-04-01,3,validation,7209.520101152639,7512.733529432759,,,,,,,
BoPIdentity,2020-01-01,2020-07-01,6,validation,7095.831822594811,7512.733529432759,,,,,,,
BoPIdentity,2020-01-01,2021-01-01,12,validation,4841.863004371764,7512.733529432759,,,,,,,
Naive,2020-02-01,2020-03-01,1,validation,7533.736569408685,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,146.31363447939054,-7.357067904159567
Naive,2020-02-01,2020-05-01,3,validation,6499.857251537734,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,687.9690326057298,-8.670170113355457
Naive,2020-02-01,2020-08-01,6,validation,7430.083006707859,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,150.38685443193665,-7.365250141889244
Naive,2020-02-01,2021-02-01,12,validation,4582.993424023525,7512.733529432759,624.8830524493102,6711.913675283807,8313.553383581711,6287.985252082691,8737.481806782827,2577.187926325084,-18.34733845774652
ARIMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7735.172757529458,562.8888067558433,7013.80172600375,8456.543789055166,6631.930968987309,8838.414546071606,159.9994865047334,-7.316053038754144
ARIMA,2020-02-01,2020-05-01,3,validation,6499.857251537734,7726.013126078251,812.6421531163246,6684.5703025241655,8767.455949632336,6133.263773651214,9318.762478505287,814.3506099047078,-8.757544965507948
ARIMA,2020-02-01,2020-08-01,6,validation,7430.083006707859,7567.6310845938615,1083.7677432385171,6178.726836559368,8956.535332628355,5443.485340240173,9691.77682894755,260.22614197064235,-7.915191340320818
ARIMA,2020-02-01,2021-02-01,12,validation,4582.993424023525,7589.101086423303,1500.146864855777,5666.585523219958,9511.616649626649,4648.867259785386,10529.33491306122,2184.9521219196713,-10.240015486785826
VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7532.556795638758,570.9916728583682,6800.801523373957,8264.312067903558,6413.43368136411,8651.679909913406,133.43885848789947,-7.266315293876751
VECM,2020-02-01,2020-05-01,3,validation,6499.857251537734,7547.576135596042,570.9916728583682,6815.8208633312415,8279.331407860842,6428.453021321395,8666.69924987069,740.4952740543251,-8.949762292434599
VECM,2020-02-01,2020-08-01,6,validation,7430.083006707859,7574.4964949814475,570.9916728583682,6842.741222716647,8306.251767246247,6455.3733807068,8693.619609256095,147.93190709741768,-7.298296658159853
VECM,2020-02-01,2021-02-01,12,validation,4582.993424023525,7615.439980923871,570.9916728583682,6883.684708659071,8347.19525318867,6496.316866649224,8734.563095198519,2710.299013102909,-21.368834524814794
BVAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7517.827359660734,638.1980848398048,6699.943604906462,8335.711114415008,6266.982098372313,8768.672620949155,149.30189673629474,-7.377897956878734
BVAR,2020-02-01,2020-05-01,3,validation,6499.857251537734,7485.157835413408,981.3388401985849,6227.521508426797,8742.79416240002,5561.769051993927,9408.546618832888,593.9075862244471,-8.311901565270848
BVAR,2020-02-01,2020-08-01,6,validation,7430.083006707859,7470.102299839984,1378.3213314849052,5703.712439651435,9236.492160028532,4768.642131006351,10171.562468673617,322.57029577623626,-8.14798165444229
BVAR,2020-02-01,2021-02-01,12,validation,4582.993424023525,7437.151066643638,1943.4841521310225,4946.475908868229,9927.826224419046,3627.9921239425753,11246.310009344701,1879.990592860243,-9.569536477894804
XGBoost,2020-02-01,2020-03-01,1,validation,7533.736569408685,8205.04296875,11.242710171014048,8190.634855929368,8219.451081570633,8183.007661726191,8227.078275773809,664.9633793719827,-1786.0028821081369
XGBoost,2020-02-01,2020-05-01,3,validation,6499.857251537734,8211.7900390625,11.242710171014048,8197.381926241867,8226.198151883133,8189.754732038691,8233.825346086309,1705.589767555434,-11596.487023701064
XGBoost,2020-02-01,2020-08-01,6,validation,7430.083006707859,7416.45654296875,11.242710171014048,7402.048430148118,7430.864655789382,7394.421235944941,7438.491849992559,8.514125916449046,-4.0731627018067496
XGBoost,2020-02-01,2021-02-01,12,validation,4582.993424023525,6936.34521484375,11.242710171014048,6921.937102023118,6950.753327664382,6914.309907819941,6958.380521867559,2347.0087708508922,-21911.285547518757
MS-VAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7985.734819807528,624.8830524493102,7184.914965658576,8786.55467395648,6760.98654245746,9210.483097157596,271.0615364002985,-7.618108036697633
MS-VAR,2020-02-01,2020-05-01,3,validation,6499.857251537734,7994.070023397003,624.8830524493102,7193.250169248051,8794.889877545955,6769.321746046935,9218.81830074707,1145.1515821666105,-10.21539275144145
MS-VAR,2020-02-01,2020-08-01,6,validation,7430.083006707859,8048.532615508247,624.8830524493102,7247.712761359295,8849.352469657199,6823.784338158179,9273.280892858314,372.07942476564676,-7.846260611075705
MS-VAR,2020-02-01,2021-02-01,12,validation,4582.993424023525,8145.930383453837,624.8830524493102,7345.110529304885,8946.750237602788,6921.182106103769,9370.678660803904,3210.3844514104976,-23.611570963834026
MS-VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7846.055514969293,624.8830524493102,7045.235660820341,8646.875369118245,6621.307237619225,9070.80379231936,207.04152031772188,-7.481404985707955
MS-VECM,2020-02-01,2020-05-01,3,validation,6499.857251537734,7895.9309355819605,624.8830524493102,7095.111081433009,8696.750789730911,6671.182658231893,9120.679212932027,1049.060954912756,-9.852184742367307
MS-VECM,2020-02-01,2020-08-01,6,validation,7430.083006707859,7939.793144219104,624.8830524493102,7138.973290070152,8740.612998368055,6715.044866869036,9164.54142156917,303.2790509423677,-7.689177198150476
MS-VECM,2020-02-01,2021-02-01,12,validation,4582.993424023525,8032.258010687332,624.8830524493102,7231.43815653838,8833.077864836283,6807.509733337264,9257.006288037399,3096.7120808654236,-22.590909242408294
LSTM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7320.850502201892,,,,,,,
LSTM,2020-02-01,2020-05-01,3,validation,6499.857251537734,7193.089694911347,,,,,,,
LSTM,2020-02-01,2020-08-01,6,validation,7430.083006707859,6984.0329914276135,,,,,,,
LSTM,2020-02-01,2021-02-01,12,validation,4582.993424023525,6792.922872971908,,,,,,,
LocalLevelSV,2020-02-01,2020-03-01,1,validation,7533.736569408685,7547.93588461099,579.3595188687401,6805.456786191358,8290.414983030621,6412.412093527837,8683.459675694143,135.53223824455813,-7.281162085541967
LocalLevelSV,2020-02-01,2020-05-01,3,validation,6499.857251537734,7547.93588461099,817.5410423183077,6500.214881930671,8595.656887291309,5945.584885783815,9150.286883438166,664.1688283723487,-8.44698755277161
LocalLevelSV,2020-02-01,2020-08-01,6,validation,7430.083006707859,7547.93588461099,1080.4847113825979,6163.2390111911845,8932.632758030795,5430.224764455001,9665.647004766979,257.6270649208481,-7.910052137146388
