date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,usd_lcy,m2_lcy_m,country,country_code,trade_balance_usd_m,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2000-01-01,14715.839538987779,,,3.405,,egypt,EGY,,,,
2000-02-01,14631.46596736979,,,3.41,,egypt,EGY,,,-84.373571617989,-0.57335207681799
2000-03-01,14548.57349071048,,,3.413,,egypt,EGY,,,-82.89247665930998,-0.5665356898903462
2000-04-01,14500.232091206792,,,3.415,,egypt,EGY,,,-48.34139950368808,-0.3322758725077368
2000-05-01,14574.81188228511,,,3.421,,egypt,EGY,,,74.57979107831852,0.5143351541493368
2000-06-01,14640.92108986344,,,3.446,,egypt,EGY,,,66.109207578329,0.45358532317443245
2000-07-01,14111.51524741693,,,3.461,,egypt,EGY,,,-529.4058424465093,-3.6159326260766456
2000-08-01,14096.27037084876,,,3.481,,egypt,EGY,,,-15.244876568169275,-0.1080314643812641
2000-09-01,13954.16660721104,,,3.501,,egypt,EGY,,,-142.10376363772048,-1.00809476477971
2000-10-01,13554.2869514195,,,3.5312,,egypt,EGY,,,-399.87965579153934,-2.8656649088946273
2000-11-01,13739.20307493974,,,3.69,,egypt,EGY,,,184.91612352023913,1.3642630127501665
2000-12-01,13785.04086762404,,,3.69,,egypt,EGY,,,45.83779268430044,0.33362773979159766
2001-01-01,13542.57066971502,,,3.84,,egypt,EGY,,,-242.4701979090205,-1.7589370988264075
2001-02-01,13525.56251738012,,,3.84,,egypt,EGY,,,-17.008152334899933,-0.1255902793472985
2001-03-01,13498.89108818866,,,3.84,,egypt,EGY,,,-26.671429191459538,-0.19719275377410028
2001-04-01,13661.939372469102,,,3.84,,egypt,EGY,,,163.0482842804413,1.2078642846678367
2001-05-01,13590.74026310927,,,3.85,,egypt,EGY,,,-71.19910935983171,-0.5211493582185645
2001-06-01,13670.88818348894,,,3.85,,egypt,EGY,,,80.14792037966981,0.5897244655408862
2001-07-01,14785.616378383529,,,3.85,,egypt,EGY,,,1114.7281948945893,8.154029057460255
2001-08-01,14122.43969397303,,,3.89,,egypt,EGY,,,-663.1766844104986,-4.4852826384705775
2001-09-01,14487.80418176053,,,4.14,,egypt,EGY,,,365.36448778749946,2.587120183939784
2001-10-01,13963.27669699115,,,4.14,,egypt,EGY,,,-524.52748476938,-3.620476078974999
2001-11-01,14011.19787837805,,,4.14,,egypt,EGY,,,47.92118138690057,0.3431943835734863
2001-12-01,13598.23404049686,,,4.49,,egypt,EGY,,,-412.96383788119056,-2.9473842384202698
2002-01-01,13335.11300381928,,,4.5,,egypt,EGY,,,-263.12103667757947,-1.9349647600856112
2002-02-01,13231.88055804002,,,4.5,,egypt,EGY,,,-103.23244577926016,-0.7741400147842303
2002-03-01,13377.09920373276,,,4.5,,egypt,EGY,,,145.2186456927393,1.097490602758655
2002-04-01,13400.0568886198,,,4.5,,egypt,EGY,,,22.95768488704016,0.17161930652822566
2002-05-01,13421.791511048821,,,4.5,,egypt,EGY,,,21.73462242902133,0.16219798624497184
2002-06-01,13756.705748092449,,,4.5,,egypt,EGY,,,334.9142370436275,2.495302037495706
2002-07-01,13413.48593056026,,,4.5,,egypt,EGY,,,-343.21981753218824,-2.4949273744535816
2002-08-01,13520.82769647239,,,4.5,,egypt,EGY,,,107.34176591212963,0.8002525701955587
2002-09-01,13674.13292312267,,,4.5,,egypt,EGY,,,153.30522665028002,1.1338449841371556
2002-10-01,13721.53508442983,,,4.5,,egypt,EGY,,,47.402161307159986,0.34665570075747
2002-11-01,13783.03070682481,,,4.5,,egypt,EGY,,,61.495622394979364,0.4481686780421601
2002-12-01,14076.05442299798,,,4.5,,egypt,EGY,,,293.0237161731711,2.1259744856265694
2003-01-01,13839.119277346541,,,5.3783,,egypt,EGY,,,-236.9351456514396,-1.6832497128195678
2003-02-01,13913.84885960717,,,5.5136,,egypt,EGY,,,74.72958226062838,0.5399879917427519
2003-03-01,13851.62820612798,,,5.7284,,egypt,EGY,,,-62.22065347918942,-0.44718506077653375
2003-04-01,14175.307296681669,,,5.8875,,egypt,EGY,,,323.6790905536891,2.336758435448716
2003-05-01,14495.05317639114,,,5.9733,,egypt,EGY,,,319.7458797094714,2.255653955271364
2003-06-01,14444.8701913533,,,6.0329,,egypt,EGY,,,-50.1829850378399,-0.34620766427801986
2003-07-01,14237.302460583669,,,6.1364,,egypt,EGY,,,-207.56773076963145,-1.4369650126304423
2003-08-01,14173.86243991728,,,6.1492,,egypt,EGY,,,-63.44002066638859,-0.4455901730122225
