date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,usd_lcy,m2_lcy_m,country,country_code,trade_balance_usd_m,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2000-01-01,2151.155688697749,,,51.7892,,pakistan,PAK,,,,
2000-02-01,2158.6017259741247,,,51.875,,pakistan,PAK,,,7.446037276375591,0.34614125400116436
2000-03-01,2161.313424293565,,,51.79245,,pakistan,PAK,,,2.7116983194400746,0.12562291073943133
2000-04-01,2022.258275480258,,,51.79245,,pakistan,PAK,,,-139.05514881330691,-6.433826174875945
2000-05-01,1905.094863172696,,,51.79155,,pakistan,PAK,,,-117.16341230756188,-5.793691821077463
2000-06-01,1996.375591687486,,,51.79155,,pakistan,PAK,,,91.28072851478987,4.791400695017001
2000-07-01,1694.3813145865458,,,51.79155,,pakistan,PAK,,,-301.99427710094005,-15.12712729800868
2000-08-01,1777.270311850961,,,51.79155,,pakistan,PAK,,,82.88899726441514,4.89199193539509
2000-09-01,1635.260209283577,,,58.43745,,pakistan,PAK,,,-142.0101025673839,-7.9903491112438445
2000-10-01,1728.4656072935359,,,56.96872,,pakistan,PAK,,,93.2053980099588,5.699728855433528
2000-11-01,1929.944431118131,,,57.48475,,pakistan,PAK,,,201.4788238245951,11.65651332455926
2000-12-01,2087.167574182152,,,58.02916,,pakistan,PAK,,,157.22314306402086,8.146511398410162
2001-01-01,1696.201119707582,,,59.20258,,pakistan,PAK,,,-390.9664544745699,-18.731914931543937
2001-02-01,1628.387749501738,,,60.26839,,pakistan,PAK,,,-67.81337020584397,-3.997955750526494
2001-03-01,1994.508385821661,,,60.9272,,pakistan,PAK,,,366.12063631992305,22.483627528636863
2001-04-01,1709.73933093556,,,61.23792,,pakistan,PAK,,,-284.769054886101,-14.277656434559793
2001-05-01,1885.999581270656,,,62.52169,,pakistan,PAK,,,176.2602503350961,10.309188491244893
2001-06-01,1893.344817159549,,,64.11439,,pakistan,PAK,,,7.34523588889283,0.3894611622312194
2001-07-01,2115.825654826565,,,64.01447,,pakistan,PAK,,,222.48083766701598,11.750677195757087
2001-08-01,2765.822715810249,,,64.06815,,pakistan,PAK,,,649.9970609836842,30.720728785045594
2001-09-01,2761.7703897307256,,,64.1979,,pakistan,PAK,,,-4.052326079523482,-0.1465143104205202
2001-10-01,2947.80116876612,,,62.1479,,pakistan,PAK,,,186.03077903539452,6.735924888148737
2001-11-01,3726.0711491950906,,,60.86385,,pakistan,PAK,,,778.2699804289705,26.4017121872143
2001-12-01,4218.132004432737,,,60.86385,1689764.0,pakistan,PAK,,27763.015320259892,492.06085523764614,13.205889945068328
2002-01-01,4169.211597335817,,,60.2261,1679134.0,pakistan,PAK,,27880.503635467016,-48.92040709691992,-1.1597647263174915
2002-02-01,4434.297355432705,,,60.09395,1712698.0,pakistan,PAK,,28500.339884464243,265.08575809688864,6.358174726998311
2002-03-01,4594.830267880062,,,60.121,1709861.0,pakistan,PAK,,28440.32867051446,160.53291244735647,3.6202559183514893
2002-04-01,4650.136989559878,,,60.05095,1724285.0,pakistan,PAK,,28713.70061589367,55.30672167981629,1.2036727899708444
2002-05-01,4803.832070079479,,,60.16665,1753951.0,pakistan,PAK,,29151.548241426106,153.6950805196011,3.3051731780088467
2002-06-01,5497.389984998077,,,60.05775,1815410.8,pakistan,PAK,,30227.7524549288,693.5579149185978,14.437597001743718
2002-07-01,6071.569389752379,,,59.53875,1821305.6,pakistan,PAK,,30590.255925762634,574.1794047543017,10.444581998388136
2002-08-01,6478.825828142437,,,59.3625,1835427.0,pakistan,PAK,,30918.96399241946,407.25643839005807,6.707597529518927
2002-09-01,7085.600281188968,,,59.1857,1853035.0,pakistan,PAK,,31308.829666625556,606.7744530465316,9.365500310424334
2002-10-01,7447.355576934232,,,59.1875,1871282.0,pakistan,PAK,,31616.168954593453,361.75529574526354,5.105499624437759
2002-11-01,7978.174042490443,,,58.53385,1954338.0,pakistan,PAK,,33388.16770125321,530.8184655562109,7.1276100633659745
2002-12-01,8795.802481460454,,,58.53385,1987440.4,pakistan,PAK,,33953.693461134026,817.6284389700113,10.24831539918103
