date,regime,regime_label,awcmr,real_policy_rate,gross_reserves_usd_m,ncpi_yoy_pct
2020-01-01,1,CRISIS,7.5,3.3,7510.0,4.7
2020-01-02,0,STRESS,7.49,3.3,7510.0,4.7
2020-01-03,1,CRISIS,7.5,3.3,7510.0,4.7
2020-01-04,0,STRESS,7.0,3.3,7510.0,4.7
2020-01-05,1,CRISIS,7.0,3.3,7510.0,4.7
2020-01-06,0,STRESS,7.48,3.3,7510.0,4.7
2020-01-07,1,CRISIS,7.49,3.3,7510.0,4.7
2020-01-08,0,STRESS,7.45,3.3,7510.0,4.7
2020-01-09,1,CRISIS,7.4,3.3,7510.0,4.7
2020-01-10,0,STRESS,7.0,3.3,7510.0,4.7
2020-01-11,1,CRISIS,7.0,3.3,7510.0,4.7
2020-01-12,0,STRESS,7.0,3.3,7510.0,4.7
2020-01-13,1,CRISIS,7.41,3.3,7510.0,4.7
2020-01-14,0,STRESS,7.42,3.3,7510.0,4.7
2020-01-15,1,CRISIS,7.0,3.3,7510.0,4.7
2020-01-16,0,STRESS,7.44,3.3,7510.0,4.7
2020-01-17,1,CRISIS,7.48,3.3,7510.0,4.7
2020-01-18,0,STRESS,7.0,3.3,7510.0,4.7
2020-01-19,1,CRISIS,7.0,3.3,7510.0,4.7
2020-01-20,0,STRESS,7.5,3.3,7510.0,4.7
2020-01-21,1,CRISIS,7.49,3.3,7510.0,4.7
2020-01-22,0,STRESS,7.49,3.3,7510.0,4.7
2020-01-23,1,CRISIS,7.48,3.3,7510.0,4.7
2020-01-24,0,STRESS,7.47,3.3,7510.0,4.7
2020-01-25,1,CRISIS,7.0,3.3,7510.0,4.7
2020-01-26,0,STRESS,7.0,3.3,7510.0,4.7
2020-01-27,1,CRISIS,7.46,3.3,7510.0,4.7
2020-01-28,0,STRESS,7.47,3.3,7510.0,4.7
2020-01-29,1,CRISIS,7.47,3.3,7510.0,4.7
2020-01-30,0,STRESS,6.99,2.8,7510.0,4.7
2020-01-31,1,CRISIS,6.98,2.8,7510.0,4.7
2020-02-01,0,STRESS,6.95,2.0,7288.0,5.5
2020-02-02,1,CRISIS,6.95,2.0,7288.0,5.5
2020-02-03,0,STRESS,6.96,2.0,7288.0,5.5
2020-02-04,1,CRISIS,6.95,2.0,7288.0,5.5
2020-02-05,0,STRESS,6.97,2.0,7288.0,5.5
2020-02-06,1,CRISIS,6.97,2.0,7288.0,5.5
2020-02-07,0,STRESS,7.0,2.0,7288.0,5.5
2020-02-08,1,CRISIS,6.95,2.0,7288.0,5.5
2020-02-09,0,STRESS,6.95,2.0,7288.0,5.5
2020-02-10,1,CRISIS,6.99,2.0,7288.0,5.5
2020-02-11,0,STRESS,6.97,2.0,7288.0,5.5
2020-02-12,1,CRISIS,6.95,2.0,7288.0,5.5
2020-02-13,0,STRESS,6.96,2.0,7288.0,5.5
2020-02-14,1,CRISIS,6.96,2.0,7288.0,5.5
2020-02-15,0,STRESS,6.95,2.0,7288.0,5.5
2020-02-16,1,CRISIS,6.95,2.0,7288.0,5.5
2020-02-17,0,STRESS,6.99,2.0,7288.0,5.5
2020-02-18,1,CRISIS,6.97,2.0,7288.0,5.5
2020-02-19,0,STRESS,6.99,2.0,7288.0,5.5
2020-02-20,1,CRISIS,6.99,2.0,7288.0,5.5
2020-02-21,0,STRESS,6.95,2.0,7288.0,5.5
2020-02-22,1,CRISIS,6.95,2.0,7288.0,5.5
2020-02-23,0,STRESS,6.95,2.0,7288.0,5.5
2020-02-24,1,CRISIS,7.0,2.0,7288.0,5.5
2020-02-25,0,STRESS,6.99,2.0,7288.0,5.5
2020-02-26,1,CRISIS,6.98,2.0,7288.0,5.5
2020-02-27,0,STRESS,6.95,2.0,7288.0,5.5
2020-02-28,1,CRISIS,6.95,2.0,7288.0,5.5
2020-02-29,0,STRESS,6.95,2.0,7288.0,5.5
2020-03-01,1,CRISIS,6.75,1.5999999999999996,7232.0,5.9
2020-03-02,0,STRESS,6.94,1.5999999999999996,7232.0,5.9
2020-03-03,1,CRISIS,6.95,1.5999999999999996,7232.0,5.9
2020-03-04,0,STRESS,6.95,1.5999999999999996,7232.0,5.9
2020-03-05,1,CRISIS,6.97,1.5999999999999996,7232.0,5.9
2020-03-06,0,STRESS,6.99,1.5999999999999996,7232.0,5.9
2020-03-07,1,CRISIS,6.75,1.5999999999999996,7232.0,5.9
2020-03-08,0,STRESS,6.75,1.5999999999999996,7232.0,5.9
2020-03-09,1,CRISIS,6.75,1.5999999999999996,7232.0,5.9
2020-03-10,0,STRESS,7.0,1.5999999999999996,7232.0,5.9
2020-03-11,1,CRISIS,7.0,1.5999999999999996,7232.0,5.9
2020-03-12,0,STRESS,6.99,1.5999999999999996,7232.0,5.9
2020-03-13,1,CRISIS,6.99,1.5999999999999996,7232.0,5.9
