date,regime,regime_label,awcmr,real_policy_rate,gross_reserves_usd_m,ncpi_yoy_pct
2020-01-01,2,CALM,7.5,3.3,7510.0,4.7
2020-02-01,2,CALM,6.95,2.0,7288.0,5.5
2020-03-01,2,CALM,6.75,1.5999999999999996,7232.0,5.9
2020-04-01,2,CALM,6.78,2.05,7085.0,5.2
2020-05-01,2,CALM,5.824999999999999,2.5,6905.0,4.0
2020-06-01,2,CALM,5.86,2.1,6667.0,4.4
2020-07-01,2,CALM,5.52,1.5,6670.0,5.0
2020-08-01,2,CALM,4.53,-0.7999999999999998,6840.0,6.3
2020-09-01,2,CALM,4.535,0.7000000000000002,6823.0,4.8
2020-10-01,2,CALM,4.535,1.4000000000000004,6861.0,4.1
2020-11-01,2,CALM,4.54,1.5,5670.0,4.0
2020-12-01,2,CALM,4.54,1.2999999999999998,5664.0,4.2
2021-01-01,2,CALM,4.545,1.2999999999999998,5034.0,4.2
2021-02-01,2,CALM,4.545,0.4000000000000003,4836.0,5.1
2021-03-01,2,CALM,4.625,0.0,4495.0,5.5
2021-04-01,2,CALM,4.65,0.0,4555.0,5.5
2021-05-01,2,CALM,4.675,0.5,4538.0,5.0
2021-06-01,2,CALM,4.875,0.2999999999999998,4003.0,5.2
2021-07-01,0,STRESS,5.1,-0.5,2842.0,6.0
2021-08-01,0,STRESS,5.8,-0.5,2771.0,6.0
2021-09-01,0,STRESS,5.925000000000001,-0.7000000000000002,2506.0,6.2
2021-10-01,0,STRESS,5.9,-2.1,2287.0,7.6
2021-11-01,0,STRESS,5.91,-4.4,1603.0,9.9
2021-12-01,0,STRESS,5.94,-6.6,1594.0,12.1
2022-01-01,0,STRESS,6.45,-8.7,2361.0,14.2
2022-02-01,0,STRESS,6.475,-9.1,2315.0,15.1
2022-03-01,0,STRESS,7.475,-12.7,1932.0,18.7
2022-04-01,1,CRISIS,14.5,-23.3,1892.0,29.8
2022-05-01,1,CRISIS,14.5,-24.6,1915.0,39.1
2022-06-01,1,CRISIS,14.5,-40.1,1856.0,54.6
2022-07-01,1,CRISIS,15.5,-46.3,1817.0,60.8
2022-08-01,1,CRISIS,15.5,-48.8,1719.0,64.3
2022-09-01,1,CRISIS,15.5,-54.3,1769.0,69.8
2022-10-01,1,CRISIS,15.5,-50.5,1734.0,66.0
2022-11-01,1,CRISIS,15.5,-45.5,1851.0,61.0
2022-12-01,1,CRISIS,15.5,-41.7,1895.0,57.2
2023-01-01,1,CRISIS,15.5,-37.7,2129.0,53.2
2023-02-01,1,CRISIS,15.5,-35.1,2220.0,50.6
2023-03-01,1,CRISIS,16.375,-34.8,2692.0,50.3
2023-04-01,0,STRESS,16.5,-19.8,3132.0,35.3
2023-05-01,0,STRESS,16.5,-9.7,3243.0,25.2
2023-06-01,0,STRESS,13.625,0.0,3442.0,12.0
2023-07-01,2,CALM,11.45,5.7,3629.0,6.3
2023-08-01,2,CALM,11.5,7.0,3615.0,4.0
2023-09-01,2,CALM,11.625,9.7,3565.0,1.3
2023-10-01,2,CALM,10.25,11.8,3759.0,-0.8
2023-11-01,2,CALM,9.1,11.2,4095.0,-1.2
2023-12-01,2,CALM,9.225,9.6,4381.0,0.4
2024-01-01,2,CALM,9.1,10.0,4479.0,0.0
2024-02-01,2,CALM,9.225,10.9,4616.0,-0.9
2024-03-01,2,CALM,8.825,12.5,4968.0,-2.5
2024-04-01,2,CALM,8.55,10.2,5023.0,-0.7
2024-05-01,2,CALM,8.625,10.5,5426.0,-1.0
2024-06-01,2,CALM,8.65,9.3,5576.0,0.2
2024-07-01,2,CALM,8.55,8.25,5609.0,1.0
2024-08-01,2,CALM,8.75,6.75,6220.0,2.5
2024-09-01,2,CALM,8.675,7.15,6120.0,2.1
2024-10-01,2,CALM,8.525,5.1,6041.0,2.9
2024-11-01,2,CALM,8.16,5.3,6227.0,2.7
2024-12-01,2,CALM,8.0,5.05,6227.0,2.7
