awcmr,real_policy_rate,gross_reserves_usd_m,ncpi_yoy_pct,date,regime,regime_label,zscore_regime
8.5,-2.6099999999999994,2249.0,11.11,2005-01-01,2,STRESS,CALM
8.190000000000001,-2.4499999999999997,2293.0,10.95,2005-02-01,2,STRESS,CALM
7.775,-2.880000000000001,2337.0,11.38,2005-03-01,2,STRESS,CALM
8.25,-2.6999999999999997,2382.0,11.2,2005-04-01,2,STRESS,CALM
8.75,-2.25,2426.0,10.75,2005-05-01,2,STRESS,CALM
9.0,-2.91,2470.0,11.41,2005-06-01,2,STRESS,CALM
9.72,-3.25,2514.0,11.75,2005-07-01,2,STRESS,CALM
9.5,-3.84,2558.0,12.34,2005-08-01,2,STRESS,CALM
10.13,-4.02,2602.0,12.52,2005-09-01,2,STRESS,CALM
10.2,-3.43,2647.0,11.93,2005-10-01,2,STRESS,CALM
10.435,-2.83,2691.0,11.33,2005-11-01,2,STRESS,CALM
10.74,-4.789999999999999,2735.0,13.29,2005-12-01,2,STRESS,CALM
9.94,-0.9900000000000002,2743.0,9.57,2006-01-01,2,STRESS,CALM
9.925,-0.75,2751.0,9.42,2006-02-01,2,STRESS,CALM
10.44,-1.0500000000000007,2759.0,9.8,2006-03-01,2,STRESS,CALM
10.005,-0.8100000000000005,2767.0,9.64,2006-04-01,2,STRESS,CALM
10.675,-0.33,2775.0,9.25,2006-05-01,2,STRESS,CALM
10.625,-0.8200000000000003,2784.0,9.82,2006-06-01,2,STRESS,CALM
11.25,-1.0299999999999994,2792.0,10.11,2006-07-01,2,STRESS,CALM
11.2,-1.4499999999999993,2800.0,10.62,2006-08-01,2,STRESS,CALM
14.375,-1.5299999999999994,2808.0,10.78,2006-09-01,2,STRESS,CALM
13.14,-0.9399999999999996,2816.0,10.27,2006-10-01,2,STRESS,CALM
11.5,-0.33,2824.0,9.75,2006-11-01,2,STRESS,CALM
13.94,-1.9399999999999995,2832.0,11.44,2006-12-01,2,STRESS,CALM
12.5,-5.550000000000001,2889.0,15.13,2007-01-01,2,STRESS,CALM
15.25,-5.23,2946.0,14.9,2007-02-01,2,STRESS,CALM
16.0,-5.74,3004.0,15.49,2007-03-01,2,STRESS,CALM
13.0,-5.41,3061.0,15.24,2007-04-01,2,STRESS,CALM
16.0,-4.710000000000001,3118.0,14.63,2007-05-01,2,STRESS,CALM
16.125,-5.529999999999999,3175.0,15.53,2007-06-01,2,STRESS,CALM
13.75,-5.91,3232.0,15.99,2007-07-01,2,STRESS,CALM
15.315,-6.619999999999999,3290.0,16.79,2007-08-01,2,STRESS,CALM
22.0,-6.789999999999999,3347.0,17.04,2007-09-01,2,STRESS,CRISIS
12.625,-5.909999999999998,3404.0,16.24,2007-10-01,2,STRESS,CALM
13.25,-4.99,3461.0,15.41,2007-11-01,2,STRESS,CALM
28.0,-7.579999999999998,3518.0,18.08,2007-12-01,2,STRESS,CRISIS
13.875,-10.97,3443.0,21.55,2008-01-01,2,STRESS,CALM
15.5,-10.55,3368.0,21.22,2008-02-01,2,STRESS,CALM
18.25,-11.31,3293.0,22.06,2008-03-01,2,STRESS,STRESS
13.125,-10.88,3218.0,21.71,2008-04-01,2,STRESS,CALM
