month,date,breaches,indicators,regime
2020-01,2020-01-01,0,-,CALM
2020-02,2020-02-01,0,-,CALM
2020-03,2020-03-01,0,-,CALM
2020-04,2020-04-01,0,-,CALM
2020-05,2020-05-01,0,-,CALM
2020-06,2020-06-01,0,-,CALM
2020-07,2020-07-01,0,-,CALM
2020-08,2020-08-01,0,-,CALM
2020-09,2020-09-01,0,-,CALM
2020-10,2020-10-01,0,-,CALM
2020-11,2020-11-01,0,-,CALM
2020-12,2020-12-01,0,-,CALM
2021-01,2021-01-01,0,-,CALM
2021-02,2021-02-01,0,-,CALM
2021-03,2021-03-01,0,-,CALM
2021-04,2021-04-01,0,-,CALM
2021-05,2021-05-01,0,-,CALM
2021-06,2021-06-01,0,-,CALM
2021-07,2021-07-01,0,-,STRESS
2021-08,2021-08-01,0,-,STRESS
2021-09,2021-09-01,0,-,STRESS
2021-10,2021-10-01,0,-,STRESS
2021-11,2021-11-01,1,Reserves,STRESS
2021-12,2021-12-01,1,Reserves,STRESS
2022-01,2022-01-01,0,-,STRESS
2022-02,2022-02-01,0,-,STRESS
2022-03,2022-03-01,1,Reserves,STRESS
2022-04,2022-04-01,4,"Reserves, Inflation, Real Rate, AWCMR",CRISIS
2022-05,2022-05-01,4,"Reserves, Inflation, Real Rate, AWCMR",CRISIS
2022-06,2022-06-01,4,"Reserves, Inflation, Real Rate, AWCMR",CRISIS
2022-07,2022-07-01,4,"Reserves, Inflation, Real Rate, AWCMR",CRISIS
2022-08,2022-08-01,4,"Reserves, Inflation, Real Rate, AWCMR",CRISIS
2022-09,2022-09-01,4,"Reserves, Inflation, Real Rate, AWCMR",CRISIS
2022-10,2022-10-01,4,"Reserves, Inflation, Real Rate, AWCMR",CRISIS
2022-11,2022-11-01,4,"Reserves, Inflation, Real Rate, AWCMR",CRISIS
2022-12,2022-12-01,4,"Reserves, Inflation, Real Rate, AWCMR",CRISIS
2023-01,2023-01-01,3,"Inflation, Real Rate, AWCMR",CRISIS
2023-02,2023-02-01,3,"Inflation, Real Rate, AWCMR",CRISIS
2023-03,2023-03-01,3,"Inflation, Real Rate, AWCMR",CRISIS
2023-04,2023-04-01,2,"Inflation, AWCMR",STRESS
2023-05,2023-05-01,2,"Inflation, AWCMR",STRESS
2023-06,2023-06-01,0,-,STRESS
2023-07,2023-07-01,0,-,CALM
2023-08,2023-08-01,0,-,CALM
2023-09,2023-09-01,0,-,CALM
2023-10,2023-10-01,0,-,CALM
2023-11,2023-11-01,0,-,CALM
2023-12,2023-12-01,0,-,CALM
2024-01,2024-01-01,0,-,CALM
2024-02,2024-02-01,0,-,CALM
2024-03,2024-03-01,0,-,CALM
2024-04,2024-04-01,0,-,CALM
2024-05,2024-05-01,0,-,CALM
2024-06,2024-06-01,0,-,CALM
2024-07,2024-07-01,0,-,CALM
2024-08,2024-08-01,0,-,CALM
2024-09,2024-09-01,0,-,CALM
2024-10,2024-10-01,0,-,CALM
2024-11,2024-11-01,0,-,CALM
2024-12,2024-12-01,0,-,CALM
