n,rmse,mae,dir_acc,model,vs_naive,beats_naive
11,248.2037286365596,176.36363636363637,60.0,DMS,-10.648398243087954,True
9,267.00973264581916,197.24470969420923,75.0,DMA,-3.878368678645938,True
18,277.7831888361857,183.83333333333334,58.82352941176471,Naive,0.0,False
10,345.94566454249036,324.7412691639961,33.33333333333333,BVAR_bop,24.53801325842706,False
10,362.07821087702456,336.8221470034905,44.44444444444444,BVAR_parsimonious,30.34561680784411,False
9,362.28210442190016,339.47761464814397,50.0,BVAR_full,30.419017054176443,False
9,372.4331900486594,349.4463310496857,37.5,BVAR_monetary,34.07333669435653,False
6,411.08234928828995,388.6840367875778,60.0,BVAR_pca,47.98676298971911,False
18,2040.9505817385723,2028.223709998289,52.94117647058824,VECM,634.7278970658523,False
18,2599.3208660096016,2588.9017021464397,52.94117647058824,MS-VAR,835.7372837787075,False
18,2787.0675464837964,2774.9953978588924,64.70588235294117,MS-VECM,903.3247721579676,False
18,2925.5917842285976,2915.4951608536744,64.70588235294117,ARIMA,953.192526331706,False
