n,rmse,mae,me,mape,smape,r_squared,theil_u1,theil_u2,dir_accuracy,model,rmse_vs_naive,beats_naive
9,104.11816809501175,88.54805555555565,47.33654444444437,1.4441110708906888,1.4335664336016216,0.8522489515229366,0.00842752180389386,0.37504791719031083,87.5,XGBoost,-62.518189624350406,True
11,248.2037286365596,176.36363636363637,-57.45454545454545,2.802861623266748,2.84497148715112,0.03507068219587439,0.020165667886696517,1.0,60.0,DMS,-10.648398243087954,True
9,267.00973264581916,197.24470969420923,-109.82167026198789,3.1539869045746536,3.2125685441562517,0.028301083163228546,0.02188811546139444,1.0012083904661926,75.0,DMA,-3.878368678645938,True
18,277.7831888361857,183.83333333333334,-65.05555555555556,2.8828643881134806,2.9432587863417203,-0.2122547195116724,0.02248835791387077,1.0,58.82352941176471,Naive,0.0,False
9,328.73553288516774,248.06186361278216,-244.57507934953497,3.9368818196061266,4.074560792346004,-0.47289176302921065,0.027256738574525645,1.2294863640063867,50.0,LSTM,18.3424865494757,False
10,345.94566454249036,324.7412691639961,-156.71273037640904,5.224055204989261,5.305706406175198,-0.73655120240139,0.028382126788384858,1.3096865436027176,33.33333333333333,BVAR_bop,24.53801325842706,False
10,362.07821087702456,336.8221470034905,-184.88702340254585,5.421951576368707,5.524251198337318,-0.9022894079541883,0.029773232932765143,1.3603929197646691,44.44444444444444,BVAR_parsimonious,30.34561680784411,False
9,372.4331900486594,349.4463310496857,-184.75447350975224,5.642647623103859,5.754467314854492,-0.8904895832551727,0.030710747142873283,1.3564233330667346,37.5,BVAR_monetary,34.07333669435653,False
18,2040.9505817385723,2028.223709998289,2028.223709998289,32.88767770982999,28.166756881747073,-64.44055042463539,0.14132582847273994,7.044433977182855,52.94117647058824,VECM,634.7278970658523,False
18,2599.3208660096016,2588.9017021464397,2588.9017021464397,41.94393653836853,34.5912864577586,-105.14554017659155,0.17326423669311555,8.996988704642595,52.94117647058824,MS-VAR,835.7372837787075,False
18,2787.0675464837964,2774.9953978588924,2774.9953978588924,44.919746403206396,36.597832405330145,-121.03290613881656,0.18347967540322652,9.703426413888083,64.70588235294117,MS-VECM,903.3247721579676,False
18,2925.5917842285976,2915.4951608536744,-2915.4951608536744,46.93869733896448,61.397597478281305,-133.46505095705535,0.30795364701872485,10.309599836849525,64.70588235294117,ARIMA,953.192526331706,False
