model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,full,1,6,16,0.1,0.0005,60,8,val_loss,10,42,18,24,1097.9078467508039,60,42,24,913.9633711726494,11,66,24,948.4745346501854,16,986.7819175245462,79.83100571809058,29.0
LSTM,full,2,6,16,0.1,0.0005,60,16,val_loss,10,42,18,24,1019.9592627252771,60,42,24,803.4935670512848,20,66,24,893.4469357246761,25,905.6332551670794,88.79087467028198,35.0
LSTM,full,3,6,16,0.1,0.001,60,8,val_loss,10,42,18,24,816.762839389355,24,42,24,856.3658503443328,11,66,24,1116.419381445817,13,929.8493570598348,132.91195110226036,16.0
LSTM,full,4,6,16,0.1,0.001,60,16,val_loss,10,42,18,24,962.058850517705,60,42,24,874.1600212620255,11,66,24,1075.5568163450937,18,970.591896041608,82.44099674663327,29.666666666666668
LSTM,full,5,6,16,0.3,0.0005,60,8,val_loss,10,42,18,24,1168.7569246234007,60,42,24,847.7535353433955,19,66,24,939.7793427583496,24,985.4299342417153,134.9661102138817,34.333333333333336
LSTM,full,6,6,16,0.3,0.0005,60,16,val_loss,10,42,18,24,998.2480408061906,60,42,24,773.1842898279887,24,66,24,1182.5126409669567,30,984.6483238670453,167.3840673165664,38.0
LSTM,full,7,6,16,0.3,0.001,60,8,val_loss,10,42,18,24,1080.6519584779148,37,42,24,686.1393053955503,57,66,24,923.1694563102348,20,896.6535733945666,162.14680055558625,38.0
LSTM,full,8,6,16,0.3,0.001,60,16,val_loss,10,42,18,24,992.3358710059343,60,42,24,772.0559339617582,12,66,24,1269.584318530185,16,1011.3253744992926,203.5584671046795,29.333333333333332
LSTM,full,9,6,32,0.1,0.0005,60,8,val_loss,10,42,18,24,865.462722906056,50,42,24,888.3884111101087,11,66,24,1000.2159273156866,14,918.0223537772837,58.86840942965923,25.0
LSTM,full,10,6,32,0.1,0.0005,60,16,val_loss,10,42,18,24,912.3923553507963,42,42,24,729.8082898430856,15,66,24,949.3875775228767,36,863.8627409055862,95.98648690706995,31.0
LSTM,full,11,6,32,0.1,0.001,60,8,val_loss,10,42,18,24,881.9700076448601,38,42,24,852.2825863169347,24,66,24,908.4830706630944,12,880.9118882082963,22.955947998173368,24.666666666666668
LSTM,full,12,6,32,0.1,0.001,60,16,val_loss,10,42,18,24,960.3195288788351,27,42,24,1254.9887910645882,11,66,24,985.259882029773,15,1066.8560673243987,133.41900566823355,17.666666666666668
LSTM,full,13,6,32,0.3,0.0005,60,8,val_loss,10,42,18,24,892.155415205048,29,42,24,1106.505669364345,11,66,24,916.1621749961704,13,971.6077531885212,95.88940494254086,17.666666666666668
LSTM,full,14,6,32,0.3,0.0005,60,16,val_loss,10,42,18,24,934.6452185318357,60,42,24,1191.5102281720829,11,66,24,1015.7031870103393,15,1047.286211238086,107.21636647110334,28.666666666666668
LSTM,full,15,6,32,0.3,0.001,60,8,val_loss,10,42,18,24,861.9741226499111,50,42,24,789.9715936912204,23,66,24,997.667387113339,13,883.2043678181568,86.11011606750476,28.666666666666668
LSTM,full,16,6,32,0.3,0.001,60,16,val_loss,10,42,18,24,856.3157323553723,20,42,24,733.3997154388854,11,66,24,917.0856539197098,19,835.6003672379892,76.40670024221335,16.666666666666668
LSTM,full,17,6,64,0.1,0.0005,60,8,val_loss,10,42,18,24,861.2169330417215,42,42,24,1015.7268119980222,11,66,24,896.9277477476668,14,924.6238309291367,66.04862068440619,22.333333333333332
LSTM,full,18,6,64,0.1,0.0005,60,16,val_loss,10,42,18,24,979.303343281876,16,42,24,974.5600940516053,11,66,24,917.4756675113829,18,957.1130349482879,28.09466469291859,15.0
LSTM,full,19,6,64,0.1,0.001,60,8,val_loss,10,42,18,24,818.749322686439,33,42,24,797.0758159002507,21,66,24,972.9844368173372,12,862.9365251346757,78.3170580541638,22.0
LSTM,full,20,6,64,0.1,0.001,60,16,val_loss,10,42,18,24,909.7612742479965,16,42,24,815.6672181131283,11,66,24,943.6489313679542,15,889.6924745763596,54.14115669313156,14.0
LSTM,full,21,6,64,0.3,0.0005,60,8,val_loss,10,42,18,24,863.7749332753486,18,42,24,804.7267641998413,31,66,24,891.8686597127052,13,853.4567857292983,36.31598009123317,20.666666666666668
LSTM,full,22,6,64,0.3,0.0005,60,16,val_loss,10,42,18,24,970.019076790445,24,42,24,779.8909958862668,11,66,24,922.3116864491129,15,890.7405863752748,80.76601000000208,16.666666666666668
LSTM,full,23,6,64,0.3,0.001,60,8,val_loss,10,42,18,24,892.5707870361662,17,42,24,787.2163883912687,32,66,24,1047.5262306868888,13,909.1044687047746,106.91219285354941,20.666666666666668
LSTM,full,24,6,64,0.3,0.001,60,16,val_loss,10,42,18,24,967.1435905327631,18,42,24,741.2584736476499,20,66,24,954.4065401728873,14,887.6028681177668,103.61167713337585,17.333333333333332
LSTM,full,25,12,16,0.1,0.0005,60,8,val_loss,10,42,12,24,950.3786479303894,60,36,24,834.9359982245225,11,60,24,976.7978073358727,14,920.7041511635948,61.598836784786606,28.333333333333332
LSTM,full,26,12,16,0.1,0.0005,60,16,val_loss,10,42,12,24,1270.7131528063294,60,36,24,797.6557023770001,22,60,24,1432.7140619922068,28,1167.027639058512,269.4287714779188,36.666666666666664
LSTM,full,27,12,16,0.1,0.001,60,8,val_loss,10,42,12,24,916.4314878570924,35,36,24,818.2506117547472,12,60,24,1013.4155130288038,13,916.032537546881,79.67623670555977,20.0
LSTM,full,28,12,16,0.1,0.001,60,16,val_loss,10,42,12,24,1453.361849452965,60,36,24,827.9323567604415,11,60,24,1046.0954156432695,28,1109.1298739522254,259.19171769578145,33.0
LSTM,full,29,12,16,0.3,0.0005,60,8,val_loss,10,42,12,24,1094.7960813090574,46,36,24,893.0373237973708,11,60,24,933.5798720947066,14,973.8044257337116,87.14034693052268,23.666666666666668
LSTM,full,30,12,16,0.3,0.0005,60,16,val_loss,10,42,12,24,958.6395465418332,60,36,24,1697.1720437786842,60,60,24,1039.0023439986073,50,1231.6046447730414,330.83661331683453,56.666666666666664
LSTM,full,31,12,16,0.3,0.001,60,8,val_loss,10,42,12,24,1025.584249920698,54,36,24,791.833585779846,15,60,24,1017.5406716276901,16,944.9861691094114,108.34500487894692,28.333333333333332
LSTM,full,32,12,16,0.3,0.001,60,16,val_loss,10,42,12,24,980.7649646389198,60,36,24,939.557855998638,11,60,24,1005.5493799031025,20,975.2907335135534,27.217588818247933,30.333333333333332
LSTM,full,33,12,32,0.1,0.0005,60,8,val_loss,10,42,12,24,961.2380069686607,35,36,24,906.5574715083704,11,60,24,945.1990700367486,16,937.6648495045932,22.95014304714138,20.666666666666668
LSTM,full,34,12,32,0.1,0.0005,60,16,val_loss,10,42,12,24,828.7552340171294,32,36,24,1147.474209760294,11,60,24,929.631412316155,15,968.620285364526,133.0051265700674,19.333333333333332
LSTM,full,35,12,32,0.1,0.001,60,8,val_loss,10,42,12,24,948.3074282288815,25,36,24,967.6721060393901,11,60,24,985.8803438101286,13,967.2866260261334,15.341500197163377,16.333333333333332
