model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,monetary,1,6,16,0.1,0.0005,60,8,val_loss,10,42,39,45,3171.231086870382,38,84,45,653.2041815653548,45,129,45,859.8312051999629,11,1561.4221578785666,1141.4281325370002,31.333333333333332
LSTM,monetary,2,6,16,0.1,0.0005,60,16,val_loss,10,42,39,45,2693.7292116660406,60,84,45,678.7422384665597,43,129,45,891.8265697752953,21,1421.4326733026319,903.845523014841,41.333333333333336
LSTM,monetary,3,6,16,0.1,0.001,60,8,val_loss,10,42,39,45,2119.668151520051,20,84,45,439.98486770355953,51,129,45,1014.3114302785655,34,1191.321483167392,697.0573398704572,35.0
LSTM,monetary,4,6,16,0.1,0.001,60,16,val_loss,10,42,39,45,2902.9640384337154,22,84,45,593.4623657568342,22,129,45,960.7127877199767,14,1485.7130639701754,1013.3010285107504,19.333333333333332
LSTM,monetary,5,6,16,0.3,0.0005,60,8,val_loss,10,42,39,45,2679.224907484604,60,84,45,785.0975646467125,50,129,45,1017.8989108078114,16,1494.0737943130425,843.400453514402,42.0
LSTM,monetary,6,6,16,0.3,0.0005,60,16,val_loss,10,42,39,45,2863.0046317261335,43,84,45,771.677380938555,60,129,45,892.3390034262455,17,1509.0070053636446,958.6872920585319,40.0
LSTM,monetary,7,6,16,0.3,0.001,60,8,val_loss,10,42,39,45,2855.1128677174443,27,84,45,884.4237217539803,16,129,45,995.8007486448865,15,1578.4457793721037,903.8843404543495,19.333333333333332
LSTM,monetary,8,6,16,0.3,0.001,60,16,val_loss,10,42,39,45,2942.2613093635714,38,84,45,490.0700764601758,60,129,45,918.2686755587075,16,1450.2000204608182,1069.430900821895,38.0
LSTM,monetary,9,6,32,0.1,0.0005,60,8,val_loss,10,42,39,45,2128.6569266489423,25,84,45,768.6398104312799,15,129,45,915.7820581845298,13,1271.0262650882507,609.4043397751841,17.666666666666668
LSTM,monetary,10,6,32,0.1,0.0005,60,16,val_loss,10,42,39,45,2186.141330800443,34,84,45,553.8484675394541,28,129,45,962.2784734550949,21,1234.089423931664,693.5444674339785,27.666666666666668
LSTM,monetary,11,6,32,0.1,0.001,60,8,val_loss,10,42,39,45,2407.023616770393,16,84,45,513.1962329166142,48,129,45,880.0414024355969,24,1266.7537507075347,820.0834795670131,29.333333333333332
LSTM,monetary,12,6,32,0.1,0.001,60,16,val_loss,10,42,39,45,2049.532820872318,19,84,45,787.6843025336134,15,129,45,882.5064975484482,23,1239.90787365146,573.7985875076381,19.0
LSTM,monetary,13,6,32,0.3,0.0005,60,8,val_loss,10,42,39,45,2055.9744219901304,20,84,45,737.2601265276477,16,129,45,941.5627032299387,12,1244.9324172492388,579.5266665146606,16.0
LSTM,monetary,14,6,32,0.3,0.0005,60,16,val_loss,10,42,39,45,2386.6308872123095,28,84,45,835.0176105124239,21,129,45,996.4923888293316,13,1406.0469621846885,696.504200286476,20.666666666666668
LSTM,monetary,15,6,32,0.3,0.001,60,8,val_loss,10,42,39,45,2184.935818127345,18,84,45,898.0621929181455,15,129,45,849.496970769469,21,1310.8316606049866,618.4028912443148,18.0
LSTM,monetary,16,6,32,0.3,0.001,60,16,val_loss,10,42,39,45,2131.060699152432,18,84,45,533.5294121816878,24,129,45,886.783862985995,17,1183.7913247733716,685.1698706552681,19.666666666666668
LSTM,monetary,17,6,64,0.1,0.0005,60,8,val_loss,10,42,39,45,1933.2491723040218,17,84,45,982.6876938060731,16,129,45,907.487718627143,20,1274.4748615790793,466.8343413675207,17.666666666666668
LSTM,monetary,18,6,64,0.1,0.0005,60,16,val_loss,10,42,39,45,1549.205508273961,17,84,45,848.5333568040203,13,129,45,990.5902436754308,13,1129.4430362511373,302.4295394147569,14.333333333333334
LSTM,monetary,19,6,64,0.1,0.001,60,8,val_loss,10,42,39,45,2070.5497686491285,14,84,45,719.0666783407959,14,129,45,954.9598805340989,14,1248.1921091746744,589.4152417339744,14.0
LSTM,monetary,20,6,64,0.1,0.001,60,16,val_loss,10,42,39,45,1645.3158684484117,16,84,45,722.8430935005366,18,129,45,877.6766796631192,24,1081.945213870689,403.3470223686548,19.333333333333332
LSTM,monetary,21,6,64,0.3,0.0005,60,8,val_loss,10,42,39,45,1763.3948396254846,16,84,45,894.3330664502565,15,129,45,854.2818469045012,22,1170.6699176600807,419.43863268734646,17.666666666666668
LSTM,monetary,22,6,64,0.3,0.0005,60,16,val_loss,10,42,39,45,2124.3657007158836,24,84,45,832.5218612860946,14,129,45,1299.8957756338643,12,1418.9277792119474,534.067155437113,16.666666666666668
LSTM,monetary,23,6,64,0.3,0.001,60,8,val_loss,10,42,39,45,1654.9779286627286,15,84,45,550.6556138612378,27,129,45,877.5026551794709,21,1027.7120659011457,463.18037814235703,21.0
LSTM,monetary,24,6,64,0.3,0.001,60,16,val_loss,10,42,39,45,2083.9848159183616,16,84,45,619.5938850696039,24,129,45,916.4947500111548,11,1206.69115033304,632.0710206181252,17.0
LSTM,monetary,25,12,16,0.1,0.0005,60,8,val_loss,10,42,33,45,2679.6512506421022,47,78,45,756.0204578356095,27,123,45,936.7293622026026,12,1457.467023560105,867.3579194793787,28.666666666666668
LSTM,monetary,26,12,16,0.1,0.0005,60,16,val_loss,10,42,33,45,2921.0930523227385,60,78,45,789.0915650412712,60,123,45,961.2208420296234,15,1557.1351531312112,967.0205048065102,45.0
LSTM,monetary,27,12,16,0.1,0.001,60,8,val_loss,10,42,33,45,2646.068466544529,22,78,45,758.5025707759941,20,123,45,1051.2502456242298,14,1485.2737609815842,829.4610947796104,18.666666666666668
LSTM,monetary,28,12,16,0.1,0.001,60,16,val_loss,10,42,33,45,2641.5838612073953,35,78,45,798.9001035326212,21,123,45,971.0557265436166,25,1470.5132304278777,831.0492188951382,27.0
LSTM,monetary,29,12,16,0.3,0.0005,60,8,val_loss,10,42,33,45,2761.227585748549,46,78,45,809.2405379094647,19,123,45,1208.3436190382993,13,1592.9372475654375,842.0204087236202,26.0
LSTM,monetary,30,12,16,0.3,0.0005,60,16,val_loss,10,42,33,45,2772.4056933166858,36,78,45,835.2970277256859,53,123,45,1039.8770112465452,31,1549.1932440963055,868.9648110865938,40.0
LSTM,monetary,31,12,16,0.3,0.001,60,8,val_loss,10,42,33,45,2849.6270328986825,35,78,45,604.5339710872711,31,123,45,983.8371309578953,30,1479.3327116479495,981.2399016587688,32.0
LSTM,monetary,32,12,16,0.3,0.001,60,16,val_loss,10,42,33,45,2594.7706381041785,35,78,45,728.8858174331541,28,123,45,1004.2152007397232,31,1442.6238854256853,822.4083219863847,31.333333333333332
LSTM,monetary,33,12,32,0.1,0.0005,60,8,val_loss,10,42,33,45,2385.445324419198,21,78,45,1013.9695138347515,16,123,45,1019.6499593214962,25,1473.021599191815,645.1851711633351,20.666666666666668
LSTM,monetary,34,12,32,0.1,0.0005,60,16,val_loss,10,42,33,45,2367.7789801191248,18,78,45,734.4231362828336,22,123,45,1081.3624366026547,13,1394.5215176682043,702.6209436526001,17.666666666666668
LSTM,monetary,35,12,32,0.1,0.001,60,8,val_loss,10,42,33,45,2542.6980223116675,17,78,45,941.0222816253308,14,123,45,998.5420927786746,21,1494.087465571891,741.8513808701206,17.333333333333332
LSTM,monetary,36,12,32,0.1,0.001,60,16,val_loss,10,42,33,45,2356.5311302243904,21,78,45,965.6582108475122,17,123,45,955.1123781102624,16,1425.7672397273884,658.163540232399,18.0
LSTM,monetary,37,12,32,0.3,0.0005,60,8,val_loss,10,42,33,45,2487.5739059515586,20,78,45,753.1174063747609,18,123,45,996.5075768270615,27,1412.3996297177937,766.7287599380893,21.666666666666668
LSTM,monetary,38,12,32,0.3,0.0005,60,16,val_loss,10,42,33,45,2551.590134685326,27,78,45,695.5840455784285,31,123,45,1015.3318644998453,14,1420.8353482545333,810.1499685051576,24.0
LSTM,monetary,39,12,32,0.3,0.001,60,8,val_loss,10,42,33,45,2343.270305125661,18,78,45,588.9911105283536,26,123,45,922.5780898412779,19,1284.9465018317642,760.6387765799761,21.0
