model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,parsimonious,1,6,16,0.1,0.0005,60,8,val_loss,10,42,33,39,1875.0232628516044,60,72,39,618.9032177240289,60,111,39,981.2594397527131,12,1158.3953067761156,527.8839698787509,44.0
LSTM,parsimonious,2,6,16,0.1,0.0005,60,16,val_loss,10,42,33,39,3219.4424057878437,60,72,39,621.8521539275041,60,111,39,946.768763287589,30,1596.0211076676453,1155.5706336848518,50.0
LSTM,parsimonious,3,6,16,0.1,0.001,60,8,val_loss,10,42,33,39,419.21728451220065,60,72,39,621.778585285385,36,111,39,1011.271468298178,24,684.089112698588,245.68813633616037,40.0
LSTM,parsimonious,4,6,16,0.1,0.001,60,16,val_loss,10,42,33,39,689.2753016208418,60,72,39,569.0722696043077,55,111,39,1021.2511972918797,18,759.8662561723431,191.2306771232756,44.333333333333336
LSTM,parsimonious,5,6,16,0.3,0.0005,60,8,val_loss,10,42,33,39,3153.8181354354238,60,72,39,676.5810733668164,60,111,39,1019.5624902821079,17,1616.6538996947827,1095.921067357617,45.666666666666664
LSTM,parsimonious,6,6,16,0.3,0.0005,60,16,val_loss,10,42,33,39,1754.1715864753753,60,72,39,1066.4790449670236,60,111,39,1045.3033201960493,19,1288.651317212816,329.2860394354309,46.333333333333336
LSTM,parsimonious,7,6,16,0.3,0.001,60,8,val_loss,10,42,33,39,1320.8476696749444,60,72,39,729.2563137085946,57,111,39,976.4437558716835,31,1008.8492464184075,242.60072818894076,49.333333333333336
LSTM,parsimonious,8,6,16,0.3,0.001,60,16,val_loss,10,42,33,39,2097.3416458466077,60,72,39,758.8892258657684,19,111,39,1097.3202585568586,18,1317.8503767564116,568.2363768204056,32.333333333333336
LSTM,parsimonious,9,6,32,0.1,0.0005,60,8,val_loss,10,42,33,39,1045.1139625872493,60,72,39,596.5091521072877,51,111,39,884.340651827478,23,841.9879221740051,185.5745749077096,44.666666666666664
LSTM,parsimonious,10,6,32,0.1,0.0005,60,16,val_loss,10,42,33,39,819.9070381234237,60,72,39,612.4932797739795,24,111,39,946.8952531129091,41,793.0985236701041,137.82886073832756,41.666666666666664
LSTM,parsimonious,11,6,32,0.1,0.001,60,8,val_loss,10,42,33,39,706.243748646097,48,72,39,651.3358894298246,56,111,39,891.4601293419553,13,749.6799224726255,102.72921864740958,39.0
LSTM,parsimonious,12,6,32,0.1,0.001,60,16,val_loss,10,42,33,39,881.7770462233067,31,72,39,681.7080344826468,32,111,39,879.8808123837179,20,814.4552976965571,93.86968216195966,27.666666666666668
LSTM,parsimonious,13,6,32,0.3,0.0005,60,8,val_loss,10,42,33,39,667.4876409468503,51,72,39,635.737982742998,59,111,39,903.4338290300223,24,735.5531509066235,119.41510726423887,44.666666666666664
LSTM,parsimonious,14,6,32,0.3,0.0005,60,16,val_loss,10,42,33,39,1180.9198470015795,60,72,39,966.1563351952324,26,111,39,1051.8322276373333,16,1066.3028032780483,88.27188933584307,34.0
LSTM,parsimonious,15,6,32,0.3,0.001,60,8,val_loss,10,42,33,39,987.4974842943777,34,72,39,619.6148430149527,29,111,39,911.115719932726,19,839.4093490806854,158.51553478920042,27.333333333333332
LSTM,parsimonious,16,6,32,0.3,0.001,60,16,val_loss,10,42,33,39,899.5449149873473,53,72,39,634.3695398553681,28,111,39,891.9047094507185,23,808.6063880978113,123.2435330264314,34.666666666666664
