model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,pca,1,6,16,0.1,0.0005,60,8,val_loss,10,42,20,23,1030.5965384974234,60,43,23,793.0854008479378,21,66,23,1038.0691681644153,14,953.9170358365922,113.76604988125943,31.666666666666668
LSTM,pca,2,6,16,0.1,0.0005,60,16,val_loss,10,42,20,23,925.9699496566415,60,43,23,840.0413812635394,32,66,23,1005.6027266419821,34,923.871352520721,67.60642402086837,42.0
LSTM,pca,3,6,16,0.1,0.001,60,8,val_loss,10,42,20,23,794.4903277714104,31,43,23,858.228579231258,13,66,23,1001.0085810770897,14,884.5758293599193,86.34458264849381,19.333333333333332
LSTM,pca,4,6,16,0.1,0.001,60,16,val_loss,10,42,20,23,1077.6013756848479,41,43,23,853.0367689079505,11,66,23,1039.2388570766175,25,989.959000556472,98.07715958434707,25.666666666666668
LSTM,pca,5,6,16,0.3,0.0005,60,8,val_loss,10,42,20,23,1161.193612676323,60,43,23,865.5550916065949,24,66,23,1032.395865787839,26,1019.7148566902524,121.02655295119834,36.666666666666664
LSTM,pca,6,6,16,0.3,0.0005,60,16,val_loss,10,42,20,23,987.2600584234722,60,43,23,820.9042652438159,43,66,23,1059.0647962976016,31,955.7430399882966,99.75002581866902,44.666666666666664
LSTM,pca,7,6,16,0.3,0.001,60,8,val_loss,10,42,20,23,968.7547869707009,60,43,23,821.9479040864406,38,66,23,1126.4376108432643,20,972.3801006334687,124.33383169134943,39.333333333333336
LSTM,pca,8,6,16,0.3,0.001,60,16,val_loss,10,42,20,23,963.6363130158144,60,43,23,829.0488128423736,15,66,23,1493.6165083016522,22,1095.43387805328,286.86873197145746,32.333333333333336
LSTM,pca,9,6,32,0.1,0.0005,60,8,val_loss,10,42,20,23,840.4379511004016,36,43,23,875.9141139575956,12,66,23,1142.55725718523,16,952.9697740810757,134.83866865033806,21.333333333333332
LSTM,pca,10,6,32,0.1,0.0005,60,16,val_loss,10,42,20,23,801.9309661620817,60,43,23,781.4244410637874,18,66,23,943.4810736195535,30,842.2788269484741,72.04882807909846,36.0
LSTM,pca,11,6,32,0.1,0.001,60,8,val_loss,10,42,20,23,950.1477738853552,29,43,23,767.3640571210216,23,66,23,972.6424293584773,13,896.7180867882847,91.92696784071947,21.666666666666668
