model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,bop,1,200,3,0.03,0.8,0.8,1,42,1121.9822498585734,693.8637747673025,911.9105177356076,909.2521807871613,174.78874343068622
XGBoost,bop,2,200,3,0.03,0.8,0.8,3,42,1121.9829973261812,699.234634228825,882.9644805970426,901.3940373840163,173.07759540717905
XGBoost,bop,3,200,3,0.03,0.8,1.0,1,42,1119.3733775422752,674.2934435639414,904.9847441200509,899.5505217420891,181.74374814956604
XGBoost,bop,4,200,3,0.03,0.8,1.0,3,42,1118.9854968838933,644.0799539203352,870.4205168794836,877.8286558945707,193.95012946137834
XGBoost,bop,5,200,3,0.03,1.0,0.8,1,42,1132.6788425878826,653.0820797670408,874.0291038597406,886.5966754048881,195.99612516231795
XGBoost,bop,6,200,3,0.03,1.0,0.8,3,42,1136.415531292772,625.5249664535971,870.9689252180546,877.6364743214746,208.62347977270383
XGBoost,bop,7,200,3,0.03,1.0,1.0,1,42,1132.5844983425718,656.5850879856395,895.5774477394702,894.9156780225604,194.32650894719345
XGBoost,bop,8,200,3,0.03,1.0,1.0,3,42,1133.592133017076,616.2017254909648,880.9457438532002,876.9132007870803,211.24299515438605
XGBoost,bop,9,200,3,0.1,0.8,0.8,1,42,1117.8521541435864,720.1622882104398,889.1820142017853,909.0654855186039,162.96384402720764
XGBoost,bop,10,200,3,0.1,0.8,0.8,3,42,1125.9049547133172,715.944337603182,854.7786722702807,898.8759881955933,170.24562030429905
XGBoost,bop,11,200,3,0.1,0.8,1.0,1,42,1116.3880995481713,703.9375606788436,874.682164005982,898.335941410999,169.210889410314
XGBoost,bop,12,200,3,0.1,0.8,1.0,3,42,1100.1666872307635,662.8163675335093,891.6330902880135,884.8720483507622,178.61151381490978
XGBoost,bop,13,200,3,0.1,1.0,0.8,1,42,1120.0743261193259,656.3652369518127,887.7949731869041,888.0781787526809,189.3085488440948
XGBoost,bop,14,200,3,0.1,1.0,0.8,3,42,1118.6323402518735,629.3625380310074,880.3490282354098,876.114635506097,199.766000448276
XGBoost,bop,15,200,3,0.1,1.0,1.0,1,42,1132.0675893211442,663.1443743637519,904.7006801686729,899.970881284523,191.46631318956616
XGBoost,bop,16,200,3,0.1,1.0,1.0,3,42,1125.066798350546,605.9544176147898,916.4623500759162,882.4945220137506,213.28349829234605
XGBoost,bop,17,200,4,0.03,0.8,0.8,1,42,1134.8763265043506,682.7571284994052,912.1232631062672,909.9189060366743,184.5834710796653
XGBoost,bop,18,200,4,0.03,0.8,0.8,3,42,1122.0726366075003,670.03078949373,896.9093062098018,896.3375774370106,184.54575411145703
XGBoost,bop,19,200,4,0.03,0.8,1.0,1,42,1123.0531406453977,676.6024129131963,907.0475539201125,902.2343691595688,182.29452018424723
XGBoost,bop,20,200,4,0.03,0.8,1.0,3,42,1116.829428734554,643.7070765741222,882.7680109004529,881.101505403043,193.15498605849243
XGBoost,bop,21,200,4,0.03,1.0,0.8,1,42,1148.3251919991471,653.1828450888434,917.662860221738,906.3902991032428,202.29811154430575
XGBoost,bop,22,200,4,0.03,1.0,0.8,3,42,1131.0261445743201,636.9130612954485,874.8349667611398,880.9247242103028,201.76677728866483
XGBoost,bop,23,200,4,0.03,1.0,1.0,1,42,1136.6609080331434,660.6787373728881,947.7896697670842,915.0431050577054,195.69365484827085
XGBoost,bop,24,200,4,0.03,1.0,1.0,3,42,1129.0834752812689,629.1768758958049,873.4793645237979,877.2465719002906,204.10339849505664
XGBoost,bop,25,200,4,0.1,0.8,0.8,1,42,1119.9597334687326,708.4555310730309,901.2212077853364,909.8788241090333,168.10739203980475
XGBoost,bop,26,200,4,0.1,0.8,0.8,3,42,1116.3216422644746,708.3827702108642,880.1443449537164,901.6162524763517,167.23100378934606
XGBoost,bop,27,200,4,0.1,0.8,1.0,1,42,1108.542030622814,675.2352258676375,902.5445121492189,895.4405895465569,176.96806877521462
XGBoost,bop,28,200,4,0.1,0.8,1.0,3,42,1104.9281053649418,636.8737251208782,878.0292039170714,873.2770114676305,191.11194488435478
XGBoost,bop,29,200,4,0.1,1.0,0.8,1,42,1130.1324639863521,664.3530787511645,889.6684928585842,894.7180118653669,190.18715722355742
