model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,full,1,200,3,0.03,0.8,0.8,1,42,1056.359031312324,748.5864877023923,920.4477559670082,908.4644249939082,125.93301080585127
XGBoost,full,2,200,3,0.03,0.8,0.8,3,42,1085.1563746477095,829.3394401225914,923.507163094569,946.0009926216234,105.64107557369678
XGBoost,full,3,200,3,0.03,0.8,1.0,1,42,1025.8147792567092,700.8699937544013,942.8884612181865,889.857744743099,137.8561353336177
XGBoost,full,4,200,3,0.03,0.8,1.0,3,42,1045.8354678932865,793.6132047668852,936.8006382444929,925.4164369682215,103.28348539553613
XGBoost,full,5,200,3,0.03,1.0,0.8,1,42,1057.375322566419,892.1802236631812,913.9472555482574,954.5009339259526,73.28394911977105
XGBoost,full,6,200,3,0.03,1.0,0.8,3,42,1102.2742107788636,895.3894735559637,911.2059864686507,969.6232236011593,94.02040140165994
XGBoost,full,7,200,3,0.03,1.0,1.0,1,42,1000.6447339327548,890.990896192202,934.5874776314673,942.0743692521413,45.07794133433529
XGBoost,full,8,200,3,0.03,1.0,1.0,3,42,1052.9319106670866,844.063436389744,926.682606135882,941.2259843975709,85.88807552151098
XGBoost,full,9,200,3,0.1,0.8,0.8,1,42,1047.0321780750673,778.1627351160647,925.2826323220149,916.8258485043822,109.9282560996784
XGBoost,full,10,200,3,0.1,0.8,0.8,3,42,1109.171529303446,837.2557635577106,927.455698817501,957.9609972262192,113.08544214744924
XGBoost,full,11,200,3,0.1,0.8,1.0,1,42,1046.9471467933076,681.2592299074402,933.5183517152884,887.2415761386787,152.83557200993755
XGBoost,full,12,200,3,0.1,0.8,1.0,3,42,1094.9235965972375,810.0646343981733,960.7658168719352,955.2513492891154,116.3585381506186
XGBoost,full,13,200,3,0.1,1.0,0.8,1,42,1056.0984202184445,954.6030495288038,931.0702649724271,980.5905782398918,54.24956919913603
XGBoost,full,14,200,3,0.1,1.0,0.8,3,42,1126.8923613093448,909.0236603748938,918.3001196877897,984.7387137906761,100.58912400285425
XGBoost,full,15,200,3,0.1,1.0,1.0,1,42,1006.561883575024,893.3745613615661,928.5645132782278,942.8336527382726,47.29727781568367
XGBoost,full,16,200,3,0.1,1.0,1.0,3,42,1079.208525094579,873.3026020819126,931.2058444304032,961.2389905356316,86.70180575458248
XGBoost,full,17,200,4,0.03,0.8,0.8,1,42,1056.7908100677719,759.0450459577246,909.4806399068166,908.4388319774376,121.55643143327922
XGBoost,full,18,200,4,0.03,0.8,0.8,3,42,1083.6383449720374,813.1357317921874,913.51340012648,936.7624922969017,111.64917121454886
XGBoost,full,19,200,4,0.03,0.8,1.0,1,42,1028.136031094442,707.2257292957504,930.542788550037,888.6348496467431,134.3206659638878
XGBoost,full,20,200,4,0.03,0.8,1.0,3,42,1047.0525200932016,773.2109596048284,921.3860580217332,913.8831792399211,111.92116259578364
XGBoost,full,21,200,4,0.03,1.0,0.8,1,42,1058.3633149220711,865.012868550637,933.9478079324965,952.4413304684016,80.01085992891934
XGBoost,full,22,200,4,0.03,1.0,0.8,3,42,1102.7166048693541,864.7894886281899,906.8379790154563,958.1146908376668,103.67996927141594
XGBoost,full,23,200,4,0.03,1.0,1.0,1,42,1002.2879411207246,843.2456917626478,972.197878619599,939.2438371676571,68.98350482171516
XGBoost,full,24,200,4,0.03,1.0,1.0,3,42,1057.6202066387177,829.4236023082274,891.8635294585017,926.3024461351489,96.29105805970902
XGBoost,full,25,200,4,0.1,0.8,0.8,1,42,1048.5540984061374,768.8355112357737,906.6121761635691,908.0005952684934,114.19885516896768
XGBoost,full,26,200,4,0.1,0.8,0.8,3,42,1114.0159105891978,862.2673112458496,848.8368466715007,941.7066895021826,121.96432565407834
XGBoost,full,27,200,4,0.1,0.8,1.0,1,42,1051.053721783747,680.675969357418,933.72424621268,888.484645784615,154.55287327915323
XGBoost,full,28,200,4,0.1,0.8,1.0,3,42,1098.3498825649415,767.5071855218312,906.5249231958303,924.1273304275343,135.63825935665025
XGBoost,full,29,200,4,0.1,1.0,0.8,1,42,1052.6095269121124,911.9433659264483,940.0842412322628,968.2123780236078,60.77354836399169
XGBoost,full,30,200,4,0.1,1.0,0.8,3,42,1123.2301024458393,842.9485591216704,890.1611427459736,952.1132681044943,122.52342703709877
XGBoost,full,31,200,4,0.1,1.0,1.0,1,42,1004.395432774102,814.8555726246096,965.5848382247767,928.2786145411628,81.7522900414056
XGBoost,full,32,200,4,0.1,1.0,1.0,3,42,1084.381184163715,810.9021211080747,884.8402550007002,926.7078534241633,115.50576127264247
XGBoost,full,33,200,5,0.03,0.8,0.8,1,42,1055.6103538496188,767.7946944090527,909.7620016586003,911.0556833057573,117.50381175081125
XGBoost,full,34,200,5,0.03,0.8,0.8,3,42,1083.8345536206223,829.1326316126743,903.5256803172855,938.8309551835274,106.93647364571598
XGBoost,full,35,200,5,0.03,0.8,1.0,1,42,1027.9528837676207,716.1512024298796,911.3160089112927,885.140031702931,128.631148271249
XGBoost,full,36,200,5,0.03,0.8,1.0,3,42,1047.2220180177555,775.6650447257006,909.7883275379494,910.8917967604685,110.86541591536184
XGBoost,full,37,200,5,0.03,1.0,0.8,1,42,1058.836409775109,824.0209313746172,957.4084159753563,946.7552523750275,96.15853106592422
XGBoost,full,38,200,5,0.03,1.0,0.8,3,42,1099.9207570486528,832.1160497597018,884.1590342291595,938.7319470125047,115.94105519263985
XGBoost,full,39,200,5,0.03,1.0,1.0,1,42,999.2831210539875,788.9228365043806,957.7245026177122,915.3101533920268,90.96554327189574
XGBoost,full,40,200,5,0.03,1.0,1.0,3,42,1056.4820662595266,785.8391482366951,856.4025817037754,899.5745987333324,114.62915440607753
XGBoost,full,41,200,5,0.1,0.8,0.8,1,42,1046.846230522255,758.0781527587098,910.0137760752202,904.9793864520616,117.9428095673818
XGBoost,full,42,200,5,0.1,0.8,0.8,3,42,1111.956580999066,856.2124858437261,854.3372391142569,940.8354353190165,121.00334433866885
XGBoost,full,43,200,5,0.1,0.8,1.0,1,42,1051.9888343895227,687.0398436859473,924.9291212651888,887.985933113553,151.26255499846388
XGBoost,full,44,200,5,0.1,0.8,1.0,3,42,1098.2658676755555,785.7406405542747,887.8915926611492,923.9660336303265,130.1128442679175
XGBoost,full,45,200,5,0.1,1.0,0.8,1,42,1053.9530567631173,875.506193249263,960.2885577175279,963.2492692433028,72.88070221961905
XGBoost,full,46,200,5,0.1,1.0,0.8,3,42,1123.3354368255782,811.1764243136486,869.7061324247101,934.739331187979,135.48136398078984
XGBoost,full,47,200,5,0.1,1.0,1.0,1,42,1002.9826574581181,810.2743976828817,938.6207302392955,917.2925951267651,80.10528637126582
XGBoost,full,48,200,5,0.1,1.0,1.0,3,42,1083.3783887977424,762.1728734507828,883.1613134721148,909.5708585735466,132.45463079025689
XGBoost,full,49,400,3,0.03,0.8,0.8,1,42,1055.6369963309357,758.6155819789125,922.263175392139,912.1719179006624,121.46825443777078
XGBoost,full,50,400,3,0.03,0.8,0.8,3,42,1110.4866885262336,836.7706214803338,928.0044791542193,958.420596386929,113.79506866996866
XGBoost,full,51,400,3,0.03,0.8,1.0,1,42,1025.564372607455,713.2888833552536,947.379101186835,895.4107857165145,132.6763597544604
XGBoost,full,52,400,3,0.03,0.8,1.0,3,42,1070.3939345525946,803.4038274875006,940.3540386893417,938.0506002431457,109.01042362748052
XGBoost,full,53,400,3,0.03,1.0,0.8,1,42,1057.3513305839685,909.5833294516481,910.0373100643101,958.9906566999756,69.5517464424107
XGBoost,full,54,400,3,0.03,1.0,0.8,3,42,1120.698994236277,904.1840386972264,911.2610476445448,978.714693526016,100.43962448504895
XGBoost,full,55,400,3,0.03,1.0,1.0,1,42,1000.3780543694968,909.2442594349103,930.1436520001147,946.588655268174,38.98008674660841
XGBoost,full,56,400,3,0.03,1.0,1.0,3,42,1071.8277667389616,854.1704321175798,925.89340631985,950.6305350587971,90.56350619797679
XGBoost,full,57,400,3,0.1,0.8,0.8,1,42,1047.057322169828,778.3511401065144,925.4430245166528,916.950495597665,109.86308253257944
XGBoost,full,58,400,3,0.1,0.8,0.8,3,42,1109.1127839658222,836.8875943183689,927.8127092225274,957.9376958355729,113.15851590718545
XGBoost,full,59,400,3,0.1,0.8,1.0,1,42,1046.9855976788208,681.3367974346971,933.7083507762881,887.3435819632687,152.83330815042754
XGBoost,full,60,400,3,0.1,0.8,1.0,3,42,1095.4971442367084,811.1525319948902,961.0823534754413,955.9106765690134,116.14078901418415
XGBoost,full,61,400,3,0.1,1.0,0.8,1,42,1056.102481241561,954.7775195905127,930.5459786381772,980.4753264900836,54.3837708394953
XGBoost,full,62,400,3,0.1,1.0,0.8,3,42,1127.354087822527,909.368798406223,918.3932290173752,985.0387050820418,100.69959023548529
