model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,parsimonious,1,200,3,0.03,0.8,0.8,1,42,166.50696640165455,946.9065943200586,891.9513844280668,668.4549817165934,355.63921449742924
XGBoost,parsimonious,2,200,3,0.03,0.8,0.8,3,42,214.89661529321143,918.9712314585653,872.5490830102849,668.8056432540205,321.521184594819
XGBoost,parsimonious,3,200,3,0.03,0.8,1.0,1,42,163.1559893228734,951.2280648891182,891.3169760671799,668.5670100930571,358.2155399364344
XGBoost,parsimonious,4,200,3,0.03,0.8,1.0,3,42,216.01506607036555,911.0702119369543,884.7384189856937,670.6078989976712,321.6253759077082
XGBoost,parsimonious,5,200,3,0.03,1.0,0.8,1,42,156.12259394864893,949.9989218179403,979.9649879448272,695.3621679038055,381.49615976161044
XGBoost,parsimonious,6,200,3,0.03,1.0,0.8,3,42,215.423294633203,925.0386002707311,932.7639337730244,691.0752762256528,336.3515283043903
XGBoost,parsimonious,7,200,3,0.03,1.0,1.0,1,42,150.19192825371778,964.4718919004157,1003.3090400912896,705.990953415141,393.32895333523845
XGBoost,parsimonious,8,200,3,0.03,1.0,1.0,3,42,214.26042529790553,922.4730655321079,970.7678474472498,702.500446092421,345.8003614024808
XGBoost,parsimonious,9,200,3,0.1,0.8,0.8,1,42,142.8732898648188,927.2325317856329,924.9525545358327,665.0194587287615,369.21427005514886
XGBoost,parsimonious,10,200,3,0.1,0.8,0.8,3,42,223.28892717021677,898.7017095405507,925.184394368796,682.391677026521,324.8146490365886
XGBoost,parsimonious,11,200,3,0.1,0.8,1.0,1,42,141.24495237731674,939.6630464541092,987.306232711014,689.40474384748,388.0952082823983
XGBoost,parsimonious,12,200,3,0.1,0.8,1.0,3,42,222.38784766912283,902.9133007252454,936.7007916473777,687.3339800139153,329.0557988371063
XGBoost,parsimonious,13,200,3,0.1,1.0,0.8,1,42,141.49695099833855,970.7699290233619,1009.0805942436515,707.1158247551174,400.2586326612835
