model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,pca,1,200,3,0.03,0.8,0.8,1,42,1117.6684012077571,946.6516739680667,860.4981692990731,974.9394148249658,106.87774716026995
XGBoost,pca,2,200,3,0.03,0.8,0.8,3,42,1221.741401130645,928.8160266109466,888.9350638501691,1013.1641638639203,148.38232313193814
XGBoost,pca,3,200,3,0.03,0.8,1.0,1,42,1123.3623533621594,948.6415574621564,880.1639629785305,984.0559579342821,102.39465836294737
XGBoost,pca,4,200,3,0.03,0.8,1.0,3,42,1102.3203316806994,937.5054091754671,890.1118075819298,976.6458494793654,90.94721903548155
XGBoost,pca,5,200,3,0.03,1.0,0.8,1,42,1118.875589930732,909.8641939645281,849.5757224537782,959.4385021163462,115.39443567556968
XGBoost,pca,6,200,3,0.03,1.0,0.8,3,42,1129.6669300545932,958.6168387355366,915.4819479374385,1001.2552389091894,92.49261778887326
XGBoost,pca,7,200,3,0.03,1.0,1.0,1,42,1085.4182359427427,884.2194723324752,891.7170553133092,953.7849211961757,93.12912398390816
XGBoost,pca,8,200,3,0.03,1.0,1.0,3,42,1054.482902295267,919.7517960655033,910.0934710323481,961.4427231310395,65.90739470294757
XGBoost,pca,9,200,3,0.1,0.8,0.8,1,42,1157.4781812955657,896.0633176561228,830.1439688352729,961.2284892623205,141.35486397620926
XGBoost,pca,10,200,3,0.1,0.8,0.8,3,42,1380.6215230852656,938.3818651304719,865.1811312077231,1061.3948398078203,227.6969379810894
XGBoost,pca,11,200,3,0.1,0.8,1.0,1,42,1114.8746229424466,943.1981711395237,869.9697026496849,976.0141655772183,102.63940800719804
XGBoost,pca,12,200,3,0.1,0.8,1.0,3,42,1119.4837965218414,883.8677456327406,884.4231728264856,962.5915716603558,110.93978784707826
XGBoost,pca,13,200,3,0.1,1.0,0.8,1,42,1117.2162517765307,912.4491496596581,881.2521181337428,970.305839856644,104.65917874020212
XGBoost,pca,14,200,3,0.1,1.0,0.8,3,42,1151.237286159512,1016.4256175478545,931.4045744519593,1033.0224927197753,90.51039528981642
XGBoost,pca,15,200,3,0.1,1.0,1.0,1,42,1082.6180431179896,892.084231897056,937.3367183513266,970.6796644554574,81.27975289402569
XGBoost,pca,16,200,3,0.1,1.0,1.0,3,42,1052.4594068208457,938.2351862417164,968.3464599292994,986.3470176639538,48.33775750415935
XGBoost,pca,17,200,4,0.03,0.8,0.8,1,42,1118.149175161147,933.9251701637999,870.2113663811829,974.0952372353767,105.13012562868218
XGBoost,pca,18,200,4,0.03,0.8,0.8,3,42,1221.3411509405853,920.2252105275239,875.4779896625877,1005.6814503768991,153.58473943114265
XGBoost,pca,19,200,4,0.03,0.8,1.0,1,42,1114.0319146151867,957.9222574050773,902.0720757071574,991.3420825758072,89.70101026302524
XGBoost,pca,20,200,4,0.03,0.8,1.0,3,42,1103.818022134266,961.3638592458847,901.19429833288,988.7920599043435,84.9640041637461
XGBoost,pca,21,200,4,0.03,1.0,0.8,1,42,1131.0515643349515,947.0887760364398,886.1643219020787,988.1015540911567,104.09603370419794
XGBoost,pca,22,200,4,0.03,1.0,0.8,3,42,1133.2968585413264,961.5297943611997,893.6886890645305,996.1717806556854,100.84003547145264
XGBoost,pca,23,200,4,0.03,1.0,1.0,1,42,1082.1968983434513,916.6014990778986,911.2953679900434,970.0312551371311,79.34266357051554
XGBoost,pca,24,200,4,0.03,1.0,1.0,3,42,1059.294344099824,921.5551703777513,906.3880283664007,962.4125142813253,68.78506262716017
XGBoost,pca,25,200,4,0.1,0.8,0.8,1,42,1150.5932639640541,902.0762819766541,820.2506179505996,957.6400546304359,140.4684200984537
XGBoost,pca,26,200,4,0.1,0.8,0.8,3,42,1374.1751525082936,993.8949083264799,879.8980402552058,1082.6560336966597,211.32339980394738
XGBoost,pca,27,200,4,0.1,0.8,1.0,1,42,1114.3567610298091,950.9940050915836,868.5215231645053,977.957429761966,102.15677737849529
XGBoost,pca,28,200,4,0.1,0.8,1.0,3,42,1122.6494011160737,943.328922496763,899.4173454826548,988.4652230318306,96.56121334875064
XGBoost,pca,29,200,4,0.1,1.0,0.8,1,42,1122.2946342937096,953.7818072632675,925.2963492695062,1000.4575969421611,86.9331278712956
XGBoost,pca,30,200,4,0.1,1.0,0.8,3,42,1141.8099032963094,988.3563863685334,914.255197964926,1014.8071625432563,94.76292752547326
XGBoost,pca,31,200,4,0.1,1.0,1.0,1,42,1059.995429992977,955.2057607164901,930.6253167655778,981.9421691583483,56.0968400856645
XGBoost,pca,32,200,4,0.1,1.0,1.0,3,42,1067.9635714757976,959.3020689692238,955.554631064401,994.2734238364741,52.12925740913379
XGBoost,pca,33,200,5,0.03,0.8,0.8,1,42,1118.471742984196,952.5282125814159,860.7395191024259,977.2464915560125,106.6605825140672
XGBoost,pca,34,200,5,0.03,0.8,0.8,3,42,1221.0119696283539,917.8675011592153,857.3970912360348,998.7588540078681,159.0838419855584
XGBoost,pca,35,200,5,0.03,0.8,1.0,1,42,1113.1086264501419,962.3197481373643,895.4872766261612,990.3052170712226,91.02070397584933
XGBoost,pca,36,200,5,0.03,0.8,1.0,3,42,1103.6073194307362,965.1786801204436,869.9008210591259,979.5622735367687,95.95084736452127
XGBoost,pca,37,200,5,0.03,1.0,0.8,1,42,1130.9060045514248,1015.2369044598298,896.9608756302924,1014.367928213849,95.50967551778324
XGBoost,pca,38,200,5,0.03,1.0,0.8,3,42,1133.727493065365,1011.3604622968674,869.9785818162684,1005.0221790595002,107.76827740440375
XGBoost,pca,39,200,5,0.03,1.0,1.0,1,42,1081.8569301596772,1040.6884219846709,938.7737807719496,1020.4397109720991,60.14263397918135
XGBoost,pca,40,200,5,0.03,1.0,1.0,3,42,1062.8113714781184,955.4867591484222,875.2855573772925,964.5278960012778,76.82356129573107
XGBoost,pca,41,200,5,0.1,0.8,0.8,1,42,1149.638081820917,920.7876948433901,780.4507469833284,950.2921745492118,152.15717267166843
XGBoost,pca,42,200,5,0.1,0.8,0.8,3,42,1367.7657046113522,991.0786276840028,874.4580681392143,1077.767466811523,210.51416765052429
XGBoost,pca,43,200,5,0.1,0.8,1.0,1,42,1115.0214802376206,945.7733383049801,867.4182813996113,976.0710333140706,103.3289206397112
XGBoost,pca,44,200,5,0.1,0.8,1.0,3,42,1117.0078993484249,975.9037104095497,911.8100020234741,1001.5738705938162,85.71566216104533
XGBoost,pca,45,200,5,0.1,1.0,0.8,1,42,1116.0128344010006,972.5077239075633,934.4173034132085,1007.6459539072575,78.18889786629173
XGBoost,pca,46,200,5,0.1,1.0,0.8,3,42,1139.4948469664075,1030.2536279459273,907.2051755390985,1025.6512168171446,94.88768625450672
XGBoost,pca,47,200,5,0.1,1.0,1.0,1,42,1059.0100252607053,999.3153838764985,944.6095563365827,1000.9783218245954,46.71859618666641
XGBoost,pca,48,200,5,0.1,1.0,1.0,3,42,1064.03887254143,1019.7406506964916,904.2079835714202,995.995835603114,67.37625917240149
XGBoost,pca,49,400,3,0.03,0.8,0.8,1,42,1118.461163147284,952.6044464944778,888.6368181153764,986.567475919046,96.85013480667574
XGBoost,pca,50,400,3,0.03,0.8,0.8,3,42,1241.023663533278,933.1662270152328,909.39980456491,1027.8632317044737,151.03915161772588
XGBoost,pca,51,400,3,0.03,0.8,1.0,1,42,1122.1133919228496,952.3636956613966,902.6214848994332,992.3661908278931,93.96568177390864
XGBoost,pca,52,400,3,0.03,0.8,1.0,3,42,1116.1366950962527,943.834897608267,910.7315904806427,990.2343943950542,90.04628153376727
XGBoost,pca,53,400,3,0.03,1.0,0.8,1,42,1121.979938933202,921.2719172129417,890.8056656080867,978.0191739180768,102.55266783306243
XGBoost,pca,54,400,3,0.03,1.0,0.8,3,42,1137.8309792692673,978.7938467108155,952.144347912146,1022.9230579640762,81.97732097177877
XGBoost,pca,55,400,3,0.03,1.0,1.0,1,42,1085.3392071621986,891.1596043953169,914.8299685490998,963.7762600355385,86.49945710959713
XGBoost,pca,56,400,3,0.03,1.0,1.0,3,42,1061.6746830303598,940.2206184796988,946.23549583376,982.7102657812729,55.89024411595774
XGBoost,pca,57,400,3,0.1,0.8,0.8,1,42,1157.4191858589556,896.1256720566062,830.8841238272346,961.4763272475988,141.08937541958758
XGBoost,pca,58,400,3,0.1,0.8,0.8,3,42,1381.5576177466774,938.817239910187,866.2754610971723,1062.216772918012,227.7418257592769
XGBoost,pca,59,400,3,0.1,0.8,1.0,1,42,1114.8478737448565,943.2454653312099,871.2212762430881,976.4382051063849,102.19197043769806
XGBoost,pca,60,400,3,0.1,0.8,1.0,3,42,1119.690671344056,883.7641325578719,886.3719580913333,963.2755873310871,110.60729050290594
XGBoost,pca,61,400,3,0.1,1.0,0.8,1,42,1117.2222926445597,912.7367859685074,882.2182643598796,970.7257809909821,104.33524807176188
XGBoost,pca,62,400,3,0.1,1.0,0.8,3,42,1151.6223334711758,1016.2043944316628,932.3752119900726,1033.4006466309704,90.32942815684545
XGBoost,pca,63,400,3,0.1,1.0,1.0,1,42,1082.6063888500964,892.1821808604329,937.4816373639741,970.7567356915011,81.22302166936254
XGBoost,pca,64,400,3,0.1,1.0,1.0,3,42,1052.7743325001093,938.23128038542,969.7693780961836,986.9249969939043,48.30986194529354
XGBoost,pca,65,400,4,0.03,0.8,0.8,1,42,1121.3543396630432,933.0011343462576,880.9751227148726,978.4435322413912,103.26115962289872
XGBoost,pca,66,400,4,0.03,0.8,0.8,3,42,1240.0813537548318,936.888267033752,893.9587997058919,1023.6428068314918,154.04537910840548
XGBoost,pca,67,400,4,0.03,0.8,1.0,1,42,1117.996039035125,956.4227555948004,913.5527754625625,995.9905233641626,88.02828405210718
XGBoost,pca,68,400,4,0.03,0.8,1.0,3,42,1119.81603843943,982.5430016607323,919.4264756217019,1007.2618385739548,83.65508510276753
XGBoost,pca,69,400,4,0.03,1.0,0.8,1,42,1131.1665700224569,950.4869009076986,903.1956006469896,994.949690525715,98.23575542187461
XGBoost,pca,70,400,4,0.03,1.0,0.8,3,42,1142.921252467699,992.7713325699602,926.6273067457003,1020.7732972611199,90.49438383649915
XGBoost,pca,71,400,4,0.03,1.0,1.0,1,42,1084.7227488532453,916.1359015440025,922.9394434075466,974.5993646015982,77.918512412003
XGBoost,pca,72,400,4,0.03,1.0,1.0,3,42,1068.2483760106466,942.0797488863234,943.4089071830165,984.5790106933288,59.165663943971744
XGBoost,pca,73,400,4,0.1,0.8,0.8,1,42,1150.6034642610705,902.1032360756046,820.3758416676851,957.6941806681201,140.4287138763198
XGBoost,pca,74,400,4,0.1,0.8,0.8,3,42,1375.2532816899031,997.6683606076865,883.1584454449397,1085.3600292475098,210.2485886220829
