model,n,rmse,mae,me,mpe,vs_naive,beats_naive
DMS,11,248.2037286365596,176.36363636363637,-57.45454545454545,-0.8844405298287296,-10.648398243087954,True
DMA,9,267.00973264581916,197.24470969420923,-109.82167026198789,-1.7247708033997982,-3.878368678645938,True
Naive (RW),18,277.7831888361857,183.83333333333334,-65.05555555555556,-0.950735074388806,0.0,False
BVAR_bop,10,345.94566454249036,324.7412691639961,-156.71273037640904,-2.4644113816398585,24.53801325842706,False
BVAR_parsimonious,10,362.07821087702456,336.8221470034905,-184.88702340254585,-2.9275690348261785,30.34561680784411,False
BVAR_full,9,362.28210442190016,339.47761464814397,-158.14530008113354,-2.497186512570313,30.419017054176443,False
BVAR_monetary,9,372.4331900486594,349.4463310496857,-184.75447350975224,-2.9382564380049754,34.07333669435653,False
BVAR_pca,6,411.08234928828995,388.6840367875778,-317.3983364697563,-5.1382129388411535,47.98676298971911,False
MSE-Weight,18,856.6266815088514,819.7896502664759,-819.7896502664759,-13.134363823224302,208.37959816712356,False
EqualWeight,18,1203.742242107391,1183.025952202599,1183.025952202599,19.240333114010763,333.33876580172097,False
GR-Convex,18,2542.4668869820002,2389.4781304467715,-1581.5542380046038,-25.029778190481245,815.2702500227052,False
