date,actual,forecast
2023-01-01,2121.0,3803.7197
2023-02-01,2219.0,3876.9456
2023-03-01,2694.0,3876.9456
2023-04-01,2761.0,4084.5203
2023-05-01,3491.0,3876.9456
2023-06-01,3724.0,4247.9194
2023-07-01,3765.0,4348.7085
2023-08-01,3600.0,4399.2246
2023-09-01,3540.0,4147.0044
2023-10-01,3569.0,4105.02
2023-11-01,3571.0,4111.308
2023-12-01,4392.0,4105.02
2024-01-01,4496.0,4984.9805
2024-02-01,4520.0,5344.4365
2024-03-01,4960.0,5288.2085
2024-04-01,5471.0,5428.301
2024-05-01,5410.0,5906.6045
2024-06-01,5654.0,5817.2573
2024-07-01,5652.0,6161.4277
2024-08-01,5959.0,6124.149
2024-09-01,5994.0,6270.4062
2024-10-01,6472.0,6292.0205
2024-11-01,6451.0,6822.258
2024-12-01,6122.0,6547.7856
2025-01-01,6065.0,6366.773
2025-02-01,6086.0,6415.0044
2025-03-01,6531.0,6415.1196
