date,horizon,ARIMA,BVAR,BoPIdentity,LSTM,LocalLevelSV,MS-VAR,MS-VECM,Naive,VECM,XGB-Quantile,XGBoost,varset,split_label,train_end,valid_end
2020-02-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2020-03-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2020-04-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2020-05-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2020-06-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2020-07-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2020-08-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2020-09-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2020-10-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2020-11-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2020-12-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-01-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-02-01,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-03-01,1,0.07376443437034076,0.08923338537853806,0.08909918817431932,0.010595715252731239,0.0853887478612071,0.204310797378813,0.09840607357681642,0.09361460520844156,0.08206185775025658,0.10335368158144367,0.07017151346709237,parsimonious,baseline,2019-12-01,2022-12-01
2021-04-01,1,0.038997521630721406,0.054081789519683045,0.09321812921347061,0.0002973955627704319,0.04894929001216335,0.40023619196283544,0.1335147385689562,0.06799156347757143,0.0431753327072721,0.07137262195484019,0.04816542538971573,parsimonious,baseline,2019-12-01,2022-12-01
2021-05-01,1,0.04806163388791726,0.06433748146453644,0.11317206427271892,0.00015377765627957443,0.05548050334774575,0.14605836314559698,0.22473161002295658,0.08744031327146876,0.04633295149707876,0.13404740829665465,0.08018389313704631,parsimonious,baseline,2019-12-01,2022-12-01
2021-06-01,1,0.02788188285137661,0.03547284673098656,0.11725871992221348,6.44767821612396e-06,0.028009943922015976,0.13765301005441222,0.36159470064003024,0.058099613792423656,0.02120979672517327,0.1531711892975079,0.05964184838564389,parsimonious,baseline,2019-12-01,2022-12-01
2021-07-01,1,0.011610713574576489,0.014433149078816774,0.08749395926842571,6.888312199941499e-07,0.010231457159472906,0.180035401680465,0.45768600703459605,0.02811669943715356,0.007004225917445325,0.15158921257395083,0.05179848544387742,parsimonious,baseline,2019-12-01,2022-12-01
2021-08-01,1,0.0033006909623218453,0.003297176757643268,0.2507984703823594,4.646081050018055e-09,0.0019777303692892555,0.09162911785978645,0.331522533934329,0.01232116113197668,0.0010725140921300268,0.18593616567052365,0.11814443419355944,parsimonious,baseline,2019-12-01,2022-12-01
2021-09-01,1,0.0006881646316917488,0.0006692551290335768,0.17147966519899327,1.960316824549809e-09,0.00036414695467253014,0.015249206807593426,0.4627856591327725,0.0034647949657140454,0.00017034313383959933,0.21107519178691414,0.13405357029845844,parsimonious,baseline,2019-12-01,2022-12-01
2021-10-01,1,3.109467017562776e-05,1.5552678665162984e-05,0.034595593027100635,2.2805986026481143e-11,6.5500029196761e-06,0.012503577130884744,0.8255743000615402,0.00012321997334763398,2.396243149798601e-06,0.10884805052083973,0.018299665668570782,parsimonious,baseline,2019-12-01,2022-12-01
