model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,test,1,all,896.2363082988318,1170.390372884875,21.60856574591753,25.90452789136864,3.0025975081752287,1785.5782432023416,734.1573779598625,-10.123757812328735,0.4166666666666667,0.5,36,full,2023-01-01,2025-12-01,
ARIMA,test,3,all,1239.6356375518887,1561.6280451957725,32.332927226725886,40.32682577406421,4.153064143789904,2476.5940335449436,967.718907542929,-9.801708477052657,0.3888888888888889,0.7222222222222222,36,full,2023-01-01,2025-12-01,
ARIMA,test,6,all,1983.1131569118343,2452.974551496281,51.280271551684464,63.257885674105815,6.643884618639642,3965.806752237889,1551.4220773132959,-10.700227805718308,0.4166666666666667,0.6388888888888888,36,full,2023-01-01,2025-12-01,
ARIMA,test,12,all,2996.842831635115,3444.595281726299,67.489281140908,92.32803489726729,10.040111893860127,5983.868998446406,2308.9954281356204,-10.959900230222512,0.3888888888888889,0.5,36,full,2023-01-01,2025-12-01,
ARIMA,validation,1,all,1723.674571215295,1986.2690197211512,70.3572020058127,71.77998636086049,5.774705760648993,2426.5672874655834,1482.7443906137153,-15.949787312898444,0.14285714285714285,0.2857142857142857,35,full,2020-02-01,2022-12-01,
ARIMA,validation,3,all,1992.2123716388019,2192.7899765706866,77.30378000866774,72.13978135153442,6.674369078165058,2546.378237815831,1625.3606862447698,-12.330156097686475,0.15151515151515152,0.36363636363636365,33,full,2020-04-01,2022-12-01,
ARIMA,validation,6,all,2117.083535715212,2332.7607494546933,83.83607861536372,68.2786529426633,7.092716162105953,2514.2416160090866,1655.20550647952,-10.698636412792093,0.2,0.4,30,full,2020-07-01,2022-12-01,
ARIMA,validation,12,all,3230.668540857196,3348.617242443657,136.31202903791208,77.61439830238639,10.82348173210086,3230.668540857196,2491.8289786451405,-11.328524047243704,0.0,0.2916666666666667,24,full,2021-01-01,2022-12-01,
BVAR,test,1,all,962.385610295937,1212.888041812553,21.300860255731237,25.89091841396602,3.2242128650904642,1912.644257113603,790.2878515646561,-10.18621600186052,0.3888888888888889,0.5277777777777778,36,full,2023-01-01,2025-12-01,
BVAR,test,3,all,1167.2376786489783,1429.6247419427402,24.991842100300538,31.100990039223706,3.910514350854746,2322.0056167157586,909.0836431473523,-9.368082553233178,0.3888888888888889,0.4722222222222222,36,full,2023-01-01,2025-12-01,
