date,Net_Foreign_Assets_of_the_Monetary_Autho,Net_Foreign_Assets_of_the_Commercial_Ban,Real_Effective_Exchange_Rate_Index
2010-01-01,,,96.52
2010-02-01,,,99.84
2010-03-01,,,100.14
2010-04-01,,,98.48
2010-05-01,,,99.78
2010-06-01,,,102.19
2010-07-01,,,101.69
2010-08-01,,,100.83
2010-09-01,,,100.21
2010-10-01,,,98.62
2010-11-01,,,99.9
2010-12-01,,,101.93
2011-01-01,,,102.16
2011-02-01,,,102.65
2011-03-01,,,103.07
2011-04-01,,,100.64
2011-05-01,,,100.95
2011-06-01,,,101.66
2011-07-01,,,101.07
2011-08-01,,,100.95
2011-09-01,,,102.49
2011-10-01,,,103.51
2011-11-01,,,102.48
2011-12-01,,,102.32
2012-01-01,,,103.13
2012-02-01,,,98.53
2012-03-01,,,92.45
2012-04-01,,,92.15
2012-05-01,,,93.74
2012-06-01,,,94.58
2012-07-01,,,95.88
2012-08-01,,,96.29
2012-09-01,,,94.26
2012-10-01,,,95.07
2012-11-01,,,94.71
2012-12-01,,,96.82
2013-01-01,,,98.59
2013-02-01,,,100.03
2013-03-01,,,102.44
2013-04-01,,,98.91
2013-05-01,,,100.75
2013-06-01,,,102.59
2013-07-01,,,102.24
2013-08-01,,,100.59
2013-09-01,,,101.38
2013-10-01,,,101.19
2013-11-01,,,102.58
2013-12-01,,,102.22
2014-01-01,,,103.66
2014-02-01,,,103.59
2014-03-01,,,102.69
2014-04-01,,,102.07
2014-05-01,,,101.59
2014-06-01,,,102.81
2014-07-01,,,103.31
2014-08-01,,,103.97
2014-09-01,,,105.02
2014-10-01,,,104.08
2014-11-01,,,105.16
2014-12-01,,,107.33
2015-01-01,,,112.67
2015-02-01,,,110.34
2015-03-01,,,110.98
2015-04-01,,,110.34
2015-05-01,,,108.71
2015-06-01,,,109.62
2015-07-01,,,111.04
2015-08-01,,,111.56
2015-09-01,,,107.69
2015-10-01,,,105.6
2015-11-01,,,107.89
2015-12-01,,,107.58
2016-01-01,,,108.84
2016-02-01,,,107.68
2016-03-01,,,105.64
2016-04-01,,,105.01
2016-05-01,,,105.14
2016-06-01,,,107.14
2016-07-01,,,108.77
2016-08-01,,,106.3
2016-09-01,,,105.64
2016-10-01,,,105.86
2016-11-01,,,107.87
2016-12-01,,,109.34
2017-01-01,,,109.57
2017-02-01,,,108.82
2017-03-01,,,107.7
2017-04-01,,,106.86
2017-05-01,,,106.0
2017-06-01,,,106.91
2017-07-01,,,105.04
2017-08-01,,,103.48
2017-09-01,,,103.54
2017-10-01,,,104.48
2017-11-01,,,105.24
2017-12-01,,,105.57
2018-01-01,,,103.34
2018-02-01,,,95.42
2018-03-01,,,94.81
2018-04-01,,,94.72
2018-05-01,,,96.5
2018-06-01,,,98.31
2018-07-01,,,99.0
2018-08-01,,,99.35
2018-09-01,,,96.42
2018-10-01,,,92.78
2018-11-01,,,91.08
2018-12-01,,,89.41
2019-01-01,,,88.4
2019-02-01,,,89.1
2019-03-01,,,88.66
2019-04-01,,,90.53
2019-05-01,,,91.63
2019-06-01,,,92.11
2019-07-01,,,91.77
2019-08-01,,,91.84
2019-09-01,,,91.1
2019-10-01,,,90.23
2019-11-01,,,91.64
2019-12-01,,,91.2
2020-01-01,,,92.49
2020-02-01,,,93.09
2020-03-01,,,92.31
2020-04-01,,,89.88
2020-05-01,,,92.7
2020-06-01,,,92.89
2020-07-01,,,92.16
2020-08-01,,,91.32
2020-09-01,,,91.49
2020-10-01,,,91.4
2020-11-01,,,91.13
2020-12-01,,,88.18
2021-01-01,417927.42,(739009.68),88.97
2021-02-01,393859.04,(779555.70),87.14
2021-03-01,341034.12,(770983.98),86.18
2021-04-01,342922.57,(773611.94),86.07
2021-05-01,349093.88,(777987.57),85.03
2021-06-01,306555.58,(787901.39),86.05
2021-07-01,10254.36,(709627.75),87.03
2021-08-01,(83880.50),(617074.17),86.71
2021-09-01,(158710.38),(563425.03),86.46
2021-10-01,(252574.06),(583988.44),88.18
2021-11-01,(329910.93),(576436.32),90.20
2021-12-01,(387262.54),(594713.22),93.42
2022-01-01,-662717.26,-552869.68,91.54
2022-02-01,-734241.46,-540758.08,91.95
2022-03-01,-1203377.27,-685336.85,73.92
2022-04-01,-1462227.89,-732943.08,65.14
2022-05-01,-1546520.13,-536295.55,63.69
2022-06-01,-1612689.82,-509235.38,71.58
2022-07-01,-1686199.39,-437634.8,75.58
2022-08-01,-1614856.54,-420242.04,77.44
2022-09-01,-1590817.24,-302021.5,81.36
2022-10-01,-1635192.92,-238767.23,81.4
2022-11-01,-1639535.41,-230446.39,79.82
2022-12-01,-1613860.86,-152951.94,78.84
2023-01-01,-1539645.28,-33088.25,79.05
2023-02-01,-1495995.09,61536.16,61.74
2023-03-01,-1254001.93,80254.91,70.25
2023-04-01,-1190891.57,151694.78,70.14
2023-05-01,-977423.67,139842.64,73.15
2023-06-01,-962980.5,154999.66,75.13
2023-07-01,-982421.57,275398.34,69.45
2023-08-01,-957681.83,346181.56,69.63
2023-09-01,-986567.07,426394.31,70.4
2023-10-01,-919070.07,395965.67,70.08
2023-11-01,-887127.32,314836.73,69.47
2023-12-01,-837315.29,381238.42,69.83
2024-01-01,-745063.71,345103.87,73.03
2024-02-01,-686116.01,365883.29,75.11
2024-03-01,,,75.18
2024-04-01,,,76.71
2024-05-01,,,75.73
2024-06-01,,,75.15
2024-07-01,,,74.37
2024-08-01,,,72.79
2024-09-01,,,71.95
2024-10-01,,,73.62
2024-11-01,,,74.94
2024-12-01,,,76.46
2025-01-01,,,76.32
2025-02-01,,,75.78
2025-03-01,,,74.88
2025-04-01,,,73.1
2025-05-01,,,72.7
2025-06-01,,,72.89
2025-07-01,,,72.89
